Pokemon Name,Header,Description
basculin_blue_striped,pokemon_name,"Blue-Striped Basculin in Pokémon Black and White has Reckless as its first Ability, while in Pokémon Black 2 and White 2, it has Rock Head instead. In Pokémon White, the Blue-Striped Basculin obtained through in-game trade in Driftveil City has Rock Head."
gothita,ability_2,Generation VI onwards
gothorita,ability_2,Generation VI onwards
gothitelle,ability_2,Generation VI onwards
vanillite,ability_2,Generation VII onwards
vanillish,ability_2,Generation VII onwards
vanilluxe,ability_2,Generation VII onwards
ferrothorn,hidden,Generation VI onwards
litwick,pokemon_name,Hidden Ability is Shadow Tag in Generation V
litwick,hidden,Generation VI onwards
lampent,pokemon_name,Hidden Ability is Shadow Tag in Generation V
lampent,hidden,Generation VI onwards
chandelure,pokemon_name,Hidden Ability is Shadow Tag in Generation V
chandelure,hidden,Generation VI onwards
cubchoo,ability_2,Generation VII onwards
beartic,ability_2,Generation VII onwards
