Pokemon Name,Header,Description
Boldore,Ability 2,Generation VII onwards
Gigalith,Ability 2,Generation VII onwards
Venipede,Pokemon,Hidden Ability is Quick Feet in Generation V
Venipede,Hidden,Generation VI onwards
Whirlipede,Pokemon,Hidden Ability is Quick Feet in Generation V
Whirlipede,Hidden,Generation VI onwards
Scolipede,Pokemon,Hidden Ability is Quick Feet in Generation V
Scolipede,Hidden,Generation VI onwards
Basculin (Blue-Striped Form),Pokemon,"Blue-Striped Basculin in Pokémon Black and White has Reckless as its first Ability, while in Pokémon Black 2 and White 2, it has Rock Head instead. In Pokémon White, the Blue-Striped Basculin obtained through in-game trade in Driftveil City has Rock Head."
Gothita,Ability 2,Generation VI onwards
Gothorita,Ability 2,Generation VI onwards
Gothitelle,Ability 2,Generation VI onwards
Vanillite,Ability 2,Generation VII onwards
Vanillish,Ability 2,Generation VII onwards
Vanilluxe,Ability 2,Generation VII onwards
Ferrothorn,Hidden,Generation VI onwards
Litwick,Pokemon,Hidden Ability is Shadow Tag in Generation V
Litwick,Hidden,Generation VI onwards
Lampent,Pokemon,Hidden Ability is Shadow Tag in Generation V
Lampent,Hidden,Generation VI onwards
Chandelure,Pokemon,Hidden Ability is Shadow Tag in Generation V
Chandelure,Hidden,Generation VI onwards
Cubchoo,Ability 2,Generation VII onwards
Beartic,Ability 2,Generation VII onwards
