Effect,Move Name
mouth,grass-whistle
mouth,growl
mouth,howl
mouth,hyper-fang
mouth,hyper-voice
mouth,ice-fang
mouth,leech-life
mouth,lick
mouth,lovely-kiss
mouth,milk-drink
mouth,octazooka
mouth,perish-song
mouth,pluck
mouth,roar
mouth,roar-of-time
mouth,screech
mouth,sing
mouth,sleep-talk
mouth,snore
mouth,spit-up
mouth,stockpile
mouth,super-fang
mouth,supersonic
mouth,swallow
mouth,sweet-kiss
mouth,thunder-fang
mouth,torment
mouth,uproar
mouth,yawn
powder,cotton-spore
powder,magic-powder
powder,poison-powder
powder,powder
powder,rage-powder
powder,sleep-powder
powder,spore
powder,stun-spore
punch,bullet-punch
punch,comet-punch
punch,dizzy-punch
punch,double-iron-bash
punch,drain-punch
punch,dynamic-punch
punch,fire-punch
punch,focus-punch
punch,hammer-arm
punch,ice-hammer
punch,ice-punch
punch,mach-punch
punch,mega-punch
punch,meteor-mash
punch,plasma-fists
punch,power-up-punch
punch,shadow-punch
punch,sky-uppercut
punch,thunder-punch
sound,boomburst
sound,bug-buzz
sound,chatter
sound,clanging-scales
sound,clangorous-soul
sound,clangorous-soulblaze
sound,confide
sound,disarming-voice
sound,echoed-voice
sound,eerie-spell
sound,grass-whistle
sound,growl
sound,heal-bell
sound,howl
sound,hyper-voice
sound,metal-sound
sound,noble-roar
sound,overdrive
sound,parting-shot
sound,perish-song
sound,relic-song
sound,roar
sound,round
sound,screech
sound,sing
sound,snarl
sound,snore
sound,sparkling-aria
sound,supersonic
sound,uproar
activates-gulp-missile,dive
activates-gulp-missile,surf
changes-ability,entrainment
changes-ability,role-play
changes-ability,simple-beam
changes-ability,skill-swap
changes-ability,transform
changes-ability,worry-seed
anti-mini,astonish
anti-mini,body-slam
anti-mini,double-iron-bash
anti-mini,dragon-rush
anti-mini,extrasensory
anti-mini,flying-press
anti-mini,heat-crash
anti-mini,heavy-slam
anti-mini,malicious-moonsault
anti-mini,needle-arm
anti-mini,phantom-force
anti-mini,shadow-force
anti-mini,steamroller
anti-mini,stomp
bypasses-protect,10000000-volt-thunderbolt
bypasses-protect,acid-downpour
bypasses-protect,all-out-pummeling
bypasses-protect,black-hole-eclipse
bypasses-protect,bloom-doom
bypasses-protect,breakneck-blitz
bypasses-protect,catastropika
bypasses-protect,clangorous-soulblaze
bypasses-protect,continental-crush
bypasses-protect,corkscrew-crash
bypasses-protect,devastating-drake
bypasses-protect,feint
bypasses-protect,g-max-befuddle
bypasses-protect,g-max-cannonade
bypasses-protect,g-max-centiferno
bypasses-protect,g-max-chi-strike
bypasses-protect,g-max-cuddle
bypasses-protect,g-max-depletion
bypasses-protect,g-max-drum-solo
bypasses-protect,g-max-finale
bypasses-protect,g-max-fireball
bypasses-protect,g-max-foam-burst
bypasses-protect,g-max-gold-rush
bypasses-protect,g-max-gravitas
bypasses-protect,g-max-hydrosnipe
bypasses-protect,g-max-malodor
bypasses-protect,g-max-meltdown
bypasses-protect,g-max-one-blow
bypasses-protect,g-max-rapid-flow
bypasses-protect,g-max-replenish
bypasses-protect,g-max-resonance
bypasses-protect,g-max-sandblast
bypasses-protect,g-max-smite
bypasses-protect,g-max-snooze
bypasses-protect,g-max-steelsurge
bypasses-protect,g-max-stonesurge
bypasses-protect,g-max-stun-shock
bypasses-protect,g-max-sweetness
bypasses-protect,g-max-tartness
bypasses-protect,g-max-terror
bypasses-protect,g-max-vine-lash
bypasses-protect,g-max-volcalith
bypasses-protect,g-max-volt-crash
bypasses-protect,g-max-wildfire
bypasses-protect,g-max-wind-rage
bypasses-protect,genesis-supernova
bypasses-protect,gigavolt-havoc
bypasses-protect,guardian-of-alola
bypasses-protect,hydro-vortex
bypasses-protect,hyperspace-fury
bypasses-protect,hyperspace-hole
bypasses-protect,inferno-overdrive
bypasses-protect,lets-snuggle-forever
bypasses-protect,light-that-burns-the-sky
bypasses-protect,malicious-moonsault
bypasses-protect,max-airstream
bypasses-protect,max-darkness
bypasses-protect,max-flare
bypasses-protect,max-flutterby
bypasses-protect,max-geyser
bypasses-protect,max-hailstorm
bypasses-protect,max-knuckle
bypasses-protect,max-lightning
bypasses-protect,max-mindstorm
bypasses-protect,max-ooze
bypasses-protect,max-overgrowth
bypasses-protect,max-phantasm
bypasses-protect,max-quake
bypasses-protect,max-rockfall
bypasses-protect,max-starfall
bypasses-protect,max-steelspike
bypasses-protect,max-strike
bypasses-protect,max-wyrmwind
bypasses-protect,menacing-moonraze-maelstrom
bypasses-protect,never-ending-nightmare
bypasses-protect,oceanic-operetta
bypasses-protect,phantom-force
bypasses-protect,pulverizing-pancake
bypasses-protect,savage-spin-out
bypasses-protect,searing-sunraze-smash
bypasses-protect,shadow-force
bypasses-protect,shattered-psyche
bypasses-protect,sinister-arrow-raid
bypasses-protect,soul-stealing7-star-strike
bypasses-protect,splintered-stormshards
bypasses-protect,stoked-sparksurfer
bypasses-protect,subzero-slammer
bypasses-protect,supersonic-skystrike
bypasses-protect,tectonic-rage
bypasses-protect,twinkle-tackle
calls-other-move,assist
calls-other-move,copycat
calls-other-move,me-first
calls-other-move,metronome
calls-other-move,mirror-move
calls-other-move,nature-power
calls-other-move,sleep-talk
calls-other-move,snatch
heals-nonvolatile,aromatherapy
heals-nonvolatile,g-max-sweetness
heals-nonvolatile,heal-bell
heals-nonvolatile,jungle-healing
heals-nonvolatile,psycho-shift
heals-nonvolatile,purify
heals-nonvolatile,refresh
heals-nonvolatile,rest
heals-nonvolatile,smelling-salts
heals-nonvolatile,sparkling-aria
heals-nonvolatile,sparkly-swirl
heals-nonvolatile,steam-eruption
heals-nonvolatile,uproar
heals-nonvolatile,wake-up-slap
hits-semi-invulnerable,bide
hits-semi-invulnerable,earthquake
hits-semi-invulnerable,fissure
hits-semi-invulnerable,gust
hits-semi-invulnerable,helping-hand
hits-semi-invulnerable,hurricane
hits-semi-invulnerable,magnitude
hits-semi-invulnerable,sky-uppercut
hits-semi-invulnerable,smack-down
hits-semi-invulnerable,surf
hits-semi-invulnerable,swift
hits-semi-invulnerable,thousand-arrows
hits-semi-invulnerable,thunder
hits-semi-invulnerable,toxic
hits-semi-invulnerable,transform
hits-semi-invulnerable,twister
hits-semi-invulnerable,whirlpool
hits-semi-invulnerable,whirlwind
cannot-miss,10000000-volt-thunderbolt
cannot-miss,acid-downpour
cannot-miss,aerial-ace
cannot-miss,after-you
cannot-miss,all-out-pummeling
cannot-miss,aura-sphere
cannot-miss,baddy-bad
cannot-miss,bestow
cannot-miss,bide
cannot-miss,black-hole-eclipse
cannot-miss,blizzard
cannot-miss,block
cannot-miss,bloom-doom
cannot-miss,body-slam
cannot-miss,bouncy-bubble
cannot-miss,breakneck-blitz
cannot-miss,buzzy-buzz
cannot-miss,catastropika
cannot-miss,clangorous-soulblaze
cannot-miss,clear-smog
cannot-miss,confide
cannot-miss,continental-crush
cannot-miss,conversion2
cannot-miss,corkscrew-crash
cannot-miss,defog
cannot-miss,devastating-drake
cannot-miss,disarming-voice
cannot-miss,dragon-rush
cannot-miss,electrify
cannot-miss,false-surrender
cannot-miss,feint-attack
cannot-miss,floral-healing
cannot-miss,flying-press
cannot-miss,foresight
cannot-miss,freezy-frost
cannot-miss,g-max-befuddle
cannot-miss,g-max-cannonade
cannot-miss,g-max-centiferno
cannot-miss,g-max-chi-strike
cannot-miss,g-max-cuddle
cannot-miss,g-max-depletion
cannot-miss,g-max-drum-solo
cannot-miss,g-max-finale
cannot-miss,g-max-fireball
cannot-miss,g-max-foam-burst
cannot-miss,g-max-gold-rush
cannot-miss,g-max-gravitas
cannot-miss,g-max-hydrosnipe
cannot-miss,g-max-malodor
cannot-miss,g-max-meltdown
cannot-miss,g-max-one-blow
cannot-miss,g-max-rapid-flow
cannot-miss,g-max-replenish
cannot-miss,g-max-resonance
cannot-miss,g-max-sandblast
cannot-miss,g-max-smite
cannot-miss,g-max-snooze
cannot-miss,g-max-steelsurge
cannot-miss,g-max-stonesurge
cannot-miss,g-max-stun-shock
cannot-miss,g-max-sweetness
cannot-miss,g-max-tartness
cannot-miss,g-max-terror
cannot-miss,g-max-vine-lash
cannot-miss,g-max-volcalith
cannot-miss,g-max-volt-crash
cannot-miss,g-max-wildfire
cannot-miss,g-max-wind-rage
cannot-miss,gigavolt-havoc
cannot-miss,glitzy-glow
cannot-miss,guard-split
cannot-miss,guard-swap
cannot-miss,guardian-of-alola
cannot-miss,heal-pulse
cannot-miss,heart-swap
cannot-miss,heat-crash
cannot-miss,hurricane
cannot-miss,hydro-vortex
cannot-miss,hyperspace-fury
cannot-miss,hyperspace-hole
cannot-miss,inferno-overdrive
cannot-miss,lets-snuggle-forever
cannot-miss,life-dew
cannot-miss,light-that-burns-the-sky
cannot-miss,lock-on
cannot-miss,magical-leaf
cannot-miss,magnet-bomb
cannot-miss,malicious-moonsault
cannot-miss,max-airstream
cannot-miss,max-darkness
cannot-miss,max-flare
cannot-miss,max-flutterby
cannot-miss,max-geyser
cannot-miss,max-hailstorm
cannot-miss,max-knuckle
cannot-miss,max-lightning
cannot-miss,max-mindstorm
cannot-miss,max-ooze
cannot-miss,max-overgrowth
cannot-miss,max-phantasm
cannot-miss,max-quake
cannot-miss,max-rockfall
cannot-miss,max-starfall
cannot-miss,max-steelspike
cannot-miss,max-strike
cannot-miss,max-wyrmwind
cannot-miss,me-first
cannot-miss,mean-look
cannot-miss,memento
cannot-miss,menacing-moonraze-maelstrom
cannot-miss,mimic
cannot-miss,mind-reader
cannot-miss,miracle-eye
cannot-miss,never-ending-nightmare
cannot-miss,nightmare
cannot-miss,noble-roar
cannot-miss,oceanic-operetta
cannot-miss,odor-sleuth
cannot-miss,pain-split
cannot-miss,phantom-force
cannot-miss,pika-papow
cannot-miss,play-nice
cannot-miss,power-split
cannot-miss,power-swap
cannot-miss,psych-up
cannot-miss,pulverizing-pancake
cannot-miss,pursuit
cannot-miss,reflect-type
cannot-miss,roar
cannot-miss,role-play
cannot-miss,sappy-seed
cannot-miss,savage-spin-out
cannot-miss,searing-sunraze-smash
cannot-miss,shadow-force
cannot-miss,shadow-punch
cannot-miss,shattered-psyche
cannot-miss,shock-wave
cannot-miss,sinister-arrow-raid
cannot-miss,sizzly-slide
cannot-miss,sketch
cannot-miss,skill-swap
cannot-miss,smart-strike
cannot-miss,soul-stealing7-star-strike
cannot-miss,sparkly-swirl
cannot-miss,speed-swap
cannot-miss,spider-web
cannot-miss,steamroller
cannot-miss,stoked-sparksurfer
cannot-miss,stomp
cannot-miss,struggle
cannot-miss,subzero-slammer
cannot-miss,supersonic-skystrike
cannot-miss,swift
cannot-miss,tectonic-rage
cannot-miss,telekinesis
cannot-miss,thunder
cannot-miss,topsy-turvy
cannot-miss,toxic
cannot-miss,transform
cannot-miss,trump-card
cannot-miss,twinkle-tackle
cannot-miss,veevee-volley
cannot-miss,vital-throw
cannot-miss,whirlwind
cannot-miss,yawn
faints-user,explosion
faints-user,final-gambit
faints-user,healing-wish
faints-user,lunar-dance
faints-user,memento
faints-user,misty-explosion
faints-user,self-destruct
changes-pokemon-type,burn-up
changes-pokemon-type,camouflage
changes-pokemon-type,conversion
changes-pokemon-type,conversion2
changes-pokemon-type,forests-curse
changes-pokemon-type,magic-powder
changes-pokemon-type,reflect-type
changes-pokemon-type,roost
changes-pokemon-type,soak
changes-pokemon-type,transform
changes-pokemon-type,trick-or-treat
changes-terrain,defog
changes-terrain,electric-terrain
changes-terrain,g-max-wind-rage
changes-terrain,genesis-supernova
changes-terrain,grassy-terrain
changes-terrain,max-lightning
changes-terrain,max-mindstorm
changes-terrain,max-overgrowth
changes-terrain,max-starfall
changes-terrain,misty-terrain
changes-terrain,psychic-terrain
changes-terrain,splintered-stormshards
changes-terrain,steel-roller
changes-move-type,aura-wheel
changes-move-type,hidden-power
changes-move-type,judgment
changes-move-type,multi-attack
changes-move-type,natural-gift
changes-move-type,revelation-dance
changes-move-type,techno-blast
changes-move-type,terrain-pulse
changes-move-type,weather-ball
costshp,belly-drum
costshp,clangorous-soul
costshp,curse
costshp,mind-blown
costshp,steel-beam
costshp,substitute
deals-direct-damage,bide
deals-direct-damage,counter
deals-direct-damage,dragon-rage
deals-direct-damage,endeavor
deals-direct-damage,final-gambit
deals-direct-damage,guardian-of-alola
deals-direct-damage,metal-burst
deals-direct-damage,mirror-coat
deals-direct-damage,natures-madness
deals-direct-damage,night-shade
deals-direct-damage,psywave
deals-direct-damage,seismic-toss
deals-direct-damage,sonic-boom
deals-direct-damage,super-fang
has-recoil,brave-bird
has-recoil,double-edge
has-recoil,flare-blitz
has-recoil,head-charge
has-recoil,head-smash
has-recoil,light-of-ruin
has-recoil,struggle
has-recoil,submission
has-recoil,take-down
has-recoil,volt-tackle
has-recoil,wild-charge
has-recoil,wood-hammer
has-variable-power,acid-downpour
has-variable-power,all-out-pummeling
has-variable-power,beat-up
has-variable-power,black-hole-eclipse
has-variable-power,bloom-doom
has-variable-power,breakneck-blitz
has-variable-power,continental-crush
has-variable-power,corkscrew-crash
has-variable-power,crush-grip
has-variable-power,devastating-drake
has-variable-power,dragon-energy
has-variable-power,electro-ball
has-variable-power,eruption
has-variable-power,flail
has-variable-power,fling
has-variable-power,frustration
has-variable-power,g-max-befuddle
has-variable-power,g-max-cannonade
has-variable-power,g-max-centiferno
has-variable-power,g-max-chi-strike
has-variable-power,g-max-cuddle
has-variable-power,g-max-depletion
has-variable-power,g-max-finale
has-variable-power,g-max-foam-burst
has-variable-power,g-max-gold-rush
has-variable-power,g-max-gravitas
has-variable-power,g-max-malodor
has-variable-power,g-max-meltdown
has-variable-power,g-max-one-blow
has-variable-power,g-max-rapid-flow
has-variable-power,g-max-replenish
has-variable-power,g-max-resonance
has-variable-power,g-max-sandblast
has-variable-power,g-max-smite
has-variable-power,g-max-snooze
has-variable-power,g-max-steelsurge
has-variable-power,g-max-stonesurge
has-variable-power,g-max-stun-shock
has-variable-power,g-max-sweetness
has-variable-power,g-max-tartness
has-variable-power,g-max-terror
has-variable-power,g-max-vine-lash
has-variable-power,g-max-volcalith
has-variable-power,g-max-volt-crash
has-variable-power,g-max-wildfire
has-variable-power,g-max-wind-rage
has-variable-power,gigavolt-havoc
has-variable-power,grass-knot
has-variable-power,gyro-ball
has-variable-power,heat-crash
has-variable-power,heavy-slam
has-variable-power,hidden-power
has-variable-power,hydro-vortex
has-variable-power,inferno-overdrive
has-variable-power,low-kick
has-variable-power,magnitude
has-variable-power,max-airstream
has-variable-power,max-darkness
has-variable-power,max-flare
has-variable-power,max-flutterby
has-variable-power,max-geyser
has-variable-power,max-hailstorm
has-variable-power,max-knuckle
has-variable-power,max-lightning
has-variable-power,max-mindstorm
has-variable-power,max-ooze
has-variable-power,max-overgrowth
has-variable-power,max-phantasm
has-variable-power,max-quake
has-variable-power,max-rockfall
has-variable-power,max-starfall
has-variable-power,max-steelspike
has-variable-power,max-strike
has-variable-power,max-wyrmwind
has-variable-power,natural-gift
has-variable-power,never-ending-nightmare
has-variable-power,pika-papow
has-variable-power,power-trip
has-variable-power,present
has-variable-power,punishment
has-variable-power,return
has-variable-power,reversal
has-variable-power,savage-spin-out
has-variable-power,shattered-psyche
has-variable-power,spit-up
has-variable-power,stored-power
has-variable-power,subzero-slammer
has-variable-power,supersonic-skystrike
has-variable-power,tectonic-rage
has-variable-power,trump-card
has-variable-power,twinkle-tackle
has-variable-power,veevee-volley
has-variable-power,water-spout
has-variable-power,wring-out
ignores-ability-of-target,g-max-drum-solo
ignores-ability-of-target,g-max-fireball
ignores-ability-of-target,g-max-hydrosnipe
ignores-ability-of-target,light-that-burns-the-sky
ignores-ability-of-target,menacing-moonraze-maelstrom
ignores-ability-of-target,moongeist-beam
ignores-ability-of-target,photon-geyser
ignores-ability-of-target,searing-sunraze-smash
ignores-ability-of-target,sunsteel-strike
powers-up,acrobatics
powers-up,assurance
powers-up,avalanche
powers-up,behemoth-bash
powers-up,behemoth-blade
powers-up,bolt-beak
powers-up,brine
powers-up,dynamax-cannon
powers-up,earthquake
powers-up,echoed-voice
powers-up,facade
powers-up,fire-pledge
powers-up,fishious-rend
powers-up,fury-cutter
powers-up,fusion-bolt
powers-up,fusion-flare
powers-up,grass-pledge
powers-up,grav-apple
powers-up,gust
powers-up,hex
powers-up,ice-ball
powers-up,knock-off
powers-up,lash-out
powers-up,magnitude
powers-up,malicious-moonsault
powers-up,payback
powers-up,pursuit
powers-up,retaliate
powers-up,revenge
powers-up,rising-voltage
powers-up,rollout
powers-up,round
powers-up,smelling-salts
powers-up,stomp
powers-up,stomping-tantrum
powers-up,surf
powers-up,triple-kick
powers-up,twister
powers-up,venoshock
powers-up,wake-up-slap
powers-up,water-pledge
powers-up,weather-ball
powers-up,whirlpool
removes-type-immunity,foresight
removes-type-immunity,g-max-gravitas
removes-type-immunity,gravity
removes-type-immunity,miracle-eye
removes-type-immunity,odor-sleuth
removes-type-immunity,smack-down
removes-type-immunity,thousand-arrows
restores-hp,aqua-ring
restores-hp,floral-healing
restores-hp,g-max-finale
restores-hp,grassy-terrain
restores-hp,heal-pulse
restores-hp,healing-wish
restores-hp,ingrain
restores-hp,jungle-healing
restores-hp,leech-seed
restores-hp,life-dew
restores-hp,lunar-dance
restores-hp,pain-split
restores-hp,pollen-puff
restores-hp,present
restores-hp,wish
restores-hp,heal-order
restores-hp,milk-drink
restores-hp,moonlight
restores-hp,morning-sun
restores-hp,purify
restores-hp,recover
restores-hp,rest
restores-hp,roost
restores-hp,shore-up
restores-hp,slack-off
restores-hp,soft-boiled
restores-hp,strength-sap
restores-hp,synthesis
restores-hp,absorb
restores-hp,bouncy-bubble
restores-hp,drain-punch
restores-hp,draining-kiss
restores-hp,dream-eater
restores-hp,giga-drain
restores-hp,horn-leech
restores-hp,leech-life
restores-hp,leech-seed
restores-hp,mega-drain
restores-hp,oblivion-wing
restores-hp,parabolic-charge
heals-userimmediately,heal-order
heals-userimmediately,milk-drink
heals-userimmediately,moonlight
heals-userimmediately,morning-sun
heals-userimmediately,purify
heals-userimmediately,recover
heals-userimmediately,rest
heals-userimmediately,roost
heals-userimmediately,shore-up
heals-userimmediately,slack-off
heals-userimmediately,soft-boiled
heals-userimmediately,strength-sap
heals-userimmediately,synthesis
switches-out-target,circle-throw
switches-out-target,dragon-tail
switches-out-target,roar
switches-out-target,whirlwind
switches-out-user,baton-pass
switches-out-user,flip-turn
switches-out-user,parting-shot
switches-out-user,teleport
switches-out-user,u-turn
switches-out-user,volt-switch
thaws-user,burn-up
thaws-user,flame-wheel
thaws-user,flare-blitz
thaws-user,fusion-flare
thaws-user,pyro-ball
thaws-user,sacred-fire
thaws-user,scald
thaws-user,scorching-sands
thaws-user,steam-eruption
heals-nonvolatile,burn-up
heals-nonvolatile,flame-wheel
heals-nonvolatile,flare-blitz
heals-nonvolatile,fusion-flare
heals-nonvolatile,pyro-ball
heals-nonvolatile,sacred-fire
heals-nonvolatile,scald
heals-nonvolatile,scorching-sands
heals-nonvolatile,steam-eruption
depends-on-environment,camouflage
depends-on-environment,nature-power
depends-on-environment,secret-power
has-high-crit-chance,10000000-volt-thunderbolt
has-high-crit-chance,aeroblast
has-high-crit-chance,air-cutter
has-high-crit-chance,attack-order
has-high-crit-chance,blaze-kick
has-high-crit-chance,crabhammer
has-high-crit-chance,cross-chop
has-high-crit-chance,cross-poison
has-high-crit-chance,drill-run
has-high-crit-chance,karate-chop
has-high-crit-chance,leaf-blade
has-high-crit-chance,night-slash
has-high-crit-chance,poison-tail
has-high-crit-chance,psycho-cut
has-high-crit-chance,razor-leaf
has-high-crit-chance,razor-wind
has-high-crit-chance,shadow-claw
has-high-crit-chance,sky-attack
has-high-crit-chance,slash
has-high-crit-chance,snipe-shot
has-high-crit-chance,spacial-rend
has-high-crit-chance,stone-edge
always-crits,frost-breath
always-crits,storm-throw
always-crits,surging-strikes
always-crits,wicked-blow
always-crits,zippy-zap
has-no-effect,celebrate
has-no-effect,hold-hands
has-no-effect,splash
multi-hit,arm-thrust
multi-hit,barrage
multi-hit,beat-up
multi-hit,bone-rush
multi-hit,bonemerang
multi-hit,bullet-seed
multi-hit,comet-punch
multi-hit,double-hit
multi-hit,double-iron-bash
multi-hit,double-kick
multi-hit,double-slap
multi-hit,dragon-darts
multi-hit,dual-chop
multi-hit,dual-wingbeat
multi-hit,fury-attack
multi-hit,fury-swipes
multi-hit,gear-grind
multi-hit,icicle-spear
multi-hit,pin-missile
multi-hit,rock-blast
multi-hit,scale-shot
multi-hit,spike-cannon
multi-hit,surging-strikes
multi-hit,tail-slap
multi-hit,triple-axel
multi-hit,triple-kick
multi-hit,twineedle
multi-hit,water-shuriken
protection,baneful-bunker
protection,crafty-shield
protection,detect
protection,kings-shield
protection,mat-block
protection,max-guard
protection,obstruct
protection,protect
protection,quick-guard
protection,spiky-shield
protection,wide-guard
creates-screen,aurora-veil
creates-screen,baddy-bad
creates-screen,g-max-resonance
creates-screen,glitzy-glow
creates-screen,light-screen
creates-screen,reflect
removes-screen,brick-break
removes-screen,defog
removes-screen,g-max-wind-rage
removes-screen,psychic-fangs
changes-weather,defog
changes-weather,hail
changes-weather,max-flare
changes-weather,max-geyser
changes-weather,max-hailstorm
changes-weather,max-rockfall
changes-weather,rain-dance
changes-weather,sandstorm
changes-weather,sunny-day
special-type-effectiveness,flying-press
special-type-effectiveness,freeze-dry
special-type-effectiveness,thousand-arrows
