Move ID,Header,Description
250,power,15 in Generations II-IV
250,accuracy,70% in Generations II-IV
251,power,10 in Generations II-IV
253,power,50 in Generations III-IV
254,pp,10 in Generation III
257,power,100 in Generations III-V
261,accuracy,75% in Generations III-V
265,power,60 in Generations III-V
282,power,20 in Generations III-V
291,power,60 in Generation III
309,power,100 in Generations III-V
309,accuracy,85% in Generations III-V
314,power,55 in Generations III-V
315,power,140 in Generations III-V
316,accuracy,100% in Generation III
317,pp,10 in Generations III-V
317,power,50 in Generations III-V
317,accuracy,80% in Generations III-V
326,pp,30 in Generations III-V
328,power,15 in Generations III-IV
328,accuracy,70 in Generations III-IV
329,accuracy,Success is calculated using a custom formula.
330,power,95 in Generations III-V
331,power,10 in Generations III-IV
333,power,10 in Generations III-IV
343,pp,40 in Generations III-V
343,power,40 in Generations III-IV
348,power,70 in Generation III
350,accuracy,80% in Generations III-IV
353,power,120 in Generations III-IV
353,accuracy,85% in Generations III-IV
358,power,60 in Generations IV-V
364,power,50 in Generation IV
366,pp,30 in Generations IV-V
372,power,50 in Generations IV-V
375,accuracy,90% in Generations IV-V
387,power,130 in Generation IV
389,power,80 in Generations IV-VI
396,power,90 in Generations IV-V
403,pp,20 in Generations IV-V
406,power,90 in Generations IV-V
408,power,70 in Generations IV-V
409,pp,5 in Generation IV
409,power,60 in Generation IV
412,power,80 in Generations IV-V
434,power,140 in Generations IV-V
437,power,140 in Generations IV-V
441,accuracy,70% in Generations IV-V
448,power,60 in Generations IV-V
463,power,120 in Generations IV-V
463,accuracy,70% in Generation IV
464,accuracy,80% in Generations IV-VI
480,power,40 in Generation V
485,pp,15 in Generation V
485,power,70 in Generation V
490,power,60 in Generation V
506,power,50 in Generation V
510,power,30 in Generation V
518,power,50 in Generation V
519,power,50 in Generation V
520,power,50 in Generation V
522,power,30 in Generation V
524,power,40 in Generation V
533,pp,20 in Generation V
542,power,120 in Generation V
546,power,85 in Generation V
560,power,80 in Generation VI
565,power,30 in Generation VI
570,power,50 in Generation VI
576,accuracy,100% in Generation VI
594,name,Physical move in Generation VI
595,power,65 in Generation VI
618,gen,ORAS only
619,gen,ORAS only
620,gen,ORAS only
621,gen,ORAS only
718,power,90 in Generation VII
720,gen,USUM only
721,gen,USUM only
722,gen,USUM only
723,gen,USUM only
724,gen,USUM only
725,gen,USUM only
726,gen,USUM only
727,gen,USUM only
728,gen,USUM only
729,pp,10 in Generation VIII
729,power,80 in Generation VIII
729,gen,LGPE only
730,gen,LGPE only
731,gen,LGPE only
732,gen,LGPE only
733,pp,20 in Generation VIII
733,power,60 in Generation VIII
733,gen,LGPE only
734,pp,20 in Generation VIII
734,power,60 in Generation VIII
734,gen,LGPE only
735,pp,20 in Generation VIII
735,power,60 in Generation VIII
735,gen,LGPE only
736,power,80 in Generation VIII
736,accuracy,95% in Generation VIII
736,gen,LGPE only
737,power,80 in Generation VIII
737,accuracy,95% in Generation VIII
737,gen,LGPE only
738,pp,10 in Generation VIII
738,power,100 in Generation VIII
738,accuracy,90% in Generation VIII
738,gen,LGPE only
739,pp,10 in Generation VIII
739,power,100 in Generation VIII
739,accuracy,90% in Generation VIII
739,gen,LGPE only
740,pp,5 in Generation VIII
740,power,120 in Generation VIII
740,accuracy,85% in Generation VIII
740,gen,LGPE only
741,gen,LGPE only
742,gen,LGPE only
