Dex Number,Sprite URL,Pokemon,Ability 1,Ability 2,Hidden,Introduced
51,//cdn2.bulbagarden.net/upload/7/73/051AMS8.png,dugtrio-alolan-dugtrio,sand-veil,tangling-hair,sand-force,7
52,//cdn2.bulbagarden.net/upload/e/e4/052MS8.png,meowth,pickup,technician,unnerve,1
52,//cdn2.bulbagarden.net/upload/b/b1/052AMS8.png,meowth-alolan-meowth,pickup,technician,rattled,7
52,//cdn2.bulbagarden.net/upload/a/a9/052GMS8.png,meowth-galarian-meowth,pickup,tough-claws,unnerve,8
53,//cdn2.bulbagarden.net/upload/f/f7/053MS8.png,persian,limber,technician,unnerve,1
53,//cdn2.bulbagarden.net/upload/f/ff/053AMS8.png,persian-alolan-persian,fur-coat,technician,rattled,7
863,//cdn2.bulbagarden.net/upload/e/e5/863MS8.png,perrserker,battle-armor,tough-claws,steely-spirit,8
54,//cdn2.bulbagarden.net/upload/a/a0/054MS8.png,psyduck,damp,cloud-nine,swift-swim,1
55,//cdn2.bulbagarden.net/upload/7/7f/055MS8.png,golduck,damp,cloud-nine,swift-swim,1
56,//cdn2.bulbagarden.net/upload/a/af/056MSPE.png,mankey,vital-spirit,anger-point,defiant,1
57,//cdn2.bulbagarden.net/upload/a/aa/057MSPE.png,primeape,vital-spirit,anger-point,defiant,1
58,//cdn2.bulbagarden.net/upload/4/45/058MS8.png,growlithe,intimidate,flash-fire,justified,1
59,//cdn2.bulbagarden.net/upload/c/cc/059MS8.png,arcanine,intimidate,flash-fire,justified,1
60,//cdn2.bulbagarden.net/upload/c/c7/060MS8.png,poliwag,water-absorb,damp,swift-swim,1
61,//cdn2.bulbagarden.net/upload/b/b1/061MS8.png,poliwhirl,water-absorb,damp,swift-swim,1
62,//cdn2.bulbagarden.net/upload/e/e4/062MS8.png,poliwrath,water-absorb,damp,swift-swim,1
186,//cdn2.bulbagarden.net/upload/f/ff/186MS8.png,politoed,water-absorb,damp,drizzle,2
63,//cdn2.bulbagarden.net/upload/4/4e/063MS8.png,abra,synchronize,inner-focus,magic-guard,1
64,//cdn2.bulbagarden.net/upload/d/dc/064MS8.png,kadabra,synchronize,inner-focus,magic-guard,1
65,//cdn2.bulbagarden.net/upload/4/41/065MS8.png,alakazam,synchronize,inner-focus,magic-guard,1
65,//cdn2.bulbagarden.net/upload/5/5a/065MMS6.png,alakazam-mega-alakazam,trace,,,6
66,//cdn2.bulbagarden.net/upload/4/4c/066MS8.png,machop,guts,no-guard,steadfast,1
67,//cdn2.bulbagarden.net/upload/1/13/067MS8.png,machoke,guts,no-guard,steadfast,1
68,//cdn2.bulbagarden.net/upload/8/87/068MS8.png,machamp,guts,no-guard,steadfast,1
69,//cdn2.bulbagarden.net/upload/4/41/069MSPE.png,bellsprout,chlorophyll,,gluttony,1
70,//cdn2.bulbagarden.net/upload/2/2e/070MSPE.png,weepinbell,chlorophyll,,gluttony,1
71,//cdn2.bulbagarden.net/upload/4/4b/071MSPE.png,victreebel,chlorophyll,,gluttony,1
72,//cdn2.bulbagarden.net/upload/6/6f/072MS8.png,tentacool,clear-body,liquid-ooze,rain-dish,1
73,//cdn2.bulbagarden.net/upload/6/6c/073MS8.png,tentacruel,clear-body,liquid-ooze,rain-dish,1
74,//cdn2.bulbagarden.net/upload/0/04/074MSPE.png,geodude,rock-head,sturdy,sand-veil,1
74,//cdn2.bulbagarden.net/upload/6/66/074AMSPE.png,geodude-alolan-geodude,magnet-pull,sturdy,galvanize,7
75,//cdn2.bulbagarden.net/upload/0/00/075MSPE.png,graveler,rock-head,sturdy,sand-veil,1
75,//cdn2.bulbagarden.net/upload/0/05/075AMSPE.png,graveler-alolan-graveler,magnet-pull,sturdy,galvanize,7
76,//cdn2.bulbagarden.net/upload/a/a9/076MSPE.png,golem,rock-head,sturdy,sand-veil,1
76,//cdn2.bulbagarden.net/upload/6/65/076AMSPE.png,golem-alolan-golem,magnet-pull,sturdy,galvanize,7
77,//cdn2.bulbagarden.net/upload/3/30/077MS8.png,ponyta,run-away,flash-fire,flame-body,1
77,//cdn2.bulbagarden.net/upload/6/6c/077GMS8.png,ponyta-galarian-ponyta,run-away,pastel-veil,anticipation,8
78,//cdn2.bulbagarden.net/upload/2/2b/078MS8.png,rapidash,run-away,flash-fire,flame-body,1
78,//cdn2.bulbagarden.net/upload/c/cb/078GMS8.png,rapidash-galarian-rapidash,run-away,pastel-veil,anticipation,8
79,//cdn2.bulbagarden.net/upload/3/31/079MS8.png,slowpoke,oblivious,own-tempo,regenerator,1
79,//cdn2.bulbagarden.net/upload/0/0b/079GMS8.png,slowpoke-galarian-slowpoke,gluttony,own-tempo,regenerator,8
80,//cdn2.bulbagarden.net/upload/c/cb/080MS8.png,slowbro,oblivious,own-tempo,regenerator,1
80,//cdn2.bulbagarden.net/upload/0/04/080MMS6.png,slowbro-mega-slowbro,shell-armor,,,6
80,//cdn2.bulbagarden.net/upload/8/8c/080GMS8.png,slowbro-galarian-slowbro,quick-draw,own-tempo,regenerator,8
199,//cdn2.bulbagarden.net/upload/f/f0/199MS8.png,slowking,oblivious,own-tempo,regenerator,2
199,//cdn2.bulbagarden.net/upload/a/ad/199GMS8.png,slowking-galarian-slowking,curious-medicine,own-tempo,regenerator,8
81,//cdn2.bulbagarden.net/upload/e/ea/081MS8.png,magnemite,magnet-pull,sturdy,analytic,1
82,//cdn2.bulbagarden.net/upload/d/da/082MS8.png,magneton,magnet-pull,sturdy,analytic,1
462,//cdn2.bulbagarden.net/upload/8/8f/462MS8.png,magnezone,magnet-pull,sturdy,analytic,4
83,//cdn2.bulbagarden.net/upload/2/23/083MS8.png,farfetchd,keen-eye,inner-focus,defiant,1
83,//cdn2.bulbagarden.net/upload/1/10/083GMS8.png,farfetchd-galarian-farfetchd,steadfast,,scrappy,8
865,//cdn2.bulbagarden.net/upload/4/46/865MS8.png,sirfetchd,steadfast,,scrappy,8
84,//cdn2.bulbagarden.net/upload/5/58/084MSPE.png,doduo,run-away,early-bird,tangled-feet,1
85,//cdn2.bulbagarden.net/upload/3/3b/085MSPE.png,dodrio,run-away,early-bird,tangled-feet,1
86,//cdn2.bulbagarden.net/upload/3/37/086MSPE.png,seel,thick-fat,hydration,ice-body,1
87,//cdn2.bulbagarden.net/upload/a/a7/087MSPE.png,dewgong,thick-fat,hydration,ice-body,1
88,//cdn2.bulbagarden.net/upload/6/63/088MSPE.png,grimer,stench,sticky-hold,poison-touch,1
88,//cdn2.bulbagarden.net/upload/e/ec/088AMSPE.png,grimer-alolan-grimer,poison-touch,gluttony,power-of-alchemy,7
89,//cdn2.bulbagarden.net/upload/d/d1/089MSPE.png,muk,stench,sticky-hold,poison-touch,1
89,//cdn2.bulbagarden.net/upload/0/01/089AMSPE.png,muk-alolan-muk,poison-touch,gluttony,power-of-alchemy,7
90,//cdn2.bulbagarden.net/upload/8/8f/090MS8.png,shellder,shell-armor,skill-link,overcoat,1
91,//cdn2.bulbagarden.net/upload/c/ce/091MS8.png,cloyster,shell-armor,skill-link,overcoat,1
92,//cdn2.bulbagarden.net/upload/8/8e/092MS8.png,gastly,levitate,,,1
93,//cdn2.bulbagarden.net/upload/e/e8/093MS8.png,haunter,levitate,,,1
94,//cdn2.bulbagarden.net/upload/5/58/094MS8.png,gengar,cursed-body,,,1
94,//cdn2.bulbagarden.net/upload/c/c9/094MMS6.png,gengar-mega-gengar,shadow-tag,,,6
95,//cdn2.bulbagarden.net/upload/5/5e/095MS8.png,onix,rock-head,sturdy,weak-armor,1
208,//cdn2.bulbagarden.net/upload/e/ee/208MS8.png,steelix,rock-head,sturdy,sheer-force,2
208,//cdn2.bulbagarden.net/upload/6/64/208MMS6.png,steelix-mega-steelix,sand-force,,,6
96,//cdn2.bulbagarden.net/upload/1/12/096MSPE.png,drowzee,insomnia,forewarn,inner-focus,1
97,//cdn2.bulbagarden.net/upload/6/64/097MSPE.png,hypno,insomnia,forewarn,inner-focus,1
98,//cdn2.bulbagarden.net/upload/b/be/098MS8.png,krabby,hyper-cutter,shell-armor,sheer-force,1
99,//cdn2.bulbagarden.net/upload/f/fd/099MS8.png,kingler,hyper-cutter,shell-armor,sheer-force,1
100,//cdn2.bulbagarden.net/upload/3/31/100MSPE.png,voltorb,soundproof,static,aftermath,1
101,//cdn2.bulbagarden.net/upload/3/31/101MSPE.png,electrode,soundproof,static,aftermath,1
102,//cdn2.bulbagarden.net/upload/0/07/102MS8.png,exeggcute,chlorophyll,,harvest,1
103,//cdn2.bulbagarden.net/upload/f/fb/103MS8.png,exeggutor,chlorophyll,,harvest,1
103,//cdn2.bulbagarden.net/upload/d/d3/103AMS8.png,exeggutor-alolan-exeggutor,frisk,,harvest,7
104,//cdn2.bulbagarden.net/upload/8/88/104MS8.png,cubone,rock-head,lightning-rod,battle-armor,1
105,//cdn2.bulbagarden.net/upload/7/72/105MS8.png,marowak,rock-head,lightning-rod,battle-armor,1
105,//cdn2.bulbagarden.net/upload/1/1d/105AMS8.png,marowak-alolan-marowak,cursed-body,lightning-rod,rock-head,7
236,//cdn2.bulbagarden.net/upload/d/dc/236MS8.png,tyrogue,guts,steadfast,vital-spirit,2
106,//cdn2.bulbagarden.net/upload/5/5d/106MS8.png,hitmonlee,limber,reckless,unburden,1
107,//cdn2.bulbagarden.net/upload/8/81/107MS8.png,hitmonchan,keen-eye,iron-fist,inner-focus,1
237,//cdn2.bulbagarden.net/upload/9/93/237MS8.png,hitmontop,intimidate,technician,steadfast,2
108,//cdn2.bulbagarden.net/upload/3/32/108MS8.png,lickitung,own-tempo,oblivious,cloud-nine,1
463,//cdn2.bulbagarden.net/upload/d/dc/463MS8.png,lickilicky,own-tempo,oblivious,cloud-nine,4
109,//cdn2.bulbagarden.net/upload/c/c7/109MS8.png,koffing,levitate,neutralizing-gas,stench,1
110,//cdn2.bulbagarden.net/upload/5/58/110MS8.png,weezing,levitate,neutralizing-gas,stench,1
110,//cdn2.bulbagarden.net/upload/f/f4/110GMS8.png,weezing-galarian-weezing,levitate,neutralizing-gas,misty-surge,8
111,//cdn2.bulbagarden.net/upload/e/e1/111MS8.png,rhyhorn,lightning-rod,rock-head,reckless,1
112,//cdn2.bulbagarden.net/upload/0/04/112MS8.png,rhydon,lightning-rod,rock-head,reckless,1
464,//cdn2.bulbagarden.net/upload/d/d6/464MS8.png,rhyperior,lightning-rod,solid-rock,reckless,4
440,//cdn2.bulbagarden.net/upload/3/35/440MS8.png,happiny,natural-cure,serene-grace,friend-guard,4
113,//cdn2.bulbagarden.net/upload/f/f1/113MS8.png,chansey,natural-cure,serene-grace,healer,1
242,//cdn2.bulbagarden.net/upload/d/d6/242MS8.png,blissey,natural-cure,serene-grace,healer,2
114,//cdn2.bulbagarden.net/upload/b/b3/114MS8.png,tangela,chlorophyll,leaf-guard,regenerator,1
465,//cdn2.bulbagarden.net/upload/6/65/465MS8.png,tangrowth,chlorophyll,leaf-guard,regenerator,4
115,//cdn2.bulbagarden.net/upload/7/74/115MS8.png,kangaskhan,early-bird,scrappy,inner-focus,1
115,//cdn2.bulbagarden.net/upload/4/41/115MMS6.png,kangaskhan-mega-kangaskhan,parental-bond,,,6
116,//cdn2.bulbagarden.net/upload/6/65/116MS8.png,horsea,swift-swim,sniper,damp,1
117,//cdn2.bulbagarden.net/upload/a/ae/117MS8.png,seadra,poison-point,sniper,damp,1
230,//cdn2.bulbagarden.net/upload/7/7f/230MS8.png,kingdra,swift-swim,sniper,damp,2
118,//cdn2.bulbagarden.net/upload/7/71/118MS8.png,goldeen,swift-swim,water-veil,lightning-rod,1
119,//cdn2.bulbagarden.net/upload/5/59/119MS8.png,seaking,swift-swim,water-veil,lightning-rod,1
120,//cdn2.bulbagarden.net/upload/0/04/120MS8.png,staryu,illuminate,natural-cure,analytic,1
121,//cdn2.bulbagarden.net/upload/2/2b/121MS8.png,starmie,illuminate,natural-cure,analytic,1
439,//cdn2.bulbagarden.net/upload/c/c3/439MS8.png,mime-jr,soundproof,filter,technician,4
122,//cdn2.bulbagarden.net/upload/e/e6/122MS8.png,mr-mime,soundproof,filter,technician,1
122,//cdn2.bulbagarden.net/upload/0/02/122GMS8.png,mr-mime-galarian-mr-mime,vital-spirit,screen-cleaner,ice-body,8
866,//cdn2.bulbagarden.net/upload/4/41/866MS8.png,mr-rime,tangled-feet,screen-cleaner,ice-body,8
123,//cdn2.bulbagarden.net/upload/e/e6/123MS8.png,scyther,swarm,technician,steadfast,1
212,//cdn2.bulbagarden.net/upload/b/bb/212MS8.png,scizor,swarm,technician,light-metal,2
212,//cdn2.bulbagarden.net/upload/d/d8/212MMS6.png,scizor-mega-scizor,technician,,,6
238,//cdn2.bulbagarden.net/upload/0/0e/238MS8.png,smoochum,oblivious,forewarn,hydration,2
124,//cdn2.bulbagarden.net/upload/9/90/124MS8.png,jynx,oblivious,forewarn,dry-skin,1
239,//cdn2.bulbagarden.net/upload/3/33/239MS8.png,elekid,static,,vital-spirit,2
125,//cdn2.bulbagarden.net/upload/f/f0/125MS8.png,electabuzz,static,,vital-spirit,1
466,//cdn2.bulbagarden.net/upload/1/15/466MS8.png,electivire,motor-drive,,vital-spirit,4
240,//cdn2.bulbagarden.net/upload/0/06/240MS8.png,magby,flame-body,,vital-spirit,2
126,//cdn2.bulbagarden.net/upload/3/3c/126MS8.png,magmar,flame-body,,vital-spirit,1
467,//cdn2.bulbagarden.net/upload/d/d1/467MS8.png,magmortar,flame-body,,vital-spirit,4
127,//cdn2.bulbagarden.net/upload/b/b8/127MS8.png,pinsir,hyper-cutter,mold-breaker,moxie,1
127,//cdn2.bulbagarden.net/upload/f/f0/127MMS6.png,pinsir-mega-pinsir,aerilate,,,6
128,//cdn2.bulbagarden.net/upload/b/be/128MS8.png,tauros,intimidate,anger-point,sheer-force,1
129,//cdn2.bulbagarden.net/upload/d/d0/129MS8.png,magikarp,swift-swim,,rattled,1
130,//cdn2.bulbagarden.net/upload/8/8e/130MS8.png,gyarados,intimidate,,moxie,1
130,//cdn2.bulbagarden.net/upload/4/4c/130MMS6.png,gyarados-mega-gyarados,mold-breaker,,,6
131,//cdn2.bulbagarden.net/upload/c/c3/131MS8.png,lapras,water-absorb,shell-armor,hydration,1
132,//cdn2.bulbagarden.net/upload/9/92/132MS8.png,ditto,limber,,imposter,1
133,//cdn2.bulbagarden.net/upload/1/19/133MS8.png,eevee,run-away,adaptability,anticipation,1
134,//cdn2.bulbagarden.net/upload/c/ca/134MS8.png,vaporeon,water-absorb,,hydration,1
135,//cdn2.bulbagarden.net/upload/8/8c/135MS8.png,jolteon,volt-absorb,,quick-feet,1
136,//cdn2.bulbagarden.net/upload/e/e5/136MS8.png,flareon,flash-fire,,guts,1
196,//cdn2.bulbagarden.net/upload/7/78/196MS8.png,espeon,synchronize,,magic-bounce,2
197,//cdn2.bulbagarden.net/upload/f/f4/197MS8.png,umbreon,synchronize,,inner-focus,2
470,//cdn2.bulbagarden.net/upload/a/ab/470MS8.png,leafeon,leaf-guard,,chlorophyll,4
471,//cdn2.bulbagarden.net/upload/8/87/471MS8.png,glaceon,snow-cloak,,ice-body,4
700,//cdn2.bulbagarden.net/upload/2/21/700MS8.png,sylveon,cute-charm,,pixilate,6
137,//cdn2.bulbagarden.net/upload/b/bc/137MS8.png,porygon,trace,download,analytic,1
233,//cdn2.bulbagarden.net/upload/a/a0/233MS8.png,porygon2,trace,download,analytic,2
474,//cdn2.bulbagarden.net/upload/d/df/474MS8.png,porygon-z,adaptability,download,analytic,4
138,//cdn2.bulbagarden.net/upload/c/c2/138MS8.png,omanyte,swift-swim,shell-armor,weak-armor,1
139,//cdn2.bulbagarden.net/upload/8/80/139MS8.png,omastar,swift-swim,shell-armor,weak-armor,1
140,//cdn2.bulbagarden.net/upload/a/a8/140MS8.png,kabuto,swift-swim,battle-armor,weak-armor,1
141,//cdn2.bulbagarden.net/upload/4/4c/141MS8.png,kabutops,swift-swim,battle-armor,weak-armor,1
142,//cdn2.bulbagarden.net/upload/9/90/142MS8.png,aerodactyl,rock-head,pressure,unnerve,1
142,//cdn2.bulbagarden.net/upload/c/c3/142MMS6.png,aerodactyl-mega-aerodactyl,tough-claws,,,6
446,//cdn2.bulbagarden.net/upload/7/7e/446MS8.png,munchlax,pickup,thick-fat,gluttony,4
143,//cdn2.bulbagarden.net/upload/5/5a/143MS8.png,snorlax,immunity,thick-fat,gluttony,1
144,//cdn2.bulbagarden.net/upload/a/a0/144MS8.png,articuno,pressure,,snow-cloak,1
144,//cdn2.bulbagarden.net/upload/b/b2/144GMS8.png,articuno-galarian-articuno,competitive,,,8
145,//cdn2.bulbagarden.net/upload/4/4b/145MS8.png,zapdos,pressure,,static,1
145,//cdn2.bulbagarden.net/upload/d/d8/145GMS8.png,zapdos-galarian-zapdos,defiant,,,8
146,//cdn2.bulbagarden.net/upload/f/f6/146MS8.png,moltres,pressure,,flame-body,1
146,//cdn2.bulbagarden.net/upload/0/06/146GMS8.png,moltres-galarian-moltres,berserk,,,8
147,//cdn2.bulbagarden.net/upload/9/9d/147MS8.png,dratini,shed-skin,,marvel-scale,1
148,//cdn2.bulbagarden.net/upload/b/b7/148MS8.png,dragonair,shed-skin,,marvel-scale,1
149,//cdn2.bulbagarden.net/upload/5/55/149MS8.png,dragonite,inner-focus,,multiscale,1
150,//cdn2.bulbagarden.net/upload/3/3e/150MS8.png,mewtwo,pressure,,unnerve,1
150,//cdn2.bulbagarden.net/upload/4/4d/150MXMS6.png,mewtwo-mega-mewtwo-x,steadfast,,,6
150,//cdn2.bulbagarden.net/upload/6/66/150MYMS6.png,mewtwo-mega-mewtwo-y,insomnia,,,6
151,//cdn2.bulbagarden.net/upload/b/b0/151MS8.png,mew,synchronize,,,1
Dex Number,Sprite URL,Pokemon,Ability 1,Ability 2,Hidden,Introduced
152,//cdn2.bulbagarden.net/upload/4/41/152MS6.png,chikorita,overgrow,,leaf-guard,2
153,//cdn2.bulbagarden.net/upload/7/71/153MS6.png,bayleef,overgrow,,leaf-guard,2
154,//cdn2.bulbagarden.net/upload/2/23/154MS6.png,meganium,overgrow,,leaf-guard,2
155,//cdn2.bulbagarden.net/upload/9/96/155MS6.png,cyndaquil,blaze,,flash-fire,2
156,//cdn2.bulbagarden.net/upload/d/df/156MS6.png,quilava,blaze,,flash-fire,2
157,//cdn2.bulbagarden.net/upload/5/55/157MS6.png,typhlosion,blaze,,flash-fire,2
158,//cdn2.bulbagarden.net/upload/3/39/158MS6.png,totodile,torrent,,sheer-force,2
159,//cdn2.bulbagarden.net/upload/b/b9/159MS6.png,croconaw,torrent,,sheer-force,2
160,//cdn2.bulbagarden.net/upload/9/99/160MS6.png,feraligatr,torrent,,sheer-force,2
161,//cdn2.bulbagarden.net/upload/6/69/161MS6.png,sentret,run-away,keen-eye,frisk,2
162,//cdn2.bulbagarden.net/upload/4/47/162MS6.png,furret,run-away,keen-eye,frisk,2
163,//cdn2.bulbagarden.net/upload/a/ae/163MS8.png,hoothoot,insomnia,keen-eye,tinted-lens,2
164,//cdn2.bulbagarden.net/upload/5/50/164MS8.png,noctowl,insomnia,keen-eye,tinted-lens,2
165,//cdn2.bulbagarden.net/upload/f/fe/165MS6.png,ledyba,swarm,early-bird,rattled,2
166,//cdn2.bulbagarden.net/upload/1/10/166MS6.png,ledian,swarm,early-bird,iron-fist,2
167,//cdn2.bulbagarden.net/upload/7/71/167MS6.png,spinarak,swarm,insomnia,sniper,2
168,//cdn2.bulbagarden.net/upload/9/96/168MS6.png,ariados,swarm,insomnia,sniper,2
170,//cdn2.bulbagarden.net/upload/a/ac/170MS8.png,chinchou,volt-absorb,illuminate,water-absorb,2
171,//cdn2.bulbagarden.net/upload/d/d4/171MS8.png,lanturn,volt-absorb,illuminate,water-absorb,2
175,//cdn2.bulbagarden.net/upload/4/4c/175MS8.png,togepi,hustle,serene-grace,super-luck,2
176,//cdn2.bulbagarden.net/upload/b/bc/176MS8.png,togetic,hustle,serene-grace,super-luck,2
