Move Name,Move Description
counter,"A retaliation move that counters any physical attack, inflicting double the damage taken."
covet,"The user endearingly approaches the target, then steals the target's held item."
crabhammer,The target is hammered with a large pincer. Critical hits land more easily.
cross_chop,The user delivers a double chop with its forearms crossed. Critical hits land more easily.
cross_poison,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.
crunch,The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.
crush_claw,The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.
crush_grip,"The target is crushed with great force. The more HP the target has left, the greater this move's power."
cut,The target is cut with a scythe or claw.
darkest_lariat,The user swings both arms and hits the target. The target's stat changes don't affect this attack's damage.
devastating_drake,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
diamond_storm,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user's Defense stat.
dig,"The user burrows into the ground, then attacks on the next turn."
dive,"Diving on the first turn, the user floats up and attacks on the next turn."
dizzy_punch,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
double_hit,"The user slams the target with a long tail, vines, or a tentacle. The target is hit twice in a row."
double_iron_bash,"The user rotates, centering the hex nut in its chest, and then strikes with its arms twice in a row. This may also make the target flinch."
double_kick,The target is quickly kicked twice in succession using both feet.
double_slap,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
double_edge,"A reckless, life-risking tackle in which the user rushes the target. This also damages the user quite a lot."
dragon_ascent,"After soaring upward, the user attacks its target by dropping out of the sky at high speeds. But it lowers its own Defense and Sp. Def stats in the process."
dragon_claw,The user slashes the target with huge sharp claws.
dragon_darts,"The user attacks twice using Dreepy. If there are two targets, this move hits each target once."
dragon_hammer,The user uses its body like a hammer to attack the target and inflict damage.
dragon_rush,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.
dragon_tail,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
drain_punch,An energy-draining punch. The user's HP is restored by half the damage taken by the target.
drill_peck,A corkscrewing attack that strikes the target with a sharp beak acting as a drill.
drill_run,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.
drum_beating,"The user plays its drum, controlling the drum's roots to attack the target. This also lowers the target's Speed stat."
dual_chop,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.
dual_wingbeat,The user slams the target with its wings. The target is hit twice in a row.
dynamic_punch,"The user punches the target with full, concentrated power. This confuses the target if it hits."
earthquake,The user sets off an earthquake that strikes every Pokémon around it.
egg_bomb,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
endeavor,This attack move cuts down the target's HP to equal the user's HP.
explosion,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
extreme_speed,The user charges the target at blinding speed. This move always goes first.
facade,"This attack move doubles its power if the user is poisoned, burned, or paralyzed."
fake_out,This attack hits first and makes the target flinch. It only works the first turn each time the user enters battle.
false_surrender,"The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses."
false_swipe,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
feint,This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves.
feint_attack,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
fell_stinger,"When the user knocks out a target with this move, the user's Attack stat rises drastically."
fire_fang,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.
fire_lash,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
fire_punch,The target is punched with a fiery fist. This may also leave the target with a burn.
first_impression,"Although this move has great power, it only works the first turn each time the user enters battle."
fishious_rend,"The user rends the target with its hard gills. If the user attacks before the target, the power of this move is doubled."
fissure,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.
flail,"The user flails about aimlessly to attack. The less HP the user has, the greater the move's power."
flame_charge,"Cloaking itself in flame, the user attacks the target. Then, building up more power, the user raises its Speed stat."
flame_wheel,The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.
flare_blitz,The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.
fling,The user flings its held item at the target to attack. This move's power and effects depend on the item.
flip_turn,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
floaty_fall,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
fly,The user flies up into the sky and then strikes its target on the next turn.
flying_press,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.
focus_punch,The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.
force_palm,The target is attacked with a shock wave. This may also leave the target with paralysis.
foul_play,"The user turns the target's power against it. The higher the target's Attack stat, the greater the damage it deals."
freeze_shock,"On the second turn, the user hits the target with electrically charged ice. This may also leave the target with paralysis."
frustration,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
fury_attack,The target is jabbed repeatedly with a horn or beak two to five times in a row.
fury_cutter,The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.
fury_swipes,The target is raked with sharp claws or scythes quickly two to five times in a row.
fusion_bolt,The user throws down a giant lightning bolt. This move's power is increased when influenced by an enormous flame.
g_max_befuddle,"A Bug-type attack that Gigantamax Butterfree use. This move inflicts the poisoned, paralyzed, or asleep status condition on opponents."
g_max_cannonade,A Water-type attack that Gigantamax Blastoise use. This move continues to deal damage to opponents for four turns.
g_max_centiferno,A Fire-type attack that Gigantamax Centiskorch use. This move traps opponents in flames for four to five turns.
g_max_chi_strike,A Fighting-type attack that Gigantamax Machamp use. This move raises the chance of critical hits.
g_max_cuddle,A Normal-type attack that Gigantamax Eevee use. This move infatuates opponents.
g_max_depletion,A Dragon-type attack that Gigantamax Duraludon use. Reduces the PP of the last move used.
g_max_drum_solo,A Grass-type attack that Gigantamax Rillaboom use. This move can be used on the target regardless of its Abilities.
g_max_finale,A Fairy-type attack that Gigantamax Alcremie use. This move heals the HP of allies.
g_max_fireball,A Fire-type attack that Gigantamax Cinderace use. This move can be used on the target regardless of its Abilities
g_max_foam_burst,A Water-type attack that Gigantamax Kingler use. This move harshly lowers the Speed of opponents.
g_max_gold_rush,A Normal-type attack that Gigantamax Meowth use. This move confuses opponents and also earns extra money.
g_max_gravitas,A Psychic-type attack that Gigantamax Orbeetle use. This move changes gravity for five turns.
g_max_hydrosnipe,A Water-type attack that Gigantamax Inteleon use. This move can be used on the target regardless of its Abilities.
g_max_malodor,A Poison-type attack that Gigantamax Garbodor use. This move poisons opponents.
g_max_meltdown,A Steel-type attack that Gigantamax Melmetal use. This move makes opponents incapable of using the same move twice in a row.
g_max_one_blow,A Dark-type attack that Gigantamax Urshifu use. This single-strike move can ignore Max Guard.
g_max_rapid_flow,A Water-type attack that Gigantamax Urshifu use. This rapid-strike move can ignore Max Guard.
g_max_replenish,A Normal-type attack that Gigantamax Snorlax use. This move restores Berries that have been eaten.
g_max_resonance,An Ice-type attack that Gigantamax Lapras use. This move reduces the damage received for five turns.
g_max_sandblast,A Ground-type attack that Gigantamax Sandaconda use. Opponents are trapped in a raging sandstorm for four to five turns.
g_max_smite,A Fairy-type attack that Gigantamax Hatterene use. This move confuses opponents.
g_max_snooze,A Dark-type attack that Gigantamax Grimmsnarl use. The user lets loose a huge yawn that lulls the targets into falling asleep on the next turn.
g_max_steelsurge,A Steel-type attack that Gigantamax Copperajah use. This move scatters sharp spikes around the field.
g_max_stonesurge,A Water-type attack that Gigantamax Drednaw use. This move scatters sharp rocks around the field.
g_max_stun_shock,An Electric-type attack that Gigantamax Toxtricity use. This move poisons or paralyzes opponents.
g_max_sweetness,A Grass-type attack that Gigantamax Appletun use. This move heals the status conditions of allies.
g_max_tartness,A Grass-type attack that Gigantamax Flapple use. This move reduces the opponentsâ€™ evasiveness.
g_max_terror,A Ghost-type attack that Gigantamax Gengar use. This Pokémon steps on the opposing Pokémonâ€™s shadow to prevent them from escaping.
g_max_vine_lash,A Grass-type attack that Gigantamax Venusaur use. This move continues to deal damage to opponents for four turns.
g_max_volcalith,A Rock-type attack that Gigantamax Coalossal use. This move continues to deal damage to opponents for four turns.
g_max_volt_crash,An Electric-type attack that Gigantamax Pikachu use. This move paralyzes opponents.
g_max_wildfire,A Fire-type attack that Gigantamax Charizard use. This move continues to deal damage to opponents for four turns.
g_max_wind_rage,A Flying-type attack that Gigantamax Corviknight use. This move removes the effects of moves like Reflect and Light Screen.
gear_grind,The user attacks by throwing steel gears at its target twice.
giga_impact,The user charges at the target using every bit of its power. The user can't move on the next turn.
gigavolt_havoc,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
glacial_lance,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
grassy_glide,"Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain."
grav_apple,The user inflicts damage by dropping an apple from high above. This also lowers the target's Defense stat.
guillotine,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
gunk_shot,The user shoots filthy garbage at the target to attack. This may also poison the target.
gyro_ball,"The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move's power."
hammer_arm,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
head_charge,"The user charges its head into its target, using its powerful guard hair. This also damages the user a little."
head_smash,"The user attacks the target with a hazardous, full-power headbutt. This also damages the user terribly."
headbutt,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.
heart_stamp,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
heat_crash,"The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the move's power."
heavy_slam,"The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move's power."
high_horsepower,The user fiercely attacks the target using its entire body.
high_jump_kick,"The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead."
hold_back,"The user holds back when it attacks, and the target is left with at least 1 HP."
horn_attack,The target is jabbed with a sharply pointed horn to inflict damage.
horn_drill,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.
horn_leech,The user drains the target's energy with its horns. The user's HP is restored by half the damage taken by the target.
hydro_vortex,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
hyper_fang,The user bites hard on the target with its sharp front fangs. This may also make the target flinch.
hyperspace_fury,"Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. But the user's Defense stat falls."
ice_ball,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
ice_fang,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.
ice_hammer,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
ice_punch,The target is punched with an icy fist. This may also leave the target frozen.
ice_shard,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.
icicle_crash,The user attacks by harshly dropping large icicles onto the target. This may also make the target flinch.
icicle_spear,The user launches sharp icicles at the target two to five times in a row.
inferno_overdrive,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
iron_head,The user slams the target with its steel-hard head. This may also make the target flinch.
iron_tail,The target is slammed with a steel-hard tail. This may also lower the target's Defense stat.
jaw_lock,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.
jump_kick,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
karate_chop,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
knock_off,"The user slaps down the target's held item, and that item can't be used in that battle. The move does more damage if the target has a held item."
lands_wrath,The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them.
lash_out,"The user lashes out to vent its frustration toward the target. If the user's stats were lowered during this turn, the power of this move is doubled."
last_resort,This move can be used only after the user has used all the other moves it knows in the battle.
leaf_blade,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.
leafage,The user attacks by pelting the target with leaves.
leech_life,The user drains the target's blood. The user's HP is restored by half the damage taken by the target.
lets_snuggle_forever,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
lick,"The target is licked with a long tongue, causing damage. This may also leave the target with paralysis."
liquidation,The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.
low_kick,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power."
low_sweep,"The user makes a swift attack on the target's legs, which lowers the target's Speed stat."
lunge,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
mach_punch,The user throws a punch at blinding speed. This move always goes first.
magnet_bomb,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
magnitude,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
malicious_moonsault,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
max_airstream,This is a Flying-type attack Dynamax Pokémon use. This raises ally Pokémon's Speed stats.
max_darkness,This is a Dark-type attack Dynamax Pokémon use. This lowers the target's Sp. Def stat.
max_flare,This is a Fire-type attack Dynamax Pokémon use. The user intensifies the sun for five turns.
max_flutterby,This is a Bug-type attack Dynamax Pokémon use. This lowers the target's Sp. Atk stat.
max_geyser,This is a Water-type attack Dynamax Pokémon use. The user summons a heavy rain that falls for five turns.
max_hailstorm,This is an Ice-type attack Dynamax Pokémon use. The user summons a hailstorm lasting five turns.
max_knuckle,This is a Fighting-type attack Dynamax Pokémon use. This raises ally Pokémon's Attack stats.
max_lightning,This is an Electric-type attack Dynamax Pokémon use. The user turns the ground into Electric Terrain for five turns.
max_mindstorm,This is a Psychic-type attack Dynamax Pokémon use. The user turns the ground into Psychic Terrain for five turns.
max_ooze,This is a Poison-type attack Dynamax Pokémon use. This raises ally Pokémon's Sp. Atk stats.
max_overgrowth,This is a Grass-type attack Dynamax Pokémon use. The user turns the ground into Grassy Terrain for five turns.
max_phantasm,This is a Ghost-type attack Dynamax Pokémon use. This lowers the target's Defense stat.
max_quake,This is a Ground-type attack Dynamax Pokémon use. This raises ally Pokémon's Sp. Def stats.
max_rockfall,This is a Rock-type attack Dynamax Pokémon use. The user summons a sandstorm lasting five turns.
max_starfall,This is a Fairy-type attack Dynamax Pokémon use. The user turns the ground into Misty Terrain for five turns.
max_steelspike,This is a Steel-type attack Dynamax Pokémon use. This raises ally Pokémon's Defense stats.
max_strike,This is a Normal-type attack Dynamax Pokémon use. This lowers the target's Speed stat.
max_wyrmwind,This is a Dragon-type attack Dynamax Pokémon use. This lowers the target's Attack stat.
mega_kick,The target is attacked by a kick launched with muscle-packed power.
mega_punch,The target is slugged by a punch thrown with muscle-packed power.
megahorn,"Using its tough and impressive horn, the user rams into the target with no letup."
metal_burst,The user retaliates with much greater force against the opponent that last inflicted damage on it.
metal_claw,The target is raked with steel claws. This may also raise the user's Attack stat.
meteor_assault,"The user attacks wildly with its thick leek. The user can't move on the next turn, because the force of this move makes it stagger."
meteor_mash,The target is hit with a hard punch fired like a meteor. This may also raise the user's Attack stat.
multi_attack,"Cloaking itself in high energy, the user slams into the target. The memory held determines the move's type."
natural_gift,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
needle_arm,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
never_ending_nightmare,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
night_slash,The user slashes the target the instant an opportunity arises. Critical hits land more easily.
nuzzle,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.
outrage,The user rampages and attacks for two to three turns. The user then becomes confused.
pay_day,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
payback,"The user stores power, then attacks. If the user moves after the target, this attack's power will be doubled."
peck,The target is jabbed with a sharply pointed beak or horn.
petal_blizzard,The user stirs up a violent petal blizzard and attacks everything around it.
phantom_force,"The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself."
pin_missile,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
plasma_fists,The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves.
play_rough,The user plays rough with the target and attacks it. This may also lower the target's Attack stat.
pluck,"The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect."
poison_fang,The user bites the target with toxic fangs. This may also leave the target badly poisoned.
poison_jab,"The target is stabbed with a tentacle, arm, or the like steeped in poison. This may also poison the target."
poison_sting,The user stabs the target with a poisonous stinger. This may also poison the target.
poison_tail,The user hits the target with its tail. This may also poison the target. Critical hits land more easily.
poltergeist,The user attacks the target by controlling the target's item. The move fails if the target doesn't have an item.
pound,"The target is physically pounded with a long tail, a foreleg, or the like."
power_trip,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power."
power_whip,"The user violently whirls its vines, tentacles, or the like to harshly lash the target."
power_up_punch,Striking opponents over and over makes the user's fists harder. Hitting a target raises the Attack stat.
precipice_blades,The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.
present,"The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however."
psychic_fangs,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.
psycho_cut,The user tears at the target with blades formed by psychic power. Critical hits land more easily.
pulverizing_pancake,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
punishment,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
pursuit,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
pyro_ball,The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.
quick_attack,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
rage,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
rapid_spin,"A spin attack that can also eliminate such moves as Bind, Wrap, and Leech Seed. This also raises the user's Speed stat."
razor_leaf,Sharp-edged leaves are launched to slash at opposing Pokémon. Critical hits land more easily.
razor_shell,The user cuts its target with sharp shells. This may also lower the target's Defense stat.
retaliate,"The user gets revenge for a fainted ally. If an ally fainted in the previous turn, this move's power is increased."
return,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
revenge,This attack move's power is doubled if the user has been hurt by the opponent in the same turn.
reversal,An all-out attack that becomes more powerful the less HP the user has.
rock_blast,The user hurls hard rocks at the target. Two to five rocks are launched in a row.
rock_climb,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
rock_slide,Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.
rock_smash,The user attacks with a punch. This may also lower the target's Defense stat.
rock_throw,The user picks up and throws a small rock at the target to attack.
rock_tomb,Boulders are hurled at the target. This also lowers the target's Speed stat by preventing its movement.
rock_wrecker,The user launches a huge boulder at the target to attack. The user can't move on the next turn.
rolling_kick,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
rollout,The user continually rolls into the target over five turns. It becomes more powerful each time it hits.
sacred_fire,The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.
sacred_sword,The user attacks by slicing with a long horn. The target's stat changes don't affect this attack's damage.
sand_tomb,The user traps the target inside a harshly raging sandstorm for four to five turns.
sappy_seed,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
savage_spin_out,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
scale_shot,The user attacks by shooting scales two to five times in a row. This move boosts the user's Speed stat but lowers its Defense stat.
scratch,"Hard, pointed, sharp claws rake the target to inflict damage."
searing_sunraze_smash,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
secret_power,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
seed_bomb,The user slams a barrage of hard-shelled seeds down on the target from above.
seismic_toss,The target is thrown using the power of gravity. It inflicts damage equal to the user's level.
self_destruct,The user attacks everything around it by causing an explosion. The user faints upon using this move.
shadow_bone,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target's Defense stat.
shadow_claw,The user slashes with a sharp claw made from shadows. Critical hits land more easily.
shadow_force,"The user disappears, then strikes the target on the next turn. This move hits even if the target protects itself."
shadow_punch,The user throws a punch from the shadows. This attack never misses.
shadow_sneak,The user extends its shadow and attacks the target from behind. This move always goes first.
shattered_psyche,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
sinister_arrow_raid,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
sizzly_slide,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
skitter_smack,The user skitters behind the target to attack. This also lowers the target's Sp. Atk stat.
skull_bash,"The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn."
sky_attack,A second-turn attack move where critical hits land more easily. This may also make the target flinch.
sky_drop,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
sky_uppercut,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
slam,"The target is slammed with a long tail, vines, or the like to inflict damage."
slash,The target is attacked with a slash of claws or blades. Critical hits land more easily.
smack_down,The user throws a stone or similar projectile to attack the target. A flying Pokémon will fall to the ground when it's hit.
smart_strike,The user stabs the target with a sharp horn. This attack never misses.
smelling_salts,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
snap_trap,The user snares the target in a snap trap for four to five turns.
solar_blade,"In this two-turn attack, the user gathers light and fills a blade with the light's energy, attacking the target on the next turn."
soul_stealing_7_star_strike,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
spark,The user throws an electrically charged tackle at the target. This may also leave the target with paralysis.
spectral_thief,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks."
spike_cannon,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
spirit_break,The user attacks the target with so much force that it could break the target's spirit. This also lowers the target's Sp. Atk stat.
spirit_shackle,The user attacks while simultaneously stitching the target's shadow to the ground to prevent the target from escaping.
splintered_stormshards,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
steamroller,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
steel_roller,The user attacks while destroying the terrain. This move fails when the ground hasn't turned into a terrain.
steel_wing,The target is hit with wings of steel. This may also raise the user's Defense stat.
stomp,The target is stomped with a big foot. This may also make the target flinch.
stomping_tantrum,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles."
stone_edge,The user stabs the target from below with sharpened stones. Critical hits land more easily.
storm_throw,The user strikes the target with a fierce blow. This attack always results in a critical hit.
strength,The target is slugged with a punch thrown at maximum power.
struggle,This attack is used in desperation only if the user has no PP. It also damages the user a little.
submission,The user grabs the target and recklessly dives for the ground. This also damages the user a little.
subzero_slammer,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
sucker_punch,This move enables the user to attack first. This move fails if the target is not readying an attack.
sunsteel_strike,The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Abilities.
super_fang,The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half.
superpower,"The user attacks the target with great power. However, this also lowers the user's Attack and Defense stats."
supersonic_skystrike,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
surging_strikes,"The user, having mastered the Water style, strikes the target with a flowing motion three times in a row. This attack always results in a critical hit."
tackle,A physical attack in which the user charges and slams into the target with its whole body.
tail_slap,The user attacks by striking the target with its hard tail. It hits the target two to five times in a row.
take_down,"A reckless, full-body charge attack for slamming into the target. This also damages the user a little."
tectonic_rage,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
thief,The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item.
