PokeAPI Form Name,PokeAPI ID
jellicent,593
alomomola,594
joltik,595
galvantula,596
ferroseed,597
ferrothorn,598
klink,599
klang,600
klinklang,601
tynamo,602
eelektrik,603
eelektross,604
elgyem,605
beheeyem,606
litwick,607
lampent,608
chandelure,609
axew,610
fraxure,611
haxorus,612
cubchoo,613
beartic,614
cryogonal,615
shelmet,616
accelgor,617
stunfisk,618
mienfoo,619
mienshao,620
druddigon,621
golett,622
golurk,623
pawniard,624
bisharp,625
bouffalant,626
rufflet,627
braviary,628
vullaby,629
mandibuzz,630
heatmor,631
durant,632
deino,633
zweilous,634
hydreigon,635
larvesta,636
volcarona,637
cobalion,638
terrakion,639
virizion,640
tornadus-incarnate,641
thundurus-incarnate,642
reshiram,643
zekrom,644
landorus-incarnate,645
kyurem,646
keldeo-ordinary,647
meloetta-aria,648
genesect,649
chespin,650
quilladin,651
chesnaught,652
fennekin,653
braixen,654
delphox,655
froakie,656
frogadier,657
greninja,658
bunnelby,659
diggersby,660
fletchling,661
fletchinder,662
talonflame,663
scatterbug-icy-snow,664
spewpa-icy-snow,665
vivillon-meadow,666
litleo,667
pyroar,668
flabebe-red,669
floette-red,670
florges-red,671
skiddo,672
gogoat,673
pancham,674
pangoro,675
furfrou-natural,676
espurr,677
meowstic-male,678
honedge,679
doublade,680
aegislash-shield,681
spritzee,682
aromatisse,683
swirlix,684
slurpuff,685
inkay,686
malamar,687
binacle,688
barbaracle,689
skrelp,690
dragalge,691
clauncher,692
clawitzer,693
helioptile,694
heliolisk,695
tyrunt,696
tyrantrum,697
amaura,698
aurorus,699
sylveon,700
hawlucha,701
dedenne,702
carbink,703
goomy,704
sliggoo,705
goodra,706
klefki,707
phantump,708
trevenant,709
pumpkaboo-average,710
gourgeist-average,711
bergmite,712
avalugg,713
noibat,714
noivern,715
xerneas-active,716
yveltal,717
zygarde,718
diancie,719
hoopa,720
volcanion,721
rowlet,722
dartrix,723
decidueye,724
litten,725
torracat,726
incineroar,727
popplio,728
brionne,729
primarina,730
pikipek,731
trumbeak,732
toucannon,733
yungoos,734
gumshoos,735
grubbin,736
charjabug,737
vikavolt,738
crabrawler,739
crabominable,740
oricorio-baile,741
cutiefly,742
ribombee,743
rockruff,744
lycanroc-midday,745
wishiwashi-solo,746
mareanie,747
toxapex,748
mudbray,749
mudsdale,750
dewpider,751
araquanid,752
fomantis,753
lurantis,754
morelull,755
shiinotic,756
salandit,757
salazzle,758
stufful,759
bewear,760
bounsweet,761
steenee,762
tsareena,763
comfey,764
oranguru,765
passimian,766
wimpod,767
golisopod,768
sandygast,769
palossand,770
pyukumuku,771
type-null,772
silvally-normal,773
minior-red-meteor,774
komala,775
turtonator,776
togedemaru,777
mimikyu-disguised,778
bruxish,779
drampa,780
dhelmise,781
jangmo-o,782
hakamo-o,783
kommo-o,784
tapu-koko,785
tapu-lele,786
tapu-bulu,787
tapu-fini,788
cosmog,789
cosmoem,790
solgaleo,791
lunala,792
nihilego,793
buzzwole,794
pheromosa,795
xurkitree,796
celesteela,797
kartana,798
guzzlord,799
necrozma,800
magearna,801
marshadow,802
poipole,803
naganadel,804
stakataka,805
blacephalon,806
zeraora,807
meltan,808
melmetal,809
grookey,810
thwackey,811
rillaboom,812
scorbunny,813
raboot,814
cinderace,815
sobble,816
drizzile,817
inteleon,818
skwovet,819
greedent,820
rookidee,821
corvisquire,822
corviknight,823
blipbug,824
dottler,825
orbeetle,826
nickit,827
thievul,828
gossifleur,829
eldegoss,830
wooloo,831
dubwool,832
chewtle,833
drednaw,834
yamper,835
boltund,836
rolycoly,837
carkol,838
coalossal,839
applin,840
flapple,841
appletun,842
silicobra,843
sandaconda,844
cramorant,845
arrokuda,846
barraskewda,847
toxel,848
toxtricity-amped,849
sizzlipede,850
centiskorch,851
clobbopus,852
grapploct,853
sinistea-phony,854
polteageist-phony,855
hatenna,856
hattrem,857
hatterene,858
impidimp,859
morgrem,860
grimmsnarl,861
obstagoon,862
perrserker,863
cursola,864
sirfetchd,865
mr-rime,866
runerigus,867
milcery,868
alcremie,869
falinks,870
pincurchin,871
snom,872
frosmoth,873
stonjourner,874
eiscue-ice,875
indeedee-male,876
morpeko-full-belly,877
cufant,878
copperajah,879
dracozolt,880
arctozolt,881
dracovish,882
arctovish,883
duraludon,884
dreepy,885
drakloak,886
dragapult,887
zacian-hero,888
zamazenta-hero,889
eternatus,890
kubfu,891
urshifu-single-strike,892
zarude,893
regieleki,894
regidrago,895
glastrier,896
spectrier,897
calyrex,898
unown-b,10001
unown-c,10002
unown-d,10003
unown-e,10004
unown-f,10005
unown-g,10006
unown-h,10007
unown-i,10008
unown-j,10009
unown-k,10010
unown-l,10011
unown-m,10012
unown-n,10013
unown-o,10014
unown-p,10015
unown-q,10016
unown-r,10017
unown-s,10018
unown-t,10019
unown-u,10020
unown-v,10021
unown-w,10022
unown-x,10023
unown-y,10024
unown-z,10025
unown-exclamation,10026
unown-question,10027
castform-sunny,10028
castform-rainy,10029
castform-snowy,10030
deoxys-attack,10031
deoxys-defense,10032
deoxys-speed,10033
burmy-sandy,10034
burmy-trash,10035
wormadam-sandy,10036
wormadam-trash,10037
cherrim-sunshine,10038
shellos-east,10039
gastrodon-east,10040
arceus-bug,10041
arceus-dark,10042
arceus-dragon,10043
arceus-electric,10044
arceus-fighting,10045
arceus-fire,10046
arceus-flying,10047
arceus-ghost,10048
arceus-grass,10049
arceus-ground,10050
arceus-ice,10051
arceus-poison,10052
arceus-psychic,10053
arceus-rock,10054
arceus-steel,10055
arceus-water,10056
arceus-unknown,10057
rotom-heat,10058
rotom-wash,10059
rotom-frost,10060
rotom-fan,10061
rotom-mow,10062
giratina-origin,10063
shaymin-sky,10064
pichu-spiky-eared,10065
basculin-blue-striped,10066
darmanitan-zen,10067
deerling-summer,10068
deerling-autumn,10069
deerling-winter,10070
sawsbuck-summer,10071
sawsbuck-autumn,10072
sawsbuck-winter,10073
meloetta-pirouette,10074
genesect-douse,10075
genesect-shock,10076
genesect-burn,10077
genesect-chill,10078
tornadus-therian,10079
thundurus-therian,10080
landorus-therian,10081
kyurem-black,10082
kyurem-white,10083
keldeo-resolute,10084
arceus-fairy,10085
vivillon-icy-snow,10086
vivillon-polar,10087
vivillon-tundra,10088
vivillon-continental,10089
vivillon-garden,10090
vivillon-elegant,10091
vivillon-modern,10092
vivillon-marine,10093
vivillon-archipelago,10094
vivillon-high-plains,10095
vivillon-sandstorm,10096
vivillon-river,10097
vivillon-monsoon,10098
vivillon-savanna,10099
vivillon-sun,10100
vivillon-ocean,10101
vivillon-jungle,10102
flabebe-yellow,10103
flabebe-orange,10104
flabebe-blue,10105
flabebe-white,10106
floette-yellow,10107
floette-orange,10108
floette-blue,10109
floette-white,10110
florges-yellow,10111
florges-orange,10112
florges-blue,10113
florges-white,10114
furfrou-heart,10115
furfrou-star,10116
furfrou-diamond,10117
furfrou-debutante,10118
furfrou-matron,10119
furfrou-dandy,10120
furfrou-la-reine,10121
furfrou-kabuki,10122
furfrou-pharaoh,10123
meowstic-female,10124
aegislash-blade,10125
pumpkaboo-small,10126
pumpkaboo-large,10127
pumpkaboo-super,10128
gourgeist-small,10129
gourgeist-large,10130
gourgeist-super,10131
xerneas-neutral,10132
venusaur-mega,10133
charizard-mega-x,10134
charizard-mega-y,10135
blastoise-mega,10136
alakazam-mega,10137
gengar-mega,10138
kangaskhan-mega,10139
pinsir-mega,10140
gyarados-mega,10141
aerodactyl-mega,10142
mewtwo-mega-x,10143
mewtwo-mega-y,10144
ampharos-mega,10145
scizor-mega,10146
heracross-mega,10147
houndoom-mega,10148
tyranitar-mega,10149
blaziken-mega,10150
gardevoir-mega,10151
mawile-mega,10152
aggron-mega,10153
medicham-mega,10154
manectric-mega,10155
banette-mega,10156
absol-mega,10157
garchomp-mega,10158
lucario-mega,10159
abomasnow-mega,10160
vivillon-fancy,10161
vivillon-poke-ball,10162
floette-eternal,10163
latias-mega,10164
latios-mega,10165
swampert-mega,10166
sceptile-mega,10167
sableye-mega,10168
altaria-mega,10169
gallade-mega,10170
audino-mega,10171
sharpedo-mega,10172
slowbro-mega,10173
steelix-mega,10174
pidgeot-mega,10175
glalie-mega,10176
diancie-mega,10177
metagross-mega,10178
kyogre-primal,10179
groudon-primal,10180
rayquaza-mega,10181
pikachu-rock-star,10182
pikachu-belle,10183
pikachu-pop-star,10184
pikachu-phd,10185
pikachu-libre,10186
pikachu-cosplay,10187
hoopa-unbound,10188
camerupt-mega,10189
lopunny-mega,10190
salamence-mega,10191
beedrill-mega,10192
rattata-alola,10193
raticate-alola,10194
raticate-totem-alola,10195
pikachu-original-cap,10196
pikachu-hoenn-cap,10197
pikachu-sinnoh-cap,10198
pikachu-unova-cap,10199
pikachu-kalos-cap,10200
pikachu-alola-cap,10201
raichu-alola,10202
sandshrew-alola,10203
sandslash-alola,10204
vulpix-alola,10205
ninetales-alola,10206
diglett-alola,10207
dugtrio-alola,10208
meowth-alola,10209
persian-alola,10210
geodude-alola,10211
graveler-alola,10212
golem-alola,10213
grimer-alola,10214
muk-alola,10215
exeggutor-alola,10216
marowak-alola,10217
greninja-battle-bond,10218
greninja-ash,10219
zygarde-10,10220
zygarde-50,10221
zygarde-complete,10222
gumshoos-totem,10223
vikavolt-totem,10224
oricorio-pom-pom,10225
oricorio-pau,10226
oricorio-sensu,10227
lycanroc-midnight,10228
wishiwashi-school,10229
lurantis-totem,10230
salazzle-totem,10231
silvally-fighting,10232
silvally-flying,10233
silvally-poison,10234
silvally-ground,10235
silvally-rock,10236
silvally-bug,10237
silvally-ghost,10238
silvally-steel,10239
silvally-fire,10240
silvally-water,10241
silvally-grass,10242
silvally-electric,10243
silvally-psychic,10244
silvally-ice,10245
silvally-dragon,10246
silvally-dark,10247
silvally-fairy,10248
minior-orange-meteor,10249
minior-yellow-meteor,10250
minior-green-meteor,10251
minior-blue-meteor,10252
minior-indigo-meteor,10253
minior-violet-meteor,10254
minior-red,10255
minior-orange,10256
minior-yellow,10257
minior-green,10258
minior-blue,10259
minior-indigo,10260
minior-violet,10261
mimikyu-busted,10262
mimikyu-totem-disguised,10263
mimikyu-totem-busted,10264
kommo-o-totem,10265
magearna-original,10266
pikachu-partner-cap,10267
marowak-totem,10268
mothim-sandy,10269
mothim-trash,10270
scatterbug-polar,10271
scatterbug-tundra,10272
scatterbug-continental,10273
scatterbug-garden,10274
scatterbug-elegant,10275
scatterbug-meadow,10276
scatterbug-modern,10277
scatterbug-marine,10278
scatterbug-archipelago,10279
scatterbug-high-plains,10280
scatterbug-sandstorm,10281
scatterbug-river,10282
scatterbug-monsoon,10283
scatterbug-savanna,10284
scatterbug-sun,10285
scatterbug-ocean,10286
scatterbug-jungle,10287
scatterbug-fancy,10288
scatterbug-poke-ball,10289
spewpa-polar,10290
spewpa-tundra,10291
spewpa-continental,10292
spewpa-garden,10293
spewpa-elegant,10294
spewpa-meadow,10295
spewpa-modern,10296
spewpa-marine,10297
spewpa-archipelago,10298
spewpa-high-plains,10299
spewpa-sandstorm,10300
spewpa-river,10301
spewpa-monsoon,10302
spewpa-savanna,10303
spewpa-sun,10304
spewpa-ocean,10305
spewpa-jungle,10306
spewpa-fancy,10307
spewpa-poke-ball,10308
ribombee-totem,10309
rockruff-own-tempo,10310
lycanroc-dusk,10311
araquanid-totem,10312
togedemaru-totem,10313
necrozma-dusk,10314
necrozma-dawn,10315
necrozma-ultra,10316
meowth-galar,10317
ponyta-galar,10318
rapidash-galar,10319
slowpoke-galar,10320
slowbro-galar,10321
farfetchd-galar,10322
weezing-galar,10323
mr-mime-galar,10324
articuno-galar,10325
zapdos-galar,10326
moltres-galar,10327
slowking-galar,10328
corsola-galar,10329
zigzagoon-galar,10330
linoone-galar,10331
darumaka-galar,10332
darmanitan-standard-galar,10333
darmanitan-zen-galar,10334
yamask-galar,10335
stunfisk-galar,10336
cramorant-gulping,10337
cramorant-gorging,10338
toxtricity-low-key,10339
sinistea-antique,10340
polteageist-antique,10341
eiscue-noice,10404
indeedee-female,10405
morpeko-hangry,10406
zacian-crowned,10407
zamazenta-crowned,10408
urshifu-rapid-strike,10409
zarude-dada,10410
calyrex-ice-rider,10411
calyrex-shadow-rider,10412
venusaur-gmax,10413
charizard-gmax,10414
blastoise-gmax,10415
butterfree-gmax,10416
pikachu-gmax,10417
meowth-gmax,10418
machamp-gmax,10419
gengar-gmax,10420
kingler-gmax,10421
lapras-gmax,10422
eevee-gmax,10423
snorlax-gmax,10424
garbodor-gmax,10425
melmetal-gmax,10426
rillaboom-gmax,10427
cinderace-gmax,10428
inteleon-gmax,10429
corviknight-gmax,10430
orbeetle-gmax,10431
drednaw-gmax,10432
coalossal-gmax,10433
flapple-gmax,10434
appletun-gmax,10435
sandaconda-gmax,10436
toxtricity-amped-gmax,10437
centiskorch-gmax,10438
hatterene-gmax,10439
grimmsnarl-gmax,10440
alcremie-gmax,10441
copperajah-gmax,10442
duraludon-gmax,10443
eternatus-eternamax,10444
urshifu-single-strike-gmax,10445
urshifu-rapid-strike-gmax,10446
toxtricity-low-key-gmax,10447
