Item Name,Item Class,Item Gen
rock_gem,gem,5
ghost_gem,gem,5
dragon_gem,gem,5
dark_gem,gem,5
steel_gem,gem,5
normal_gem,gem,5
fairy_gem,gem,6
full_incense,incense,4
lax_incense,incense,3
luck_incense,incense,4
odd_incense,incense,4
pure_incense,incense,4
rock_incense,incense,4
rose_incense,incense,4
sea_incense,incense,3
wave_incense,incense,4
abomasite,mega_stone,6
absolite,mega_stone,6
aerodactylite,mega_stone,6
aggronite,mega_stone,6
alakazite,mega_stone,6
altarianite,mega_stone,6
ampharosite,mega_stone,6
audinite,mega_stone,6
banettite,mega_stone,6
beedrillite,mega_stone,6
blastoisinite,mega_stone,6
blazikenite,mega_stone,6
cameruptite,mega_stone,6
charizardite_x,mega_stone,6
charizardite_y,mega_stone,6
diancite,mega_stone,6
galladite,mega_stone,6
garchompite,mega_stone,6
gardevoirite,mega_stone,6
gengarite,mega_stone,6
glalitite,mega_stone,6
gyaradosite,mega_stone,6
heracronite,mega_stone,6
houndoominite,mega_stone,6
kangaskhanite,mega_stone,6
latiasite,mega_stone,6
latiosite,mega_stone,6
lopunnite,mega_stone,6
lucarionite,mega_stone,6
manectite,mega_stone,6
mawilite,mega_stone,6
medichamite,mega_stone,6
metagrossite,mega_stone,6
mewtwonite_x,mega_stone,6
mewtwonite_y,mega_stone,6
pidgeotite,mega_stone,6
pinsirite,mega_stone,6
sablenite,mega_stone,6
salamencite,mega_stone,6
sceptilite,mega_stone,6
scizorite,mega_stone,6
sharpedonite,mega_stone,6
slowbronite,mega_stone,6
steelixite,mega_stone,6
swampertite,mega_stone,6
tyranitarite,mega_stone,6
venusaurite,mega_stone,6
bug_memory,memory,7
dark_memory,memory,7
dragon_memory,memory,7
electric_memory,memory,7
fairy_memory,memory,7
fighting_memory,memory,7
fire_memory,memory,7
flying_memory,memory,7
ghost_memory,memory,7
grass_memory,memory,7
ground_memory,memory,7
ice_memory,memory,7
poison_memory,memory,7
psychic_memory,memory,7
rock_memory,memory,7
steel_memory,memory,7
water_memory,memory,7
draco_plate,plate,4
dread_plate,plate,4
earth_plate,plate,4
fist_plate,plate,4
flame_plate,plate,4
icicle_plate,plate,4
insect_plate,plate,4
iron_plate,plate,4
meadow_plate,plate,4
mind_plate,plate,4
pixie_plate,plate,6
sky_plate,plate,4
splash_plate,plate,4
spooky_plate,plate,4
stone_plate,plate,4
toxic_plate,plate,4
zap_plate,plate,4
deep_sea_scale,enhancer,3
deep_sea_tooth,enhancer,3
eviolite,enhancer,5
leek,enhancer,2
light_ball,enhancer,2
lucky_punch,enhancer,2
metal_powder,enhancer,2
quick_powder,enhancer,4
soul_dew,enhancer,3
thick_club,enhancer,2
black_belt,enhancer,2
black_glasses,enhancer,2
charcoal,enhancer,2
dragon_fang,enhancer,2
hard_stone,enhancer,2
magnet,enhancer,2
metal_coat,enhancer,2
miracle_seed,enhancer,2
mystic_water,enhancer,2
never_melt_ice,enhancer,2
pink_bow,enhancer,2
poison_barb,enhancer,2
polkadot_bow,enhancer,2
sharp_beak,enhancer,2
silk_scarf,enhancer,3
silver_powder,enhancer,2
soft_sand,enhancer,2
spell_tag,enhancer,2
twisted_spoon,enhancer,2
soul_dew,enhancer,3
adamant_orb,enhancer,4
lustrous_orb,enhancer,4
griseous_orb,enhancer,4
buginium_z,z_crystal,7
darkinium_z,z_crystal,7
dragonium_z,z_crystal,7
electrium_z,z_crystal,7
fairium_z,z_crystal,7
fightinium_z,z_crystal,7
firium_z,z_crystal,7
flyinium_z,z_crystal,7
ghostium_z,z_crystal,7
grassium_z,z_crystal,7
groundium_z,z_crystal,7
icium_z,z_crystal,7
normalium_z,z_crystal,7
poisonium_z,z_crystal,7
psychium_z,z_crystal,7
rockium_z,z_crystal,7
steelium_z,z_crystal,7
waterium_z,z_crystal,7
aloraichium_z,z_crystal,7
decidium_z,z_crystal,7
eevium_z,z_crystal,7
incinium_z,z_crystal,7
kommonium_z,z_crystal,7
lunalium_z,z_crystal,7
lycanium_z,z_crystal,7
marshadium_z,z_crystal,7
mewnium_z,z_crystal,7
mimikium_z,z_crystal,7
pikanium_z,z_crystal,7
pikashunium_z,z_crystal,7
primarium_z,z_crystal,7
snorlium_z,z_crystal,7
solganium_z,z_crystal,7
tapunium_z,z_crystal,7
ultranecrozium_z,z_crystal,7
