Pokemon Name,Height m,Weight kg
mewtwo_mega_y,1.5,33.0
mew,0.4,4.0
chikorita,0.9,6.4
bayleef,1.2,15.8
meganium,1.8,100.5
cyndaquil,0.5,7.9
quilava,0.9,19.0
typhlosion,1.7,79.5
totodile,0.6,9.5
croconaw,1.1,25.0
feraligatr,2.3,88.8
sentret,0.8,6.0
furret,1.8,32.5
hoothoot,0.7,21.2
noctowl,1.6,40.8
ledyba,1.0,10.8
ledian,1.4,35.6
spinarak,0.5,8.5
ariados,1.1,33.5
crobat,1.8,75.0
chinchou,0.5,12.0
lanturn,1.2,22.5
pichu,0.3,2.0
cleffa,0.3,3.0
igglybuff,0.3,1.0
togepi,0.3,1.5
togetic,0.6,3.2
natu,0.2,2.0
xatu,1.5,15.0
mareep,0.6,7.8
flaaffy,0.8,13.3
ampharos,1.4,61.5
ampharos_mega,1.4,61.5
bellossom,0.4,5.8
marill,0.4,8.5
azumarill,0.8,28.5
sudowoodo,1.2,38.0
politoed,1.1,33.9
hoppip,0.4,0.5
skiploom,0.6,1.0
jumpluff,0.8,3.0
aipom,0.8,11.5
sunkern,0.3,1.8
sunflora,0.8,8.5
yanma,1.2,38.0
wooper,0.4,8.5
quagsire,1.4,75.0
espeon,0.9,26.5
umbreon,1.0,27.0
murkrow,0.5,2.1
slowking,2.0,79.5
slowking_galar,1.8,79.5
misdreavus,0.7,1.0
unown,0.5,5.0
wobbuffet,1.3,28.5
girafarig,1.5,41.5
pineco,0.6,7.2
forretress,1.2,125.8
dunsparce,1.5,14.0
gligar,1.1,64.8
steelix,9.2,400.0
steelix_mega,10.5,740.0
snubbull,0.6,7.8
granbull,1.4,48.7
qwilfish,0.5,3.9
scizor,1.8,118.0
scizor_mega,2.0,125.0
shuckle,0.6,20.5
heracross,1.5,54.0
heracross_mega,1.7,62.5
sneasel,0.9,28.0
teddiursa,0.6,8.8
ursaring,1.8,125.8
slugma,0.7,35.0
magcargo,0.8,55.0
swinub,0.4,6.5
piloswine,1.1,55.8
corsola,0.6,5.0
corsola_galar,0.6,0.5
remoraid,0.6,12.0
octillery,0.9,28.5
delibird,0.9,16.0
mantine,2.1,220.0
skarmory,1.7,50.5
houndour,0.6,10.8
houndoom,1.4,35.0
houndoom_mega,1.9,49.5
kingdra,1.8,152.0
phanpy,0.5,33.5
donphan,1.1,120.0
porygon2,0.6,32.5
stantler,1.4,71.2
smeargle,1.2,58.0
tyrogue,0.7,21.0
hitmontop,1.4,48.0
smoochum,0.4,6.0
elekid,0.6,23.5
magby,0.7,21.4
miltank,1.2,75.5
blissey,1.5,46.8
raikou,1.9,178.0
entei,2.1,198.0
suicune,2.0,187.0
larvitar,0.6,72.0
pupitar,1.2,152.0
tyranitar,2.0,202.0
tyranitar_mega,2.5,255.0
lugia,5.2,216.0
ho_oh,3.8,199.0
celebi,0.6,5.0
treecko,0.5,5.0
grovyle,0.9,21.6
sceptile,1.7,52.2
sceptile_mega,1.9,55.2
torchic,0.4,2.5
combusken,0.9,19.5
blaziken,1.9,52.0
blaziken_mega,1.9,52.0
mudkip,0.4,7.6
marshtomp,0.7,28.0
swampert,1.5,81.9
swampert_mega,1.9,102.0
poochyena,0.5,13.6
mightyena,1.0,37.0
zigzagoon,0.4,17.5
zigzagoon_galar,0.4,17.5
linoone,0.5,32.5
linoone_galar,0.5,32.5
wurmple,0.3,3.6
silcoon,0.6,10.0
beautifly,1.0,28.4
cascoon,0.7,11.5
dustox,1.2,31.6
lotad,0.5,2.6
lombre,1.2,32.5
ludicolo,1.5,55.0
seedot,0.5,4.0
nuzleaf,1.0,28.0
shiftry,1.3,59.6
taillow,0.3,2.3
swellow,0.7,19.8
wingull,0.6,9.5
pelipper,1.2,28.0
ralts,0.4,6.6
kirlia,0.8,20.2
gardevoir,1.6,48.4
gardevoir_mega,1.6,48.4
surskit,0.5,1.7
masquerain,0.8,3.6
shroomish,0.4,4.5
breloom,1.2,39.2
slakoth,0.8,24.0
vigoroth,1.4,46.5
slaking,2.0,130.5
nincada,0.5,5.5
ninjask,0.8,12.0
shedinja,0.8,1.2
whismur,0.6,16.3
loudred,1.0,40.5
exploud,1.5,84.0
makuhita,1.0,86.4
hariyama,2.3,253.8
azurill,0.2,2.0
nosepass,1.0,97.0
skitty,0.6,11.0
delcatty,1.1,32.6
sableye,0.5,11.0
sableye_mega,0.5,161.0
mawile,0.6,11.5
mawile_mega,1.0,23.5
aron,0.4,60.0
lairon,0.9,120.0
aggron,2.1,360.0
aggron_mega,2.2,395.0
meditite,0.6,11.2
medicham,1.3,31.5
medicham_mega,1.3,31.5
electrike,0.6,15.2
manectric,1.5,40.2
manectric_mega,1.8,44.0
plusle,0.4,4.2
minun,0.4,4.2
volbeat,0.7,17.7
illumise,0.6,17.7
roselia,0.3,2.0
gulpin,0.4,10.3
swalot,1.7,80.0
carvanha,0.8,20.8
sharpedo,1.8,88.8
sharpedo_mega,2.5,130.3
wailmer,2.0,130.0
wailord,14.5,398.0
numel,0.7,24.0
camerupt,1.9,220.0
camerupt_mega,2.5,320.5
torkoal,0.5,80.4
spoink,0.7,30.6
grumpig,0.9,71.5
spinda,1.1,5.0
trapinch,0.7,15.0
vibrava,1.1,15.3
flygon,2.0,82.0
cacnea,0.4,51.3
cacturne,1.3,77.4
swablu,0.4,1.2
altaria,1.1,20.6
altaria_mega,1.5,20.6
zangoose,1.3,40.3
seviper,2.7,52.5
lunatone,1.0,168.0
solrock,1.2,154.0
barboach,0.4,1.9
whiscash,0.9,23.6
corphish,0.6,11.5
crawdaunt,1.1,32.8
baltoy,0.5,21.5
claydol,1.5,108.0
lileep,1.0,23.8
cradily,1.5,60.4
anorith,0.7,12.5
armaldo,1.5,68.2
feebas,0.6,7.4
milotic,6.2,162.0
castform,0.3,0.8
castform_sunny,0.3,0.8
castform_rainy,0.3,0.8
castform_snowy,0.3,0.8
kecleon,1.0,22.0
shuppet,0.6,2.3
banette,1.1,12.5
banette_mega,1.2,13.0
duskull,0.8,15.0
dusclops,1.6,30.6
tropius,2.0,100.0
chimecho,0.6,1.0
absol,1.2,47.0
absol_mega,1.2,49.0
wynaut,0.6,14.0
snorunt,0.7,16.8
glalie,1.5,256.5
glalie_mega,2.1,350.2
spheal,0.8,39.5
sealeo,1.1,87.6
walrein,1.4,150.6
clamperl,0.4,52.5
huntail,1.7,27.0
gorebyss,1.8,22.6
relicanth,1.0,23.4
luvdisc,0.6,8.7
bagon,0.6,42.1
shelgon,1.1,110.5
salamence,1.5,102.6
salamence_mega,1.8,112.6
beldum,0.6,95.2
metang,1.2,202.5
metagross,1.6,550.0
metagross_mega,2.5,942.9
regirock,1.7,230.0
regice,1.8,175.0
registeel,1.9,205.0
latias,1.4,40.0
latias_mega,1.8,52.0
latios,2.0,60.0
latios_mega,2.3,70.0
kyogre,4.5,352.0
kyogre_primal,9.8,430.0
groudon,3.5,950.0
groudon_primal,5.0,999.7
rayquaza,7.0,206.5
rayquaza_mega,10.8,392.0
jirachi,0.3,1.1
deoxys_normal,1.7,60.8
deoxys_attack,1.7,60.8
deoxys_defense,1.7,60.8
deoxys_speed,1.7,60.8
turtwig,0.4,10.2
grotle,1.1,97.0
torterra,2.2,310.0
chimchar,0.5,6.2
monferno,0.9,22.0
infernape,1.2,55.0
piplup,0.4,5.2
prinplup,0.8,23.0
empoleon,1.7,84.5
starly,0.3,2.0
staravia,0.6,15.5
staraptor,1.2,24.9
bidoof,0.5,20.0
bibarel,1.0,31.5
kricketot,0.3,2.2
kricketune,1.0,25.5
shinx,0.5,9.5
luxio,0.9,30.5
luxray,1.4,42.0
budew,0.2,1.2
roserade,0.9,14.5
cranidos,0.9,31.5
rampardos,1.6,102.5
shieldon,0.5,57.0
bastiodon,1.3,149.5
burmy,0.2,3.4
wormadam_plant,0.5,6.5
wormadam_sandy,0.5,6.5
wormadam_trash,0.5,6.5
mothim,0.9,23.3
combee,0.3,5.5
vespiquen,1.2,38.5
pachirisu,0.4,3.9
buizel,0.7,29.5
floatzel,1.1,33.5
cherubi,0.4,3.3
cherrim,0.5,9.3
shellos,0.3,6.3
gastrodon,0.9,29.9
ambipom,1.2,20.3
drifloon,0.4,1.2
drifblim,1.2,15.0
buneary,0.4,5.5
lopunny,1.2,33.3
lopunny_mega,1.3,28.3
mismagius,0.9,4.4
honchkrow,0.9,27.3
glameow,0.5,3.9
purugly,1.0,43.8
chingling,0.2,0.6
stunky,0.4,19.2
skuntank,1.0,38.0
bronzor,0.5,60.5
bronzong,1.3,187.0
bonsly,0.5,15.0
mime_jr,0.6,13.0
happiny,0.6,24.4
chatot,0.5,1.9
spiritomb,1.0,108.0
gible,0.7,20.5
gabite,1.4,56.0
garchomp,1.9,95.0
garchomp_mega,1.9,95.0
munchlax,0.6,105.0
riolu,0.7,20.2
lucario,1.2,54.0
lucario_mega,1.3,57.5
hippopotas,0.8,49.5
hippowdon,2.0,300.0
skorupi,0.8,12.0
drapion,1.3,61.5
croagunk,0.7,23.0
toxicroak,1.3,44.4
carnivine,1.4,27.0
finneon,0.4,7.0
lumineon,1.2,24.0
mantyke,1.0,65.0
snover,1.0,50.5
abomasnow,2.2,135.5
abomasnow_mega,2.7,185.0
weavile,1.1,34.0
magnezone,1.2,180.0
lickilicky,1.7,140.0
rhyperior,2.4,282.8
tangrowth,2.0,128.6
electivire,1.8,138.6
magmortar,1.6,68.0
togekiss,1.5,38.0
yanmega,1.9,51.5
leafeon,1.0,25.5
glaceon,0.8,25.9
gliscor,2.0,42.5
mamoswine,2.5,291.0
porygon_z,0.9,34.0
gallade,1.6,52.0
gallade_mega,1.6,56.4
probopass,1.4,340.0
dusknoir,2.2,106.6
froslass,1.3,26.6
rotom,0.3,0.3
rotom_heat,0.3,0.3
rotom_wash,0.3,0.3
rotom_frost,0.3,0.3
rotom_fan,0.3,0.3
rotom_mow,0.3,0.3
uxie,0.3,0.3
mesprit,0.3,0.3
azelf,0.3,0.3
dialga,5.4,683.0
palkia,4.2,336.0
heatran,1.7,430.0
regigigas,3.7,420.0
giratina_altered,4.5,750.0
giratina_origin,6.9,650.0
cresselia,1.5,85.6
phione,0.4,3.1
manaphy,0.3,1.4
darkrai,1.5,50.5
shaymin_land,0.2,2.1
shaymin_sky,0.4,5.2
arceus,3.2,320.0
victini,0.4,4.0
snivy,0.6,8.1
servine,0.8,16.0
serperior,3.3,63.0
tepig,0.5,9.9
pignite,1.0,55.5
emboar,1.6,150.0
oshawott,0.5,5.9
dewott,0.8,24.5
samurott,1.5,94.6
patrat,0.5,11.6
watchog,1.1,27.0
lillipup,0.4,4.1
herdier,0.9,14.7
stoutland,1.2,61.0
purrloin,0.4,10.1
liepard,1.1,37.5
pansage,0.6,10.5
simisage,1.1,30.5
pansear,0.6,11.0
simisear,1.0,28.0
panpour,0.6,13.5
simipour,1.0,29.0
munna,0.6,23.3
musharna,1.1,60.5
pidove,0.3,2.1
tranquill,0.6,15.0
unfezant,1.2,29.0
blitzle,0.8,29.8
zebstrika,1.6,79.5
roggenrola,0.4,18.0
boldore,0.9,102.0
gigalith,1.7,260.0
woobat,0.4,2.1
swoobat,0.9,10.5
drilbur,0.3,8.5
excadrill,0.7,40.4
audino,1.1,31.0
audino_mega,1.5,32.0
timburr,0.6,12.5
gurdurr,1.2,40.0
conkeldurr,1.4,87.0
tympole,0.5,4.5
palpitoad,0.8,17.0
seismitoad,1.5,62.0
throh,1.3,55.5
sawk,1.4,51.0
sewaddle,0.3,2.5
swadloon,0.5,7.3
leavanny,1.2,20.5
venipede,0.4,5.3
whirlipede,1.2,58.5
scolipede,2.5,200.5
cottonee,0.3,0.6
whimsicott,0.7,6.6
petilil,0.5,6.6
lilligant,1.1,16.3
basculin_red_striped,1.0,18.0
basculin_blue_striped,1.0,18.0
sandile,0.7,15.2
krokorok,1.0,33.4
krookodile,1.5,96.3
darumaka,0.6,37.5
darumaka_galar,0.7,40.0
darmanitan_standard,1.3,92.9
darmanitan_zen,1.3,92.9
darmanitan_standard_galar,1.7,120.0
darmanitan_zen_galar,1.7,120.0
maractus,1.0,28.0
dwebble,0.3,14.5
crustle,1.4,200.0
scraggy,0.6,11.8
scrafty,1.1,30.0
sigilyph,1.4,14.0
yamask,0.5,1.5
yamask_galar,0.5,1.5
cofagrigus,1.7,76.5
tirtouga,0.7,16.5
carracosta,1.2,81.0
archen,0.5,9.5
archeops,1.4,32.0
trubbish,0.6,31.0
garbodor,1.9,107.3
zorua,0.7,12.5
zoroark,1.6,81.1
minccino,0.4,5.8
cinccino,0.5,7.5
gothita,0.4,5.8
gothorita,0.7,18.0
gothitelle,1.5,44.0
solosis,0.3,1.0
duosion,0.6,8.0
reuniclus,1.0,20.1
ducklett,0.5,5.5
swanna,1.3,24.2
vanillite,0.4,5.7
vanillish,1.1,41.0
vanilluxe,1.3,57.5
deerling,0.6,19.5
sawsbuck,1.9,92.5
emolga,0.4,5.0
karrablast,0.5,5.9
escavalier,1.0,33.0
foongus,0.2,1.0
amoonguss,0.6,10.5
frillish,1.2,33.0
jellicent,2.2,135.0
alomomola,1.2,31.6
joltik,0.1,0.6
galvantula,0.8,14.3
ferroseed,0.6,18.8
ferrothorn,1.0,110.0
klink,0.3,21.0
klang,0.6,51.0
klinklang,0.6,81.0
tynamo,0.2,0.3
eelektrik,1.2,22.0
eelektross,2.1,80.5
elgyem,0.5,9.0
beheeyem,1.0,34.5
litwick,0.3,3.1
lampent,0.6,13.0
chandelure,1.0,34.3
axew,0.6,18.0
fraxure,1.0,36.0
haxorus,1.8,105.5
cubchoo,0.5,8.5
beartic,2.6,260.0
cryogonal,1.1,148.0
shelmet,0.4,7.7
accelgor,0.8,25.3
stunfisk,0.7,11.0
stunfisk_galar,0.7,20.5
mienfoo,0.9,20.0
mienshao,1.4,35.5
druddigon,1.6,139.0
golett,1.0,92.0
golurk,2.8,330.0
pawniard,0.5,10.2
bisharp,1.6,70.0
bouffalant,1.6,94.6
rufflet,0.5,10.5
braviary,1.5,41.0
braviary,1.7,43.4
vullaby,0.5,9.0
mandibuzz,1.2,39.5
heatmor,1.4,58.0
durant,0.3,33.0
deino,0.8,17.3
zweilous,1.4,50.0
hydreigon,1.8,160.0
larvesta,1.1,28.8
volcarona,1.6,46.0
cobalion,2.1,250.0
terrakion,1.9,260.0
virizion,2.0,200.0
tornadus_incarnate,1.5,63.0
tornadus_therian,1.4,63.0
thundurus_incarnate,1.5,61.0
thundurus_therian,3.0,61.0
reshiram,3.2,330.0
zekrom,2.9,345.0
landorus_incarnate,1.5,68.0
landorus_therian,1.3,68.0
kyurem,3.0,325.0
kyurem_black,3.3,325.0
kyurem_white,3.6,325.0
keldeo_ordinary,1.4,48.5
keldeo_resolute,1.4,48.5
meloetta_aria,0.6,6.5
meloetta_pirouette,0.6,6.5
genesect,1.5,82.5
chespin,0.4,9.0
quilladin,0.7,29.0
chesnaught,1.6,90.0
fennekin,0.4,9.4
braixen,1.0,14.5
delphox,1.5,39.0
froakie,0.3,7.0
frogadier,0.6,10.9
greninja,1.5,40.0
greninja_ash,1.5,40.0
bunnelby,0.4,5.0
diggersby,1.0,42.4
fletchling,0.3,1.7
fletchinder,0.7,16.0
talonflame,1.2,24.5
scatterbug,0.3,2.5
spewpa,0.3,8.4
vivillon,1.2,17.0
litleo,0.6,13.5
pyroar,1.5,81.5
flabébé,0.1,0.1
floette,0.2,0.9
florges,1.1,10.0
skiddo,0.9,31.0
gogoat,1.7,91.0
pancham,0.6,8.0
pangoro,2.1,136.0
furfrou,1.2,28.0
espurr,0.3,3.5
meowstic_m,0.6,8.5
meowstic_f,0.6,8.5
honedge,0.8,2.0
doublade,0.8,4.5
aegislash_shield,1.7,53.0
aegislash_blade,1.7,53.0
spritzee,0.2,0.5
aromatisse,0.8,15.5
swirlix,0.4,3.5
slurpuff,0.8,5.0
inkay,0.4,3.5
malamar,1.5,47.0
binacle,0.5,31.0
barbaracle,1.3,96.0
skrelp,0.5,7.3
dragalge,1.8,81.5
clauncher,0.5,8.3
clawitzer,1.3,35.3
helioptile,0.5,6.0
heliolisk,1.0,21.0
tyrunt,0.8,26.0
tyrantrum,2.5,270.0
amaura,1.3,25.2
aurorus,2.7,225.0
sylveon,1.0,23.5
hawlucha,0.8,21.5
dedenne,0.2,2.2
carbink,0.3,5.7
goomy,0.3,2.8
sliggoo,0.8,17.5
goodra,2.0,150.5
klefki,0.2,3.0
phantump,0.4,7.0
trevenant,1.5,71.0
pumpkaboo_average,0.4,5.0
pumpkaboo_small,0.3,3.5
pumpkaboo_large,0.5,7.5
pumpkaboo_super,0.8,15.0
gourgeist_average,0.9,12.5
gourgeist_small,0.7,9.5
gourgeist_large,1.1,14.0
gourgeist_super,1.7,39.0
bergmite,1.0,99.5
avalugg,2.0,505.0
noibat,0.5,8.0
noivern,1.5,85.0
xerneas,3.0,215.0
yveltal,5.8,203.0
zygarde_50,5.0,305.0
zygarde_10,1.2,33.5
zygarde_complete,4.5,610.0
diancie,0.7,8.8
diancie_mega,1.1,27.8
hoopa_confined,0.5,9.0
hoopa_unbound,6.5,490.0
volcanion,1.7,195.0
rowlet,0.3,1.5
dartrix,0.7,16.0
decidueye,1.6,36.6
litten,0.4,4.3
torracat,0.7,25.0
incineroar,1.8,83.0
popplio,0.4,7.5
brionne,0.6,17.5
primarina,1.8,44.0
pikipek,0.3,1.2
trumbeak,0.6,14.8
toucannon,1.1,26.0
yungoos,0.4,6.0
gumshoos,0.7,14.2
grubbin,0.4,4.4
charjabug,0.5,10.5
vikavolt,1.5,45.0
crabrawler,0.6,7.0
crabominable,1.7,180.0
oricorio_baile,0.6,3.4
oricorio_pom_pom,0.6,3.4
oricorio_pau,0.6,3.4
oricorio_sensu,0.6,3.4
cutiefly,0.1,0.2
ribombee,0.2,0.5
rockruff,0.5,9.2
rockruff_own_tempo,0.5,9.2
lycanroc_midday,0.8,25.0
lycanroc_midnight,1.1,25.0
lycanroc_dusk,0.8,25.0
wishiwashi_solo,0.2,0.3
wishiwashi_school,8.2,78.6
mareanie,0.4,8.0
toxapex,0.7,14.5
mudbray,1.0,110.0
mudsdale,2.5,920.0
dewpider,0.3,4.0
araquanid,1.8,82.0
fomantis,0.3,1.5
lurantis,0.9,18.5
morelull,0.2,1.5
shiinotic,1.0,11.5
salandit,0.6,4.8
salazzle,1.2,22.2
stufful,0.5,6.8
bewear,2.1,135.0
bounsweet,0.3,3.2
steenee,0.7,8.2
tsareena,1.2,21.4
comfey,0.1,0.3
oranguru,1.5,76.0
passimian,2.0,82.8
wimpod,0.5,12.0
golisopod,2.0,108.0
sandygast,0.5,70.0
palossand,1.3,250.0
pyukumuku,0.3,1.2
type_null,1.9,120.5
silvally,2.3,100.5
minior_meteor,0.3,40.0
minior_core,0.3,0.3
komala,0.4,19.9
turtonator,2.0,212.0
togedemaru,0.3,3.3
mimikyu,0.2,0.7
bruxish,0.9,19.0
drampa,3.0,185.0
dhelmise,3.9,210.0
jangmo_o,0.6,29.7
hakamo_o,1.2,47.0
kommo_o,1.6,78.2
tapu_koko,1.8,20.5
tapu_lele,1.2,18.6
tapu_bulu,1.9,45.5
tapu_fini,1.3,21.2
cosmog,0.2,0.1
cosmoem,0.1,999.9
solgaleo,3.4,230.0
lunala,4.0,120.0
nihilego,1.2,55.5
buzzwole,2.4,333.6
pheromosa,1.8,25.0
xurkitree,3.8,100.0
celesteela,9.2,999.9
kartana,0.3,0.1
guzzlord,5.5,888.0
necrozma,2.4,230.0
necrozma_dusk_mane,3.8,460.0
necrozma_dawn_wings,4.2,350.0
necrozma_ultra,7.5,230.0
magearna,1.0,80.5
marshadow,0.7,22.2
poipole,0.6,1.8
naganadel,3.6,150.0
stakataka,5.5,820.0
blacephalon,1.8,13.0
zeraora,1.5,44.5
meltan,0.2,8.0
melmetal,2.5,800.0
grookey,0.3,5.0
thwackey,0.7,14.0
rillaboom,2.1,90.0
scorbunny,0.3,4.5
raboot,0.6,9.0
cinderace,1.4,33.0
sobble,0.3,4.0
drizzile,0.7,11.5
inteleon,1.9,45.2
skwovet,0.3,2.5
greedent,0.6,6.0
rookidee,0.2,1.8
corvisquire,0.8,16.0
corviknight,2.2,75.0
blipbug,0.4,8.0
dottler,0.4,19.5
orbeetle,0.4,40.8
nickit,0.6,8.9
thievul,1.2,19.9
gossifleur,0.4,2.2
eldegoss,0.5,2.5
wooloo,0.6,6.0
dubwool,1.3,43.0
chewtle,0.3,8.5
drednaw,1.0,115.5
yamper,0.3,13.5
boltund,1.0,34.0
rolycoly,0.3,12.0
carkol,1.1,78.0
coalossal,2.8,310.5
applin,0.2,0.5
flapple,0.3,1.0
appletun,0.4,13.0
silicobra,2.2,7.6
sandaconda,3.8,65.5
cramorant,0.8,18.0
arrokuda,0.5,1.0
barraskewda,1.3,30.0
toxel,0.4,11.0
toxtricity_low_key,1.6,40.0
toxtricity_amped,1.6,40.0
sizzlipede,0.7,1.0
centiskorch,3.0,120.0
clobbopus,0.6,4.0
grapploct,1.6,39.0
sinistea,0.1,0.2
polteageist,0.2,0.4
hatenna,0.4,3.4
hattrem,0.6,4.8
hatterene,2.1,5.0
impidimp,0.4,5.5
morgrem,0.8,12.5
grimmsnarl,1.5,61.0
obstagoon,1.6,46.0
perrserker,0.8,28.0
cursola,1.0,0.4
sirfetchd,0.8,117.0
mr_rime,1.5,58.2
runerigus,1.6,66.6
milcery,0.2,0.3
alcremie,0.3,0.5
falinks,3.0,62.0
pincurchin,0.3,1.0
snom,0.3,3.8
frosmoth,1.3,42.0
stonjourner,2.5,520.0
eiscue_ice_face,1.4,89.0
eiscue_noice_face,1.4,89.0
indeedee_m,0.9,28.0
indeedee_f,0.9,28.0
morpeko_full_belly,0.3,3.0
morpeko_hangry,0.3,3.0
cufant,1.2,100.0
copperajah,3.0,650.0
dracozolt,1.8,190.0
arctozolt,2.3,150.0
dracovish,2.3,215.0
arctovish,2.0,175.0
duraludon,1.8,40.0
dreepy,0.5,2.0
drakloak,1.4,11.0
dragapult,3.0,50.0
zacian_crowned,2.8,355.0
zacian,2.8,110.0
zamazenta_crowned,2.9,785.0
zamazenta,2.9,210.0
eternatus,20.0,950.0
kubfu,0.6,12.0
urshifu,1.9,105.0
urshifu_rapid_strike,1.9,105.0
zarude,1.8,70.0
regieleki,1.2,145.0
regidrago,2.1,200.0
glastrier,2.2,800.0
spectrier,2.0,44.5
calyrex,1.1,7.7
calyrex_ice,2.4,809.1
calyrex_shadow,2.4,53.6
