Dex Number,Sprite URL,Pokemon,Ability 1,Ability 2,Hidden,Introduced
49,//cdn2.bulbagarden.net/upload/a/a7/049MSPE.png,Venomoth,Shield Dust,Tinted Lens,Wonder Skin,1
50,//cdn2.bulbagarden.net/upload/f/f1/050MS8.png,Diglett,Sand Veil,Arena Trap,Sand Force,1
50,//cdn2.bulbagarden.net/upload/3/31/050AMS8.png,Diglett (Alolan Diglett),Sand Veil,Tangling Hair,Sand Force,7
51,//cdn2.bulbagarden.net/upload/2/2a/051MS8.png,Dugtrio,Sand Veil,Arena Trap,Sand Force,1
51,//cdn2.bulbagarden.net/upload/7/73/051AMS8.png,Dugtrio (Alolan Dugtrio),Sand Veil,Tangling Hair,Sand Force,7
52,//cdn2.bulbagarden.net/upload/e/e4/052MS8.png,Meowth,Pickup,Technician,Unnerve,1
52,//cdn2.bulbagarden.net/upload/b/b1/052AMS8.png,Meowth (Alolan Meowth),Pickup,Technician,Rattled,7
52,//cdn2.bulbagarden.net/upload/a/a9/052GMS8.png,Meowth (Galarian Meowth),Pickup,Tough Claws,Unnerve,8
53,//cdn2.bulbagarden.net/upload/f/f7/053MS8.png,Persian,Limber,Technician,Unnerve,1
53,//cdn2.bulbagarden.net/upload/f/ff/053AMS8.png,Persian (Alolan Persian),Fur Coat,Technician,Rattled,7
863,//cdn2.bulbagarden.net/upload/e/e5/863MS8.png,Perrserker,Battle Armor,Tough Claws,Steely Spirit,8
54,//cdn2.bulbagarden.net/upload/a/a0/054MS8.png,Psyduck,Damp,Cloud Nine,Swift Swim,1
55,//cdn2.bulbagarden.net/upload/7/7f/055MS8.png,Golduck,Damp,Cloud Nine,Swift Swim,1
56,//cdn2.bulbagarden.net/upload/a/af/056MSPE.png,Mankey,Vital Spirit,Anger Point,Defiant,1
57,//cdn2.bulbagarden.net/upload/a/aa/057MSPE.png,Primeape,Vital Spirit,Anger Point,Defiant,1
58,//cdn2.bulbagarden.net/upload/4/45/058MS8.png,Growlithe,Intimidate,Flash Fire,Justified,1
59,//cdn2.bulbagarden.net/upload/c/cc/059MS8.png,Arcanine,Intimidate,Flash Fire,Justified,1
60,//cdn2.bulbagarden.net/upload/c/c7/060MS8.png,Poliwag,Water Absorb,Damp,Swift Swim,1
61,//cdn2.bulbagarden.net/upload/b/b1/061MS8.png,Poliwhirl,Water Absorb,Damp,Swift Swim,1
62,//cdn2.bulbagarden.net/upload/e/e4/062MS8.png,Poliwrath,Water Absorb,Damp,Swift Swim,1
186,//cdn2.bulbagarden.net/upload/f/ff/186MS8.png,Politoed,Water Absorb,Damp,Drizzle,2
63,//cdn2.bulbagarden.net/upload/4/4e/063MS8.png,Abra,Synchronize,Inner Focus,Magic Guard,1
64,//cdn2.bulbagarden.net/upload/d/dc/064MS8.png,Kadabra,Synchronize,Inner Focus,Magic Guard,1
65,//cdn2.bulbagarden.net/upload/4/41/065MS8.png,Alakazam,Synchronize,Inner Focus,Magic Guard,1
65,//cdn2.bulbagarden.net/upload/5/5a/065MMS6.png,Alakazam (Mega Alakazam),Trace,,,6
66,//cdn2.bulbagarden.net/upload/4/4c/066MS8.png,Machop,Guts,No Guard,Steadfast,1
67,//cdn2.bulbagarden.net/upload/1/13/067MS8.png,Machoke,Guts,No Guard,Steadfast,1
68,//cdn2.bulbagarden.net/upload/8/87/068MS8.png,Machamp,Guts,No Guard,Steadfast,1
69,//cdn2.bulbagarden.net/upload/4/41/069MSPE.png,Bellsprout,Chlorophyll,,Gluttony,1
70,//cdn2.bulbagarden.net/upload/2/2e/070MSPE.png,Weepinbell,Chlorophyll,,Gluttony,1
71,//cdn2.bulbagarden.net/upload/4/4b/071MSPE.png,Victreebel,Chlorophyll,,Gluttony,1
72,//cdn2.bulbagarden.net/upload/6/6f/072MS8.png,Tentacool,Clear Body,Liquid Ooze,Rain Dish,1
73,//cdn2.bulbagarden.net/upload/6/6c/073MS8.png,Tentacruel,Clear Body,Liquid Ooze,Rain Dish,1
74,//cdn2.bulbagarden.net/upload/0/04/074MSPE.png,Geodude,Rock Head,Sturdy,Sand Veil,1
74,//cdn2.bulbagarden.net/upload/6/66/074AMSPE.png,Geodude (Alolan Geodude),Magnet Pull,Sturdy,Galvanize,7
75,//cdn2.bulbagarden.net/upload/0/00/075MSPE.png,Graveler,Rock Head,Sturdy,Sand Veil,1
75,//cdn2.bulbagarden.net/upload/0/05/075AMSPE.png,Graveler (Alolan Graveler),Magnet Pull,Sturdy,Galvanize,7
76,//cdn2.bulbagarden.net/upload/a/a9/076MSPE.png,Golem,Rock Head,Sturdy,Sand Veil,1
76,//cdn2.bulbagarden.net/upload/6/65/076AMSPE.png,Golem (Alolan Golem),Magnet Pull,Sturdy,Galvanize,7
77,//cdn2.bulbagarden.net/upload/3/30/077MS8.png,Ponyta,Run Away,Flash Fire,Flame Body,1
77,//cdn2.bulbagarden.net/upload/6/6c/077GMS8.png,Ponyta (Galarian Ponyta),Run Away,Pastel Veil,Anticipation,8
78,//cdn2.bulbagarden.net/upload/2/2b/078MS8.png,Rapidash,Run Away,Flash Fire,Flame Body,1
78,//cdn2.bulbagarden.net/upload/c/cb/078GMS8.png,Rapidash (Galarian Rapidash),Run Away,Pastel Veil,Anticipation,8
79,//cdn2.bulbagarden.net/upload/3/31/079MS8.png,Slowpoke,Oblivious,Own Tempo,Regenerator,1
79,//cdn2.bulbagarden.net/upload/0/0b/079GMS8.png,Slowpoke (Galarian Slowpoke),Gluttony,Own Tempo,Regenerator,8
80,//cdn2.bulbagarden.net/upload/c/cb/080MS8.png,Slowbro,Oblivious,Own Tempo,Regenerator,1
80,//cdn2.bulbagarden.net/upload/0/04/080MMS6.png,Slowbro (Mega Slowbro),Shell Armor,,,6
80,//cdn2.bulbagarden.net/upload/8/8c/080GMS8.png,Slowbro (Galarian Slowbro),Quick Draw,Own Tempo,Regenerator,8
199,//cdn2.bulbagarden.net/upload/f/f0/199MS8.png,Slowking,Oblivious,Own Tempo,Regenerator,2
199,//cdn2.bulbagarden.net/upload/a/ad/199GMS8.png,Slowking (Galarian Slowking),Curious Medicine,Own Tempo,Regenerator,8
81,//cdn2.bulbagarden.net/upload/e/ea/081MS8.png,Magnemite,Magnet Pull,Sturdy,Analytic,1
82,//cdn2.bulbagarden.net/upload/d/da/082MS8.png,Magneton,Magnet Pull,Sturdy,Analytic,1
462,//cdn2.bulbagarden.net/upload/8/8f/462MS8.png,Magnezone,Magnet Pull,Sturdy,Analytic,4
83,//cdn2.bulbagarden.net/upload/2/23/083MS8.png,Farfetch'd,Keen Eye,Inner Focus,Defiant,1
83,//cdn2.bulbagarden.net/upload/1/10/083GMS8.png,Farfetch'd (Galarian Farfetch'd),Steadfast,,Scrappy,8
865,//cdn2.bulbagarden.net/upload/4/46/865MS8.png,Sirfetch'd,Steadfast,,Scrappy,8
84,//cdn2.bulbagarden.net/upload/5/58/084MSPE.png,Doduo,Run Away,Early Bird,Tangled Feet,1
85,//cdn2.bulbagarden.net/upload/3/3b/085MSPE.png,Dodrio,Run Away,Early Bird,Tangled Feet,1
86,//cdn2.bulbagarden.net/upload/3/37/086MSPE.png,Seel,Thick Fat,Hydration,Ice Body,1
87,//cdn2.bulbagarden.net/upload/a/a7/087MSPE.png,Dewgong,Thick Fat,Hydration,Ice Body,1
88,//cdn2.bulbagarden.net/upload/6/63/088MSPE.png,Grimer,Stench,Sticky Hold,Poison Touch,1
88,//cdn2.bulbagarden.net/upload/e/ec/088AMSPE.png,Grimer (Alolan Grimer),Poison Touch,Gluttony,Power of Alchemy,7
89,//cdn2.bulbagarden.net/upload/d/d1/089MSPE.png,Muk,Stench,Sticky Hold,Poison Touch,1
89,//cdn2.bulbagarden.net/upload/0/01/089AMSPE.png,Muk (Alolan Muk),Poison Touch,Gluttony,Power of Alchemy,7
90,//cdn2.bulbagarden.net/upload/8/8f/090MS8.png,Shellder,Shell Armor,Skill Link,Overcoat,1
91,//cdn2.bulbagarden.net/upload/c/ce/091MS8.png,Cloyster,Shell Armor,Skill Link,Overcoat,1
92,//cdn2.bulbagarden.net/upload/8/8e/092MS8.png,Gastly,Levitate,,,1
93,//cdn2.bulbagarden.net/upload/e/e8/093MS8.png,Haunter,Levitate,,,1
94,//cdn2.bulbagarden.net/upload/5/58/094MS8.png,Gengar,Cursed Body,,,1
94,//cdn2.bulbagarden.net/upload/c/c9/094MMS6.png,Gengar (Mega Gengar),Shadow Tag,,,6
95,//cdn2.bulbagarden.net/upload/5/5e/095MS8.png,Onix,Rock Head,Sturdy,Weak Armor,1
208,//cdn2.bulbagarden.net/upload/e/ee/208MS8.png,Steelix,Rock Head,Sturdy,Sheer Force,2
208,//cdn2.bulbagarden.net/upload/6/64/208MMS6.png,Steelix (Mega Steelix),Sand Force,,,6
96,//cdn2.bulbagarden.net/upload/1/12/096MSPE.png,Drowzee,Insomnia,Forewarn,Inner Focus,1
97,//cdn2.bulbagarden.net/upload/6/64/097MSPE.png,Hypno,Insomnia,Forewarn,Inner Focus,1
98,//cdn2.bulbagarden.net/upload/b/be/098MS8.png,Krabby,Hyper Cutter,Shell Armor,Sheer Force,1
99,//cdn2.bulbagarden.net/upload/f/fd/099MS8.png,Kingler,Hyper Cutter,Shell Armor,Sheer Force,1
100,//cdn2.bulbagarden.net/upload/3/31/100MSPE.png,Voltorb,Soundproof,Static,Aftermath,1
101,//cdn2.bulbagarden.net/upload/3/31/101MSPE.png,Electrode,Soundproof,Static,Aftermath,1
102,//cdn2.bulbagarden.net/upload/0/07/102MS8.png,Exeggcute,Chlorophyll,,Harvest,1
103,//cdn2.bulbagarden.net/upload/f/fb/103MS8.png,Exeggutor,Chlorophyll,,Harvest,1
103,//cdn2.bulbagarden.net/upload/d/d3/103AMS8.png,Exeggutor (Alolan Exeggutor),Frisk,,Harvest,7
104,//cdn2.bulbagarden.net/upload/8/88/104MS8.png,Cubone,Rock Head,Lightning Rod,Battle Armor,1
105,//cdn2.bulbagarden.net/upload/7/72/105MS8.png,Marowak,Rock Head,Lightning Rod,Battle Armor,1
105,//cdn2.bulbagarden.net/upload/1/1d/105AMS8.png,Marowak (Alolan Marowak),Cursed Body,Lightning Rod,Rock Head,7
236,//cdn2.bulbagarden.net/upload/d/dc/236MS8.png,Tyrogue,Guts,Steadfast,Vital Spirit,2
106,//cdn2.bulbagarden.net/upload/5/5d/106MS8.png,Hitmonlee,Limber,Reckless,Unburden,1
107,//cdn2.bulbagarden.net/upload/8/81/107MS8.png,Hitmonchan,Keen Eye,Iron Fist,Inner Focus,1
237,//cdn2.bulbagarden.net/upload/9/93/237MS8.png,Hitmontop,Intimidate,Technician,Steadfast,2
108,//cdn2.bulbagarden.net/upload/3/32/108MS8.png,Lickitung,Own Tempo,Oblivious,Cloud Nine,1
463,//cdn2.bulbagarden.net/upload/d/dc/463MS8.png,Lickilicky,Own Tempo,Oblivious,Cloud Nine,4
109,//cdn2.bulbagarden.net/upload/c/c7/109MS8.png,Koffing,Levitate,Neutralizing Gas,Stench,1
110,//cdn2.bulbagarden.net/upload/5/58/110MS8.png,Weezing,Levitate,Neutralizing Gas,Stench,1
110,//cdn2.bulbagarden.net/upload/f/f4/110GMS8.png,Weezing (Galarian Weezing),Levitate,Neutralizing Gas,Misty Surge,8
111,//cdn2.bulbagarden.net/upload/e/e1/111MS8.png,Rhyhorn,Lightning Rod,Rock Head,Reckless,1
112,//cdn2.bulbagarden.net/upload/0/04/112MS8.png,Rhydon,Lightning Rod,Rock Head,Reckless,1
464,//cdn2.bulbagarden.net/upload/d/d6/464MS8.png,Rhyperior,Lightning Rod,Solid Rock,Reckless,4
440,//cdn2.bulbagarden.net/upload/3/35/440MS8.png,Happiny,Natural Cure,Serene Grace,Friend Guard,4
113,//cdn2.bulbagarden.net/upload/f/f1/113MS8.png,Chansey,Natural Cure,Serene Grace,Healer,1
242,//cdn2.bulbagarden.net/upload/d/d6/242MS8.png,Blissey,Natural Cure,Serene Grace,Healer,2
114,//cdn2.bulbagarden.net/upload/b/b3/114MS8.png,Tangela,Chlorophyll,Leaf Guard,Regenerator,1
465,//cdn2.bulbagarden.net/upload/6/65/465MS8.png,Tangrowth,Chlorophyll,Leaf Guard,Regenerator,4
115,//cdn2.bulbagarden.net/upload/7/74/115MS8.png,Kangaskhan,Early Bird,Scrappy,Inner Focus,1
115,//cdn2.bulbagarden.net/upload/4/41/115MMS6.png,Kangaskhan (Mega Kangaskhan),Parental Bond,,,6
116,//cdn2.bulbagarden.net/upload/6/65/116MS8.png,Horsea,Swift Swim,Sniper,Damp,1
117,//cdn2.bulbagarden.net/upload/a/ae/117MS8.png,Seadra,Poison Point,Sniper,Damp,1
230,//cdn2.bulbagarden.net/upload/7/7f/230MS8.png,Kingdra,Swift Swim,Sniper,Damp,2
118,//cdn2.bulbagarden.net/upload/7/71/118MS8.png,Goldeen,Swift Swim,Water Veil,Lightning Rod,1
119,//cdn2.bulbagarden.net/upload/5/59/119MS8.png,Seaking,Swift Swim,Water Veil,Lightning Rod,1
120,//cdn2.bulbagarden.net/upload/0/04/120MS8.png,Staryu,Illuminate,Natural Cure,Analytic,1
121,//cdn2.bulbagarden.net/upload/2/2b/121MS8.png,Starmie,Illuminate,Natural Cure,Analytic,1
439,//cdn2.bulbagarden.net/upload/c/c3/439MS8.png,Mime Jr.,Soundproof,Filter,Technician,4
122,//cdn2.bulbagarden.net/upload/e/e6/122MS8.png,Mr. Mime,Soundproof,Filter,Technician,1
122,//cdn2.bulbagarden.net/upload/0/02/122GMS8.png,Mr. Mime (Galarian Mr. Mime),Vital Spirit,Screen Cleaner,Ice Body,8
866,//cdn2.bulbagarden.net/upload/4/41/866MS8.png,Mr. Rime,Tangled Feet,Screen Cleaner,Ice Body,8
123,//cdn2.bulbagarden.net/upload/e/e6/123MS8.png,Scyther,Swarm,Technician,Steadfast,1
212,//cdn2.bulbagarden.net/upload/b/bb/212MS8.png,Scizor,Swarm,Technician,Light Metal,2
212,//cdn2.bulbagarden.net/upload/d/d8/212MMS6.png,Scizor (Mega Scizor),Technician,,,6
238,//cdn2.bulbagarden.net/upload/0/0e/238MS8.png,Smoochum,Oblivious,Forewarn,Hydration,2
124,//cdn2.bulbagarden.net/upload/9/90/124MS8.png,Jynx,Oblivious,Forewarn,Dry Skin,1
239,//cdn2.bulbagarden.net/upload/3/33/239MS8.png,Elekid,Static,,Vital Spirit,2
125,//cdn2.bulbagarden.net/upload/f/f0/125MS8.png,Electabuzz,Static,,Vital Spirit,1
466,//cdn2.bulbagarden.net/upload/1/15/466MS8.png,Electivire,Motor Drive,,Vital Spirit,4
240,//cdn2.bulbagarden.net/upload/0/06/240MS8.png,Magby,Flame Body,,Vital Spirit,2
126,//cdn2.bulbagarden.net/upload/3/3c/126MS8.png,Magmar,Flame Body,,Vital Spirit,1
467,//cdn2.bulbagarden.net/upload/d/d1/467MS8.png,Magmortar,Flame Body,,Vital Spirit,4
127,//cdn2.bulbagarden.net/upload/b/b8/127MS8.png,Pinsir,Hyper Cutter,Mold Breaker,Moxie,1
127,//cdn2.bulbagarden.net/upload/f/f0/127MMS6.png,Pinsir (Mega Pinsir),Aerilate,,,6
128,//cdn2.bulbagarden.net/upload/b/be/128MS8.png,Tauros,Intimidate,Anger Point,Sheer Force,1
129,//cdn2.bulbagarden.net/upload/d/d0/129MS8.png,Magikarp,Swift Swim,,Rattled,1
130,//cdn2.bulbagarden.net/upload/8/8e/130MS8.png,Gyarados,Intimidate,,Moxie,1
130,//cdn2.bulbagarden.net/upload/4/4c/130MMS6.png,Gyarados (Mega Gyarados),Mold Breaker,,,6
131,//cdn2.bulbagarden.net/upload/c/c3/131MS8.png,Lapras,Water Absorb,Shell Armor,Hydration,1
132,//cdn2.bulbagarden.net/upload/9/92/132MS8.png,Ditto,Limber,,Imposter,1
133,//cdn2.bulbagarden.net/upload/1/19/133MS8.png,Eevee,Run Away,Adaptability,Anticipation,1
134,//cdn2.bulbagarden.net/upload/c/ca/134MS8.png,Vaporeon,Water Absorb,,Hydration,1
135,//cdn2.bulbagarden.net/upload/8/8c/135MS8.png,Jolteon,Volt Absorb,,Quick Feet,1
136,//cdn2.bulbagarden.net/upload/e/e5/136MS8.png,Flareon,Flash Fire,,Guts,1
196,//cdn2.bulbagarden.net/upload/7/78/196MS8.png,Espeon,Synchronize,,Magic Bounce,2
197,//cdn2.bulbagarden.net/upload/f/f4/197MS8.png,Umbreon,Synchronize,,Inner Focus,2
470,//cdn2.bulbagarden.net/upload/a/ab/470MS8.png,Leafeon,Leaf Guard,,Chlorophyll,4
471,//cdn2.bulbagarden.net/upload/8/87/471MS8.png,Glaceon,Snow Cloak,,Ice Body,4
700,//cdn2.bulbagarden.net/upload/2/21/700MS8.png,Sylveon,Cute Charm,,Pixilate,6
137,//cdn2.bulbagarden.net/upload/b/bc/137MS8.png,Porygon,Trace,Download,Analytic,1
233,//cdn2.bulbagarden.net/upload/a/a0/233MS8.png,Porygon2,Trace,Download,Analytic,2
474,//cdn2.bulbagarden.net/upload/d/df/474MS8.png,Porygon-Z,Adaptability,Download,Analytic,4
138,//cdn2.bulbagarden.net/upload/c/c2/138MS8.png,Omanyte,Swift Swim,Shell Armor,Weak Armor,1
139,//cdn2.bulbagarden.net/upload/8/80/139MS8.png,Omastar,Swift Swim,Shell Armor,Weak Armor,1
140,//cdn2.bulbagarden.net/upload/a/a8/140MS8.png,Kabuto,Swift Swim,Battle Armor,Weak Armor,1
141,//cdn2.bulbagarden.net/upload/4/4c/141MS8.png,Kabutops,Swift Swim,Battle Armor,Weak Armor,1
142,//cdn2.bulbagarden.net/upload/9/90/142MS8.png,Aerodactyl,Rock Head,Pressure,Unnerve,1
142,//cdn2.bulbagarden.net/upload/c/c3/142MMS6.png,Aerodactyl (Mega Aerodactyl),Tough Claws,,,6
446,//cdn2.bulbagarden.net/upload/7/7e/446MS8.png,Munchlax,Pickup,Thick Fat,Gluttony,4
143,//cdn2.bulbagarden.net/upload/5/5a/143MS8.png,Snorlax,Immunity,Thick Fat,Gluttony,1
144,//cdn2.bulbagarden.net/upload/a/a0/144MS8.png,Articuno,Pressure,,Snow Cloak,1
144,//cdn2.bulbagarden.net/upload/b/b2/144GMS8.png,Articuno (Galarian Articuno),Competitive,,,8
145,//cdn2.bulbagarden.net/upload/4/4b/145MS8.png,Zapdos,Pressure,,Static,1
145,//cdn2.bulbagarden.net/upload/d/d8/145GMS8.png,Zapdos (Galarian Zapdos),Defiant,,,8
146,//cdn2.bulbagarden.net/upload/f/f6/146MS8.png,Moltres,Pressure,,Flame Body,1
146,//cdn2.bulbagarden.net/upload/0/06/146GMS8.png,Moltres (Galarian Moltres),Berserk,,,8
147,//cdn2.bulbagarden.net/upload/9/9d/147MS8.png,Dratini,Shed Skin,,Marvel Scale,1
148,//cdn2.bulbagarden.net/upload/b/b7/148MS8.png,Dragonair,Shed Skin,,Marvel Scale,1
149,//cdn2.bulbagarden.net/upload/5/55/149MS8.png,Dragonite,Inner Focus,,Multiscale,1
150,//cdn2.bulbagarden.net/upload/3/3e/150MS8.png,Mewtwo,Pressure,,Unnerve,1
150,//cdn2.bulbagarden.net/upload/4/4d/150MXMS6.png,Mewtwo (Mega Mewtwo X),Steadfast,,,6
150,//cdn2.bulbagarden.net/upload/6/66/150MYMS6.png,Mewtwo (Mega Mewtwo Y),Insomnia,,,6
151,//cdn2.bulbagarden.net/upload/b/b0/151MS8.png,Mew,Synchronize,,,1
Dex Number,Sprite URL,Pokemon,Ability 1,Ability 2,Hidden,Introduced
152,//cdn2.bulbagarden.net/upload/4/41/152MS6.png,Chikorita,Overgrow,,Leaf Guard,2
153,//cdn2.bulbagarden.net/upload/7/71/153MS6.png,Bayleef,Overgrow,,Leaf Guard,2
154,//cdn2.bulbagarden.net/upload/2/23/154MS6.png,Meganium,Overgrow,,Leaf Guard,2
155,//cdn2.bulbagarden.net/upload/9/96/155MS6.png,Cyndaquil,Blaze,,Flash Fire,2
