Pokemon Name,Version Group
crabrawler,SwSh
crabominable,SwSh
oricorio_baile,SwSh
minior,SwSh
komala,SwSh
bruxish,SwSh
rattata_alola,BDSP
raticate_alola,BDSP
raichu_alola,BDSP
sandshrew_alola,BDSP
sandslash_alola,BDSP
vulpix_alola,BDSP
ninetales_alola,BDSP
diglett_alola,BDSP
dugtrio_alola,BDSP
meowth_alola,BDSP
meowth_galar,BDSP
persian_alola,BDSP
geodude_alola,BDSP
graveler_alola,BDSP
golem_alola,BDSP
ponyta_galar,BDSP
rapidash_galar,BDSP
slowpoke_galar,BDSP
slowbro_galar,BDSP
farfetchd_galar,BDSP
grimer_alola,BDSP
muk_alola,BDSP
exeggutor_alola,BDSP
marowak_alola,BDSP
weezing_galar,BDSP
mr_mime_galar,BDSP
articuno_galar,BDSP
zapdos_galar,BDSP
moltres_galar,BDSP
slowking_galar,BDSP
corsola_galar,BDSP
zigzagoon_galar,BDSP
linoone_galar,BDSP
victini,BDSP
snivy,BDSP
servine,BDSP
serperior,BDSP
tepig,BDSP
pignite,BDSP
emboar,BDSP
oshawott,BDSP
dewott,BDSP
samurott,BDSP
patrat,BDSP
watchog,BDSP
lillipup,BDSP
herdier,BDSP
stoutland,BDSP
purrloin,BDSP
liepard,BDSP
pansage,BDSP
simisage,BDSP
pansear,BDSP
simisear,BDSP
panpour,BDSP
simipour,BDSP
munna,BDSP
musharna,BDSP
pidove,BDSP
tranquill,BDSP
unfezant,BDSP
blitzle,BDSP
zebstrika,BDSP
roggenrola,BDSP
boldore,BDSP
gigalith,BDSP
woobat,BDSP
swoobat,BDSP
drilbur,BDSP
excadrill,BDSP
audino,BDSP
timburr,BDSP
gurdurr,BDSP
conkeldurr,BDSP
tympole,BDSP
palpitoad,BDSP
seismitoad,BDSP
throh,BDSP
sawk,BDSP
sewaddle,BDSP
swadloon,BDSP
leavanny,BDSP
venipede,BDSP
whirlipede,BDSP
scolipede,BDSP
cottonee,BDSP
whimsicott,BDSP
petilil,BDSP
lilligant,BDSP
basculin_red_striped,BDSP
sandile,BDSP
krokorok,BDSP
krookodile,BDSP
darumaka,BDSP
darumaka_galar,BDSP
darmanitan_standard,BDSP
darmanitan_standard_galar,BDSP
maractus,BDSP
dwebble,BDSP
crustle,BDSP
scraggy,BDSP
scrafty,BDSP
sigilyph,BDSP
yamask,BDSP
yamask_galar,BDSP
cofagrigus,BDSP
tirtouga,BDSP
carracosta,BDSP
archen,BDSP
archeops,BDSP
trubbish,BDSP
garbodor,BDSP
zorua,BDSP
zoroark,BDSP
minccino,BDSP
cinccino,BDSP
gothita,BDSP
gothorita,BDSP
gothitelle,BDSP
solosis,BDSP
duosion,BDSP
reuniclus,BDSP
ducklett,BDSP
swanna,BDSP
vanillite,BDSP
vanillish,BDSP
vanilluxe,BDSP
deerling_spring,BDSP
sawsbuck_spring,BDSP
emolga,BDSP
karrablast,BDSP
escavalier,BDSP
foongus,BDSP
amoonguss,BDSP
frillish,BDSP
jellicent,BDSP
alomomola,BDSP
joltik,BDSP
galvantula,BDSP
ferroseed,BDSP
ferrothorn,BDSP
klink,BDSP
klang,BDSP
klinklang,BDSP
tynamo,BDSP
eelektrik,BDSP
eelektross,BDSP
elgyem,BDSP
beheeyem,BDSP
litwick,BDSP
lampent,BDSP
chandelure,BDSP
axew,BDSP
fraxure,BDSP
haxorus,BDSP
cubchoo,BDSP
beartic,BDSP
cryogonal,BDSP
shelmet,BDSP
accelgor,BDSP
stunfisk,BDSP
stunfisk_galar,BDSP
mienfoo,BDSP
mienshao,BDSP
druddigon,BDSP
golett,BDSP
golurk,BDSP
pawniard,BDSP
bisharp,BDSP
bouffalant,BDSP
rufflet,BDSP
braviary,BDSP
vullaby,BDSP
mandibuzz,BDSP
heatmor,BDSP
durant,BDSP
deino,BDSP
zweilous,BDSP
hydreigon,BDSP
larvesta,BDSP
volcarona,BDSP
cobalion,BDSP
terrakion,BDSP
virizion,BDSP
tornadus_incarnate,BDSP
thundurus_incarnate,BDSP
reshiram,BDSP
zekrom,BDSP
landorus_incarnate,BDSP
kyurem,BDSP
keldeo_ordinary,BDSP
meloetta_aria,BDSP
genesect,BDSP
chespin,BDSP
quilladin,BDSP
chesnaught,BDSP
fennekin,BDSP
braixen,BDSP
delphox,BDSP
froakie,BDSP
frogadier,BDSP
greninja,BDSP
bunnelby,BDSP
diggersby,BDSP
fletchling,BDSP
fletchinder,BDSP
talonflame,BDSP
scatterbug,BDSP
spewpa,BDSP
vivillon,BDSP
litleo,BDSP
pyroar,BDSP
flabebe,BDSP
floette,BDSP
florges,BDSP
skiddo,BDSP
gogoat,BDSP
pancham,BDSP
pangoro,BDSP
furfrou,BDSP
espurr,BDSP
meowstic_m,BDSP
honedge,BDSP
doublade,BDSP
aegislash_shield,BDSP
spritzee,BDSP
aromatisse,BDSP
swirlix,BDSP
slurpuff,BDSP
inkay,BDSP
malamar,BDSP
binacle,BDSP
barbaracle,BDSP
skrelp,BDSP
dragalge,BDSP
clauncher,BDSP
clawitzer,BDSP
helioptile,BDSP
heliolisk,BDSP
tyrunt,BDSP
tyrantrum,BDSP
amaura,BDSP
aurorus,BDSP
sylveon,BDSP
hawlucha,BDSP
dedenne,BDSP
carbink,BDSP
goomy,BDSP
sliggoo,BDSP
goodra,BDSP
klefki,BDSP
phantump,BDSP
trevenant,BDSP
pumpkaboo_average,BDSP
gourgeist_average,BDSP
bergmite,BDSP
avalugg,BDSP
noibat,BDSP
noivern,BDSP
xerneas,BDSP
yveltal,BDSP
zygarde_50,BDSP
diancie,BDSP
hoopa,BDSP
volcanion,BDSP
rowlet,BDSP
dartrix,BDSP
decidueye,BDSP
litten,BDSP
torracat,BDSP
incineroar,BDSP
popplio,BDSP
brionne,BDSP
primarina,BDSP
pikipek,BDSP
trumbeak,BDSP
toucannon,BDSP
yungoos,BDSP
gumshoos,BDSP
grubbin,BDSP
charjabug,BDSP
vikavolt,BDSP
crabrawler,BDSP
crabominable,BDSP
oricorio_baile,BDSP
cutiefly,BDSP
ribombee,BDSP
rockruff,BDSP
lycanroc_midday,BDSP
wishiwashi_solo,BDSP
mareanie,BDSP
toxapex,BDSP
mudbray,BDSP
mudsdale,BDSP
dewpider,BDSP
araquanid,BDSP
fomantis,BDSP
lurantis,BDSP
morelull,BDSP
shiinotic,BDSP
salandit,BDSP
salazzle,BDSP
stufful,BDSP
bewear,BDSP
bounsweet,BDSP
steenee,BDSP
tsareena,BDSP
comfey,BDSP
oranguru,BDSP
passimian,BDSP
wimpod,BDSP
golisopod,BDSP
sandygast,BDSP
palossand,BDSP
pyukumuku,BDSP
type_null,BDSP
silvally_normal,BDSP
minior,BDSP
komala,BDSP
turtonator,BDSP
togedemaru,BDSP
mimikyu,BDSP
bruxish,BDSP
drampa,BDSP
dhelmise,BDSP
jangmo_o,BDSP
hakamo_o,BDSP
kommo_o,BDSP
tapu_koko,BDSP
tapu_lele,BDSP
tapu_bulu,BDSP
tapu_fini,BDSP
cosmog,BDSP
cosmoem,BDSP
solgaleo,BDSP
lunala,BDSP
nihilego,BDSP
buzzwole,BDSP
pheromosa,BDSP
xurkitree,BDSP
celesteela,BDSP
kartana,BDSP
guzzlord,BDSP
necrozma,BDSP
magearna,BDSP
marshadow,BDSP
poipole,BDSP
naganadel,BDSP
stakataka,BDSP
blacephalon,BDSP
zeraora,BDSP
meltan,BDSP
melmetal,BDSP
grookey,BDSP
thwackey,BDSP
rillaboom,BDSP
scorbunny,BDSP
raboot,BDSP
cinderace,BDSP
sobble,BDSP
drizzile,BDSP
inteleon,BDSP
skwovet,BDSP
greedent,BDSP
rookidee,BDSP
corvisquire,BDSP
corviknight,BDSP
blipbug,BDSP
dottler,BDSP
orbeetle,BDSP
nickit,BDSP
thievul,BDSP
gossifleur,BDSP
eldegoss,BDSP
wooloo,BDSP
dubwool,BDSP
chewtle,BDSP
drednaw,BDSP
yamper,BDSP
boltund,BDSP
rolycoly,BDSP
carkol,BDSP
coalossal,BDSP
applin,BDSP
flapple,BDSP
appletun,BDSP
silicobra,BDSP
sandaconda,BDSP
cramorant,BDSP
arrokuda,BDSP
barraskewda,BDSP
toxel,BDSP
toxtricity_amped,BDSP
sizzlipede,BDSP
centiskorch,BDSP
clobbopus,BDSP
grapploct,BDSP
sinistea,BDSP
polteageist,BDSP
hatenna,BDSP
hattrem,BDSP
hatterene,BDSP
impidimp,BDSP
morgrem,BDSP
grimmsnarl,BDSP
obstagoon,BDSP
perrserker,BDSP
cursola,BDSP
sirfetchd,BDSP
mr_rime,BDSP
runerigus,BDSP
milcery,BDSP
alcremie,BDSP
falinks,BDSP
pincurchin,BDSP
snom,BDSP
frosmoth,BDSP
stonjourner,BDSP
eiscue_ice,BDSP
indeedee_m,BDSP
morpeko_full_belly,BDSP
cufant,BDSP
copperajah,BDSP
dracozolt,BDSP
arctozolt,BDSP
dracovish,BDSP
arctovish,BDSP
duraludon,BDSP
dreepy,BDSP
drakloak,BDSP
dragapult,BDSP
zacian,BDSP
zamazenta,BDSP
eternatus,BDSP
kubfu,BDSP
urshifu,BDSP
zarude,BDSP
regieleki,BDSP
regidrago,BDSP
glastrier,BDSP
spectrier,BDSP
calyrex,BDSP
