Pokemon Name,Males out of 8,Females out of 8
drizzile,7,1
inteleon,7,1
togepi,7,1
munchlax,7,1
riolu,7,1
kubfu,7,1
urshifu,7,1
growlithe,6,2
arcanine,6,2
abra,6,2
kadabra,6,2
alakazam,6,2
machop,6,2
machoke,6,2
machamp,6,2
electabuzz,6,2
magmar,6,2
makuhita,6,2
hariyama,6,2
electivire,6,2
magmortar,6,2
timburr,6,2
gurdurr,6,2
conkeldurr,6,2
elekid,6,2
magby,6,2
caterpie,4,4
metapod,4,4
butterfree,4,4
weedle,4,4
kakuna,4,4
beedrill,4,4
pidgey,4,4
pidgeotto,4,4
pidgeot,4,4
rattata,4,4
raticate,4,4
spearow,4,4
fearow,4,4
ekans,4,4
arbok,4,4
pikachu,4,4
raichu,4,4
sandshrew,4,4
sandslash,4,4
zubat,4,4
golbat,4,4
oddish,4,4
gloom,4,4
vileplume,4,4
paras,4,4
parasect,4,4
venonat,4,4
venomoth,4,4
diglett,4,4
dugtrio,4,4
meowth,4,4
persian,4,4
psyduck,4,4
golduck,4,4
mankey,4,4
primeape,4,4
poliwag,4,4
poliwhirl,4,4
poliwrath,4,4
bellsprout,4,4
weepinbell,4,4
victreebel,4,4
tentacool,4,4
tentacruel,4,4
geodude,4,4
graveler,4,4
golem,4,4
ponyta,4,4
rapidash,4,4
slowpoke,4,4
slowbro,4,4
farfetchd,4,4
doduo,4,4
dodrio,4,4
seel,4,4
dewgong,4,4
grimer,4,4
muk,4,4
shellder,4,4
cloyster,4,4
gastly,4,4
haunter,4,4
gengar,4,4
onix,4,4
drowzee,4,4
hypno,4,4
krabby,4,4
kingler,4,4
exeggcute,4,4
exeggutor,4,4
cubone,4,4
marowak,4,4
lickitung,4,4
koffing,4,4
weezing,4,4
rhyhorn,4,4
rhydon,4,4
tangela,4,4
horsea,4,4
seadra,4,4
goldeen,4,4
seaking,4,4
mr_mime,4,4
scyther,4,4
pinsir,4,4
magikarp,4,4
gyarados,4,4
lapras,4,4
dratini,4,4
dragonair,4,4
dragonite,4,4
sentret,4,4
furret,4,4
hoothoot,4,4
noctowl,4,4
ledyba,4,4
ledian,4,4
spinarak,4,4
ariados,4,4
crobat,4,4
chinchou,4,4
lanturn,4,4
natu,4,4
xatu,4,4
mareep,4,4
flaaffy,4,4
ampharos,4,4
bellossom,4,4
marill,4,4
azumarill,4,4
sudowoodo,4,4
politoed,4,4
hoppip,4,4
skiploom,4,4
jumpluff,4,4
aipom,4,4
sunkern,4,4
sunflora,4,4
yanma,4,4
wooper,4,4
quagsire,4,4
murkrow,4,4
slowking,4,4
misdreavus,4,4
wobbuffet,4,4
girafarig,4,4
pineco,4,4
forretress,4,4
dunsparce,4,4
gligar,4,4
steelix,4,4
qwilfish,4,4
scizor,4,4
shuckle,4,4
heracross,4,4
sneasel,4,4
teddiursa,4,4
ursaring,4,4
slugma,4,4
magcargo,4,4
swinub,4,4
piloswine,4,4
remoraid,4,4
octillery,4,4
delibird,4,4
mantine,4,4
skarmory,4,4
houndour,4,4
houndoom,4,4
kingdra,4,4
phanpy,4,4
donphan,4,4
stantler,4,4
smeargle,4,4
larvitar,4,4
pupitar,4,4
tyranitar,4,4
poochyena,4,4
mightyena,4,4
zigzagoon,4,4
linoone,4,4
wurmple,4,4
silcoon,4,4
beautifly,4,4
cascoon,4,4
dustox,4,4
lotad,4,4
lombre,4,4
ludicolo,4,4
seedot,4,4
nuzleaf,4,4
shiftry,4,4
taillow,4,4
swellow,4,4
wingull,4,4
pelipper,4,4
ralts,4,4
kirlia,4,4
gardevoir,4,4
surskit,4,4
masquerain,4,4
shroomish,4,4
breloom,4,4
slakoth,4,4
vigoroth,4,4
slaking,4,4
nincada,4,4
ninjask,4,4
whismur,4,4
loudred,4,4
exploud,4,4
nosepass,4,4
sableye,4,4
mawile,4,4
aron,4,4
lairon,4,4
aggron,4,4
meditite,4,4
medicham,4,4
electrike,4,4
manectric,4,4
plusle,4,4
minun,4,4
roselia,4,4
gulpin,4,4
swalot,4,4
carvanha,4,4
sharpedo,4,4
wailmer,4,4
wailord,4,4
numel,4,4
camerupt,4,4
torkoal,4,4
spoink,4,4
grumpig,4,4
spinda,4,4
trapinch,4,4
vibrava,4,4
flygon,4,4
cacnea,4,4
cacturne,4,4
swablu,4,4
altaria,4,4
zangoose,4,4
seviper,4,4
barboach,4,4
whiscash,4,4
corphish,4,4
crawdaunt,4,4
feebas,4,4
milotic,4,4
castform,4,4
kecleon,4,4
shuppet,4,4
banette,4,4
duskull,4,4
dusclops,4,4
tropius,4,4
chimecho,4,4
absol,4,4
snorunt,4,4
glalie,4,4
spheal,4,4
sealeo,4,4
walrein,4,4
clamperl,4,4
huntail,4,4
gorebyss,4,4
bagon,4,4
shelgon,4,4
salamence,4,4
starly,4,4
staravia,4,4
staraptor,4,4
bidoof,4,4
bibarel,4,4
kricketot,4,4
kricketune,4,4
shinx,4,4
luxio,4,4
luxray,4,4
roserade,4,4
burmy,4,4
pachirisu,4,4
buizel,4,4
floatzel,4,4
cherubi,4,4
cherrim,4,4
shellos,4,4
gastrodon,4,4
ambipom,4,4
drifloon,4,4
drifblim,4,4
buneary,4,4
lopunny,4,4
mismagius,4,4
honchkrow,4,4
stunky,4,4
skuntank,4,4
chatot,4,4
spiritomb,4,4
gible,4,4
gabite,4,4
garchomp,4,4
hippopotas,4,4
hippowdon,4,4
skorupi,4,4
drapion,4,4
croagunk,4,4
toxicroak,4,4
carnivine,4,4
finneon,4,4
lumineon,4,4
snover,4,4
abomasnow,4,4
weavile,4,4
lickilicky,4,4
rhyperior,4,4
tangrowth,4,4
yanmega,4,4
gliscor,4,4
mamoswine,4,4
probopass,4,4
dusknoir,4,4
patrat,4,4
watchog,4,4
lillipup,4,4
herdier,4,4
stoutland,4,4
purrloin,4,4
liepard,4,4
munna,4,4
musharna,4,4
pidove,4,4
tranquill,4,4
unfezant,4,4
blitzle,4,4
zebstrika,4,4
roggenrola,4,4
boldore,4,4
gigalith,4,4
woobat,4,4
swoobat,4,4
drilbur,4,4
excadrill,4,4
audino,4,4
tympole,4,4
palpitoad,4,4
seismitoad,4,4
sewaddle,4,4
swadloon,4,4
leavanny,4,4
venipede,4,4
whirlipede,4,4
scolipede,4,4
cottonee,4,4
whimsicott,4,4
basculin,4,4
sandile,4,4
krokorok,4,4
krookodile,4,4
darumaka,4,4
darmanitan,4,4
maractus,4,4
dwebble,4,4
crustle,4,4
scraggy,4,4
scrafty,4,4
sigilyph,4,4
yamask,4,4
cofagrigus,4,4
trubbish,4,4
garbodor,4,4
solosis,4,4
duosion,4,4
reuniclus,4,4
ducklett,4,4
swanna,4,4
vanillite,4,4
vanillish,4,4
vanilluxe,4,4
deerling,4,4
sawsbuck,4,4
emolga,4,4
karrablast,4,4
escavalier,4,4
foongus,4,4
amoonguss,4,4
frillish,4,4
jellicent,4,4
alomomola,4,4
joltik,4,4
galvantula,4,4
ferroseed,4,4
ferrothorn,4,4
tynamo,4,4
eelektrik,4,4
eelektross,4,4
elgyem,4,4
beheeyem,4,4
litwick,4,4
lampent,4,4
chandelure,4,4
axew,4,4
fraxure,4,4
haxorus,4,4
cubchoo,4,4
beartic,4,4
shelmet,4,4
accelgor,4,4
stunfisk,4,4
mienfoo,4,4
mienshao,4,4
druddigon,4,4
pawniard,4,4
bisharp,4,4
bouffalant,4,4
heatmor,4,4
durant,4,4
deino,4,4
zweilous,4,4
hydreigon,4,4
larvesta,4,4
volcarona,4,4
bunnelby,4,4
diggersby,4,4
fletchling,4,4
fletchinder,4,4
talonflame,4,4
scatterbug,4,4
spewpa,4,4
vivillon,4,4
skiddo,4,4
gogoat,4,4
pancham,4,4
pangoro,4,4
furfrou,4,4
espurr,4,4
meowstic,4,4
honedge,4,4
doublade,4,4
aegislash,4,4
spritzee,4,4
aromatisse,4,4
swirlix,4,4
slurpuff,4,4
inkay,4,4
malamar,4,4
binacle,4,4
barbaracle,4,4
skrelp,4,4
dragalge,4,4
clauncher,4,4
clawitzer,4,4
helioptile,4,4
heliolisk,4,4
hawlucha,4,4
dedenne,4,4
goomy,4,4
sliggoo,4,4
goodra,4,4
klefki,4,4
phantump,4,4
trevenant,4,4
pumpkaboo,4,4
gourgeist,4,4
bergmite,4,4
avalugg,4,4
noibat,4,4
noivern,4,4
pikipek,4,4
trumbeak,4,4
toucannon,4,4
yungoos,4,4
gumshoos,4,4
grubbin,4,4
charjabug,4,4
vikavolt,4,4
crabrawler,4,4
crabominable,4,4
cutiefly,4,4
ribombee,4,4
rockruff,4,4
lycanroc,4,4
wishiwashi,4,4
mareanie,4,4
toxapex,4,4
mudbray,4,4
mudsdale,4,4
dewpider,4,4
araquanid,4,4
fomantis,4,4
lurantis,4,4
morelull,4,4
shiinotic,4,4
stufful,4,4
bewear,4,4
oranguru,4,4
passimian,4,4
wimpod,4,4
golisopod,4,4
sandygast,4,4
palossand,4,4
pyukumuku,4,4
komala,4,4
turtonator,4,4
togedemaru,4,4
mimikyu,4,4
bruxish,4,4
drampa,4,4
jangmo_o,4,4
hakamo_o,4,4
kommo_o,4,4
skwovet,4,4
greedent,4,4
rookidee,4,4
corvisquire,4,4
corviknight,4,4
blipbug,4,4
dottler,4,4
orbeetle,4,4
nickit,4,4
thievul,4,4
gossifleur,4,4
eldegoss,4,4
wooloo,4,4
dubwool,4,4
chewtle,4,4
drednaw,4,4
yamper,4,4
boltund,4,4
rolycoly,4,4
carkol,4,4
coalossal,4,4
applin,4,4
flapple,4,4
appletun,4,4
silicobra,4,4
sandaconda,4,4
cramorant,4,4
arrokuda,4,4
barraskewda,4,4
toxtricity,4,4
sizzlipede,4,4
centiskorch,4,4
clobbopus,4,4
grapploct,4,4
obstagoon,4,4
perrserker,4,4
sirfetchd,4,4
mr_rime,4,4
runerigus,4,4
pincurchin,4,4
snom,4,4
frosmoth,4,4
stonjourner,4,4
eiscue,4,4
indeedee,4,4
morpeko,4,4
cufant,4,4
copperajah,4,4
duraludon,4,4
dreepy,4,4
drakloak,4,4
dragapult,4,4
wyrdeer,4,4
kleavor,4,4
ursaluna,4,4
basculegion,4,4
sneasler,4,4
overqwil,4,4
pichu,4,4
wynaut,4,4
budew,4,4
chingling,4,4
bonsly,4,4
mime_jr,4,4
mantyke,4,4
heatran,4,4
toxel,4,4
clefairy,2,6
clefable,2,6
vulpix,2,6
ninetales,2,6
jigglypuff,2,6
wigglytuff,2,6
snubbull,2,6
granbull,2,6
corsola,2,6
skitty,2,6
delcatty,2,6
luvdisc,2,6
glameow,2,6
purugly,2,6
minccino,2,6
cinccino,2,6
gothita,2,6
gothorita,2,6
gothitelle,2,6
oricorio,2,6
comfey,2,6
cursola,2,6
cleffa,2,6
igglybuff,2,6
azurill,2,6
litleo,1,7
pyroar,1,7
nidoran_f,0,8
chansey,0,8
kangaskhan,0,8
jynx,0,8
miltank,0,8
blissey,0,8
illumise,0,8
wormadam,0,8
vespiquen,0,8
froslass,0,8
petilil,0,8
lilligant,0,8
vullaby,0,8
mandibuzz,0,8
flabebe,0,8
floette,0,8
florges,0,8
salazzle,0,8
bounsweet,0,8
steenee,0,8
tsareena,0,8
hatenna,0,8
hattrem,0,8
hatterene,0,8
milcery,0,8
alcremie,0,8
pikachu_cosplay,0,8
nidorina,0,8
nidoqueen,0,8
pichu_spiky_eared,0,8
smoochum,0,8
latias,0,8
happiny,0,8
cresselia,0,8
enamorus,0,8
magnemite,0,0
magneton,0,0
voltorb,0,0
electrode,0,0
staryu,0,0
starmie,0,0
porygon,0,0
porygon2,0,0
shedinja,0,0
lunatone,0,0
solrock,0,0
baltoy,0,0
claydol,0,0
beldum,0,0
metang,0,0
metagross,0,0
bronzor,0,0
bronzong,0,0
magnezone,0,0
porygon_z,0,0
rotom,0,0
phione,0,0
manaphy,0,0
klink,0,0
klang,0,0
klinklang,0,0
cryogonal,0,0
golett,0,0
golurk,0,0
carbink,0,0
minior,0,0
dhelmise,0,0
sinistea,0,0
polteageist,0,0
falinks,0,0
ditto,0,0
articuno,0,0
zapdos,0,0
moltres,0,0
mewtwo,0,0
mew,0,0
unown,0,0
raikou,0,0
entei,0,0
suicune,0,0
lugia,0,0
ho_oh,0,0
celebi,0,0
regirock,0,0
regice,0,0
registeel,0,0
kyogre,0,0
groudon,0,0
rayquaza,0,0
jirachi,0,0
deoxys,0,0
uxie,0,0
mesprit,0,0
azelf,0,0
dialga,0,0
palkia,0,0
regigigas,0,0
giratina,0,0
darkrai,0,0
shaymin,0,0
arceus,0,0
victini,0,0
cobalion,0,0
terrakion,0,0
virizion,0,0
reshiram,0,0
zekrom,0,0
kyurem,0,0
keldeo,0,0
meloetta,0,0
genesect,0,0
xerneas,0,0
yveltal,0,0
zygarde,0,0
diancie,0,0
hoopa,0,0
volcanion,0,0
type_null,0,0
silvally,0,0
tapu_koko,0,0
tapu_lele,0,0
tapu_bulu,0,0
tapu_fini,0,0
cosmog,0,0
cosmoem,0,0
solgaleo,0,0
lunala,0,0
nihilego,0,0
buzzwole,0,0
pheromosa,0,0
xurkitree,0,0
celesteela,0,0
kartana,0,0
guzzlord,0,0
necrozma,0,0
magearna,0,0
marshadow,0,0
poipole,0,0
naganadel,0,0
stakataka,0,0
blacephalon,0,0
zeraora,0,0
meltan,0,0
melmetal,0,0
dracozolt,0,0
arctozolt,0,0
dracovish,0,0
arctovish,0,0
zacian,0,0
zamazenta,0,0
eternatus,0,0
zarude,0,0
regieleki,0,0
regidrago,0,0
glastrier,0,0
spectrier,0,0
calyrex,0,0
