Move Name,1,2,3,4
magical_leaf,F,F,T,T
magma_storm,F,F,F,T
magnet_bomb,F,F,F,T
magnitude,F,T,T,T
mega_drain,F,T,F,F
mega_kick,F,T,T,T
mega_punch,F,T,T,T
megahorn,F,T,T,T
meteor_mash,F,F,T,T
mirror_coat,F,T,T,T
mirror_shot,F,F,F,T
mud_bomb,F,F,F,T
mud_shot,F,F,T,T
muddy_water,F,F,T,T
night_shade,F,T,T,T
night_slash,F,F,F,T
ominous_wind,F,F,F,T
outrage,F,T,T,T
overheat,F,F,T,T
pay_day,F,T,T,T
payback,F,F,F,T
peck,F,T,T,T
petal_dance,F,T,T,T
pin_missile,F,T,T,T
pluck,F,F,F,T
poison_jab,F,F,F,T
poison_tail,F,F,T,T
pound,F,T,T,F
power_gem,F,F,F,T
power_whip,F,F,F,T
present,F,T,F,F
pursuit,F,T,F,F
psycho_boost,F,F,T,T
psycho_cut,F,F,F,T
psywave,F,T,T,T
punishment,F,F,F,T
quick_attack,F,T,T,T
rage,F,T,T,T
rapid_spin,F,T,T,T
razor_leaf,F,T,T,T
razor_wind,F,T,T,T
return,F,T,T,T
revenge,F,F,T,T
reversal,F,T,T,T
roar_of_time,F,F,F,T
rock_blast,F,F,T,T
rock_climb,F,F,F,T
rock_throw,F,T,T,T
rock_wrecker,F,F,F,T
rolling_kick,F,F,T,T
rollout,F,T,T,T
sand_tomb,F,F,T,T
scratch,F,T,T,T
seed_bomb,F,F,F,T
seed_flare,F,F,F,T
seismic_toss,F,T,T,T
self_destruct,F,T,T,T
shadow_claw,F,F,F,T
shadow_force,F,F,F,T
shadow_punch,F,F,T,T
shadow_sneak,F,F,F,T
shock_wave,F,F,T,T
signal_beam,F,F,T,T
silver_wind,F,F,T,T
skull_bash,F,T,T,T
sky_attack,F,T,T,T
sky_uppercut,F,F,T,T
slam,F,T,T,T
slash,F,T,T,T
snore,F,T,T,T
solar_beam,F,T,T,T
sonic_boom,F,T,T,T
spacial_rend,F,F,F,T
spike_cannon,F,T,T,T
spit_up,F,F,T,T
steel_wing,F,F,T,T
stone_edge,F,F,F,T
strength,F,T,T,T
struggle,F,T,T,T
submission,F,T,T,T
sucker_punch,F,F,F,T
super_fang,F,T,F,F
surf,F,T,T,T
swift,F,T,T,T
tackle,F,T,T,T
take_down,F,T,T,T
thief,F,T,F,F
thrash,F,T,T,T
thunder_fang,F,F,F,T
triple_kick,F,T,T,T
trump_card,F,F,F,T
twineedle,F,T,F,F
twister,F,F,T,T
u_turn,F,F,F,T
uproar,F,F,T,T
vacuum_wave,F,F,F,T
vice_grip,F,T,T,T
vine_whip,F,T,T,T
vital_throw,F,T,T,T
volt_tackle,F,F,T,T
wake_up_slap,F,F,F,T
water_gun,F,T,T,T
water_pulse,F,F,T,T
waterfall,F,T,T,T
weather_ball,F,F,T,T
whirlpool,F,F,T,T
wing_attack,F,T,T,T
wood_hammer,F,F,F,T
wrap,F,F,T,T
x_scissor,F,F,F,T
