Item Name,Stad,GS,C,Stad2,RS,E,Colo,XD,FRLG,DP,Pt,HGSS,PBR,BW,B2W2,XY,ORAS,SM,USUM,PE,SwSh
icy_rock,,,,,,,,,,0,0,1,0,1,1,2,2,3,3,3,3
iron_ball,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,3
kangaskhanite,,,,,,,,,,,,,,,,0,1,1,1,2,1
kings_rock,,0,0,0,1,1,3,3,2,4,4,4,4,5,5,6,6,6,6,6,6
lagging_tail,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
latiasite,,,,,,,,,,,,,,,,0,1,1,1,1,
latiosite,,,,,,,,,,,,,,,,0,1,1,1,1,
lax_incense,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
leftovers,,0,0,0,1,1,3,3,2,4,4,4,4,4,4,5,5,5,5,5,5
life_orb,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
light_clay,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
lopunnite,,,,,,,,,,,,,,,,0,0,0,0,0,
lucarionite,,,,,,,,,,,,,,,,0,1,1,1,1,
luck_incense,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
luminous_moss,,,,,,,,,,,,,,,,0,0,0,0,0,1
macho_brace,,,,,0,0,2,2,1,3,3,3,3,3,3,4,4,4,4,4,4
manectite,,,,,,,,,,,,,,,,0,1,1,1,1,
mawilite,,,,,,,,,,,,,,,,0,1,1,1,1,
medichamite,,,,,,,,,,,,,,,,0,1,1,1,1,
mental_herb,,,,,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,3,3
metagrossite,,,,,,,,,,,,,,,,0,0,0,0,0,
metronome_item,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,3
mewtwonite_x,,,,,,,,,,,,,,,,0,1,1,1,2,1
mewtwonite_y,,,,,,,,,,,,,,,,0,1,1,1,2,1
misty_seed,,,,,,,,,,,,,,,,,,0,0,0,1
muscle_band,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
odd_incense,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
pidgeotite,,,,,,,,,,,,,,,,0,0,0,0,1,0
pinsirite,,,,,,,,,,,,,,,,0,1,1,1,2,1
poison_memory,,,,,,,,,,,,,,,,,,0,0,0,0
power_anklet,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
power_band,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
power_belt,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
power_bracer,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
power_herb,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
power_lens,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
power_weight,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,3
protective_pads,,,,,,,,,,,,,,,,,,0,0,0,0
psychic_memory,,,,,,,,,,,,,,,,,,0,0,0,0
psychic_seed,,,,,,,,,,,,,,,,,,0,0,0,1
quick_claw,,0,0,0,1,1,3,3,2,4,4,4,4,4,4,5,5,5,5,5,5
razor_claw,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
razor_fang,,,,,,,,,,0,0,0,0,1,1,2,2,2,2,2,
red_card,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
red_orb,,,,,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,
ring_target,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
rock_incense,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
rock_memory,,,,,,,,,,,,,,,,,,0,0,0,0
rocky_helmet,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
room_service,,,,,,,,,,,,,,,,,,,,,0
rose_incense,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
sablenite,,,,,,,,,,,,,,,,0,0,0,0,0,
safety_goggles,,,,,,,,,,,,,,,,0,0,0,0,0,0
salamencite,,,,,,,,,,,,,,,,0,0,0,0,0,
sceptilite,,,,,,,,,,,,,,,,0,0,0,0,0,
scizorite,,,,,,,,,,,,,,,,0,1,1,1,1,
scope_lens,,0,0,0,1,2,1,1,3,4,4,4,4,4,4,5,5,5,5,5,5
sea_incense,,,,,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,3
sharpedonite,,,,,,,,,,,,,,,,0,0,0,0,0,
shed_shell,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
shell_bell,,,,,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,4
shock_drive,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
slowbronite,,,,,,,,,,,,,,,,0,0,0,0,1,0
smoke_ball,,0,0,0,1,3,4,4,2,5,5,5,5,5,5,6,6,6,6,6,6
smooth_rock,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
snowball,,,,,,,,,,,,,,,,0,0,0,0,0,1
steel_memory,,,,,,,,,,,,,,,,,,0,0,0,0
steelixite,,,,,,,,,,,,,,,,0,0,0,0,0,
sticky_barb,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3
swampertite,,,,,,,,,,,,,,,,0,0,0,0,0,
terrain_extender,,,,,,,,,,,,,,,,,,0,0,0,0
throat_spray,,,,,,,,,,,,,,,,,,,,,0
toxic_orb,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2
tyranitarite,,,,,,,,,,,,,,,,0,1,1,1,1,
utility_umbrella,,,,,,,,,,,,,,,,,,,,,1
venusaurite,,,,,,,,,,,,,,,,0,1,1,1,2,1
water_memory,,,,,,,,,,,,,,,,,,0,0,0,0
wave_incense,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3
weakness_policy,,,,,,,,,,,,,,,,0,0,0,0,0,0
white_herb,,,,,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2
wide_lens,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
wise_glasses,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
zoom_lens,,,,,,,,,,0,1,1,0,2,2,3,3,3,3,3,3
