Move Name,DP,Pt,HGSS,PBR
bone_club,5,5,5,5
fire_blast,6,6,6,6
waterfall,5,5,7,6
clamp,6,6,6,6
swift,4,4,4,4
skull_bash,6,6,6,6
spike_cannon,5,5,5,5
constrict,5,5,5,5
amnesia,4,4,4,4
kinesis,5,5,5,5
soft_boiled,5,7,7,6
high_jump_kick,5,5,5,5
glare,5,5,5,5
dream_eater,6,6,6,6
poison_gas,5,5,5,5
barrage,5,5,5,5
leech_life,5,5,5,5
lovely_kiss,5,5,6,5
sky_attack,5,5,5,5
transform,5,5,5,5
bubble,6,6,6,6
dizzy_punch,6,7,7,6
spore,6,6,6,6
flash,6,6,6,7
psywave,4,4,4,4
splash,5,5,5,5
acid_armor,4,4,4,4
crabhammer,4,4,4,4
explosion,4,4,4,4
fury_swipes,5,5,5,5
bonemerang,5,5,5,5
rest,4,4,4,4
rock_slide,4,4,4,4
hyper_fang,4,4,4,4
sharpen,4,4,4,4
conversion,7,7,7,7
tri_attack,6,6,6,6
super_fang,5,5,5,5
slash,5,5,5,5
substitute,4,4,4,4
struggle,6,6,6,6
sketch,5,5,7,6
triple_kick,5,5,5,5
thief,5,5,5,5
spider_web,5,5,5,5
mind_reader,5,5,5,5
nightmare,4,4,4,4
flame_wheel,4,4,4,4
snore,4,4,4,4
curse,4,4,4,4
flail,4,4,4,4
conversion_2,4,4,4,4
aeroblast,4,4,4,4
cotton_spore,5,5,5,5
reversal,3,3,3,3
spite,5,5,5,5
powder_snow,5,5,5,5
protect,4,4,4,4
mach_punch,4,4,4,4
scary_face,4,4,4,4
feint_attack,5,5,5,5
sweet_kiss,4,4,4,4
belly_drum,4,4,4,4
sludge_bomb,4,4,4,4
mud_slap,5,5,5,5
octazooka,4,4,4,4
spikes,5,5,5,5
zap_cannon,4,4,4,4
foresight,5,5,5,5
destiny_bond,4,4,4,4
perish_song,4,4,5,4
icy_wind,4,4,4,4
detect,4,4,4,4
bone_rush,5,5,5,5
lock_on,5,5,5,5
outrage,4,4,4,4
sandstorm,4,4,4,4
giga_drain,4,4,4,4
endure,4,4,5,4
charm,5,5,5,5
rollout,4,4,4,4
false_swipe,5,5,5,5
swagger,5,5,5,5
milk_drink,4,4,4,5
spark,5,5,5,5
fury_cutter,4,4,4,4
steel_wing,5,5,5,5
mean_look,5,5,5,5
attract,4,4,4,4
sleep_talk,6,6,6,6
heal_bell,4,4,4,4
return,4,4,4,4
present,4,4,4,4
frustration,5,5,5,5
safeguard,4,4,4,4
pain_split,5,5,5,5
sacred_fire,4,4,4,4
magnitude,4,4,4,4
dynamic_punch,4,4,4,4
megahorn,5,5,6,5
dragon_breath,5,5,5,5
baton_pass,4,4,4,4
encore,5,6,6,5
pursuit,5,5,5,5
rapid_spin,5,5,5,5
sweet_scent,4,4,4,5
iron_tail,5,5,5,5
metal_claw,4,4,4,4
vital_throw,5,5,5,5
morning_sun,4,4,4,4
synthesis,4,4,4,4
moonlight,4,4,4,4
hidden_power,4,4,4,4
cross_chop,4,4,4,4
twister,5,5,6,5
rain_dance,4,4,4,4
sunny_day,4,4,4,4
crunch,4,4,4,4
mirror_coat,6,6,6,6
psych_up,4,4,4,4
extreme_speed,4,4,4,4
ancient_power,3,3,3,3
shadow_ball,5,5,5,5
future_sight,4,4,4,4
rock_smash,5,5,7,6
whirlpool,5,5,6,5
beat_up,4,4,4,4
fake_out,2,2,3,2
uproar,2,2,2,2
stockpile,2,2,2,2
spit_up,2,2,2,2
swallow,2,2,2,2
heat_wave,3,3,3,3
hail,2,2,2,2
torment,3,3,3,3
flatter,3,3,3,3
will_o_wisp,3,3,3,3
memento,3,3,3,3
facade,2,2,2,2
focus_punch,2,2,2,2
smelling_salts,3,3,3,3
follow_me,2,2,2,2
nature_power,2,2,2,2
charge,2,2,2,2
taunt,3,3,3,3
helping_hand,2,2,2,2
trick,3,3,3,3
role_play,2,2,2,2
wish,2,2,2,2
assist,2,2,2,2
ingrain,2,2,2,2
superpower,2,2,2,2
magic_coat,2,2,2,2
recycle,3,3,4,3
revenge,3,3,3,3
brick_break,2,2,2,2
yawn,3,3,3,3
knock_off,3,3,3,3
endeavor,4,4,4,4
eruption,2,2,2,2
skill_swap,2,2,2,2
imprison,3,3,3,3
refresh,2,2,2,2
grudge,3,3,3,3
snatch,3,4,4,3
secret_power,3,3,3,3
dive,2,2,2,2
arm_thrust,3,3,3,3
camouflage,2,2,2,2
tail_glow,2,2,2,2
luster_purge,2,2,2,2
mist_ball,2,2,2,2
feather_dance,3,3,3,3
teeter_dance,3,3,3,3
blaze_kick,2,2,2,2
mud_sport,2,2,2,2
ice_ball,3,3,3,3
needle_arm,2,2,2,2
slack_off,2,2,2,2
hyper_voice,2,2,2,2
poison_fang,3,3,3,3
crush_claw,3,3,3,3
blast_burn,2,2,2,2
hydro_cannon,2,2,2,2
meteor_mash,2,2,2,2
astonish,3,3,3,3
weather_ball,2,2,2,2
aromatherapy,2,2,2,2
fake_tears,3,3,3,3
air_cutter,2,2,2,2
overheat,3,3,3,3
odor_sleuth,3,3,3,3
rock_tomb,3,3,3,3
silver_wind,2,2,2,2
metal_sound,2,2,2,2
grass_whistle,3,3,3,3
tickle,3,3,3,3
cosmic_power,2,2,2,2
water_spout,3,3,3,3
signal_beam,3,3,3,3
shadow_punch,2,2,2,2
extrasensory,2,2,2,2
sky_uppercut,2,2,2,2
sand_tomb,3,3,3,3
sheer_cold,2,2,2,2
muddy_water,2,2,2,2
bullet_seed,3,3,3,4
aerial_ace,2,2,2,2
icicle_spear,3,3,3,3
iron_defense,2,2,2,2
block,2,2,2,2
howl,2,2,2,2
dragon_claw,3,3,3,3
frenzy_plant,2,2,2,2
bulk_up,3,3,3,3
bounce,2,2,2,2
mud_shot,3,3,3,3
poison_tail,2,2,2,2
covet,3,3,3,3
volt_tackle,3,3,3,3
magical_leaf,2,2,2,2
water_sport,2,2,2,2
calm_mind,2,2,2,2
leaf_blade,1,1,1,1
dragon_dance,2,2,2,2
rock_blast,3,3,3,3
shock_wave,2,2,2,2
water_pulse,2,2,2,2
doom_desire,2,2,2,2
psycho_boost,2,2,2,2
roost,0,0,0,0
gravity,0,0,0,0
miracle_eye,0,1,1,1
wake_up_slap,0,0,0,0
hammer_arm,0,0,0,0
gyro_ball,0,0,0,0
healing_wish,0,0,0,0
brine,0,0,0,0
natural_gift,0,0,0,0
feint,0,0,0,0
pluck,0,0,0,0
tailwind,0,0,0,0
acupressure,0,0,0,0
metal_burst,0,0,0,0
u_turn,0,0,0,0
close_combat,0,0,1,0
payback,0,0,0,0
assurance,0,0,0,0
embargo,0,0,0,1
fling,0,0,0,0
psycho_shift,0,0,0,0
trump_card,0,0,0,0
heal_block,0,0,0,0
wring_out,0,0,0,0
power_trick,0,0,0,0
gastro_acid,0,0,0,0
lucky_chant,0,0,0,0
me_first,0,0,0,0
copycat,0,0,0,0
power_swap,0,0,0,0
guard_swap,0,0,0,0
punishment,0,0,0,0
last_resort,0,0,0,0
worry_seed,0,0,0,0
sucker_punch,0,0,0,0
toxic_spikes,0,0,0,0
heart_swap,0,0,0,0
aqua_ring,0,0,0,0
magnet_rise,0,0,0,0
flare_blitz,0,0,0,0
force_palm,0,0,0,0
aura_sphere,0,0,0,0
rock_polish,0,0,0,0
poison_jab,0,0,0,0
dark_pulse,0,0,0,0
night_slash,0,0,0,0
aqua_tail,0,0,0,0
seed_bomb,0,0,0,0
air_slash,0,0,0,0
x_scissor,0,0,0,0
bug_buzz,0,0,0,0
dragon_pulse,0,0,0,0
dragon_rush,0,0,0,0
power_gem,0,0,0,0
drain_punch,0,0,0,0
vacuum_wave,0,0,0,0
focus_blast,0,0,0,0
energy_ball,0,0,0,0
brave_bird,0,0,0,0
earth_power,0,0,0,0
switcheroo,0,0,0,0
giga_impact,0,0,0,0
nasty_plot,0,0,0,0
bullet_punch,0,0,0,0
avalanche,0,0,0,0
ice_shard,0,0,0,0
shadow_claw,0,0,0,0
thunder_fang,0,0,0,0
ice_fang,0,0,0,0
fire_fang,0,0,0,0
shadow_sneak,0,0,0,0
mud_bomb,0,0,0,0
psycho_cut,0,0,0,0
zen_headbutt,0,0,0,0
mirror_shot,0,0,0,0
flash_cannon,0,0,0,0
rock_climb,0,0,0,1
defog,0,0,1,0
trick_room,0,0,0,0
draco_meteor,0,0,0,0
discharge,0,0,0,0
lava_plume,0,0,0,0
leaf_storm,0,0,0,0
power_whip,0,0,0,0
rock_wrecker,0,0,0,0
cross_poison,0,0,0,0
gunk_shot,0,0,0,0
iron_head,0,0,0,0
magnet_bomb,0,0,0,0
stone_edge,0,0,0,0
captivate,0,0,0,0
stealth_rock,0,0,0,0
grass_knot,0,0,0,0
chatter,0,0,0,1
judgment,0,0,0,0
bug_bite,0,0,0,0
charge_beam,0,0,0,0
wood_hammer,0,0,0,0
aqua_jet,0,0,0,0
attack_order,0,0,0,0
defend_order,0,1,1,0
heal_order,0,0,0,0
head_smash,0,0,1,0
double_hit,0,0,1,0
roar_of_time,0,0,0,0
spacial_rend,0,0,0,0
lunar_dance,0,0,0,0
crush_grip,0,0,0,0
magma_storm,0,0,0,0
dark_void,0,0,0,0
seed_flare,0,0,0,0
ominous_wind,0,0,0,0
shadow_force,0,0,1,0
