Move Name,RS,E,Colo,XD,FRLG
steel_wing,2,2,4,4,3
mean_look,2,2,4,4,3
attract,2,2,2,2,3
sleep_talk,2,3,5,5,4
heal_bell,2,2,2,2,3
return,2,2,2,2,3
present,2,2,2,2,3
frustration,2,2,4,4,3
safeguard,2,2,2,2,3
pain_split,2,2,4,4,3
sacred_fire,2,2,2,2,3
magnitude,2,2,2,2,3
dynamic_punch,2,2,2,2,3
megahorn,2,2,2,4,3
dragon_breath,2,2,4,4,3
baton_pass,2,2,2,2,3
encore,2,2,4,4,3
pursuit,2,2,4,4,3
rapid_spin,2,2,4,4,3
sweet_scent,2,2,2,2,3
iron_tail,2,2,4,4,3
metal_claw,2,2,2,2,3
vital_throw,2,2,4,4,3
morning_sun,2,2,2,2,3
synthesis,2,2,2,2,3
moonlight,2,2,2,2,3
hidden_power,2,2,2,2,3
cross_chop,2,2,2,2,3
twister,2,2,4,4,3
rain_dance,2,2,2,2,3
sunny_day,2,2,2,2,3
crunch,2,2,2,2,3
mirror_coat,3,3,5,5,4
psych_up,2,2,3,3,4
extreme_speed,2,2,2,2,3
ancient_power,1,1,1,1,2
shadow_ball,2,2,4,4,3
future_sight,2,2,2,2,3
rock_smash,2,2,4,4,3
whirlpool,2,2,3,3,4
beat_up,2,2,2,2,3
fake_out,0,0,0,0,1
uproar,0,0,0,0,1
stockpile,0,0,0,0,1
spit_up,0,0,0,0,1
swallow,0,0,0,0,1
heat_wave,0,0,2,2,1
hail,0,0,0,0,1
torment,0,0,2,2,1
flatter,0,0,2,2,1
will_o_wisp,0,0,2,2,1
memento,0,0,2,2,1
facade,0,0,0,0,1
focus_punch,0,0,0,0,1
smelling_salts,0,0,2,2,1
follow_me,0,0,0,0,1
nature_power,0,0,0,0,1
charge,0,0,0,0,1
taunt,0,0,2,2,1
helping_hand,0,0,0,0,1
trick,0,0,2,2,1
role_play,0,0,0,0,1
wish,0,0,0,0,1
assist,0,0,0,0,1
ingrain,0,0,0,0,1
superpower,0,0,0,0,1
magic_coat,0,0,0,0,1
recycle,0,0,2,2,1
revenge,0,0,2,2,1
brick_break,0,0,0,0,1
yawn,0,0,2,2,1
knock_off,0,0,2,2,1
endeavor,0,0,2,3,1
eruption,0,0,0,0,1
skill_swap,0,0,0,0,1
imprison,0,0,2,2,1
refresh,0,0,0,0,1
grudge,0,1,0,0,2
snatch,0,0,2,2,1
secret_power,0,0,2,2,1
dive,0,0,0,0,1
arm_thrust,0,0,2,2,1
camouflage,0,0,0,0,1
tail_glow,0,0,0,0,1
luster_purge,0,0,0,0,1
mist_ball,0,0,0,0,1
feather_dance,0,0,2,2,1
teeter_dance,0,0,2,2,1
blaze_kick,0,0,0,0,1
mud_sport,0,0,0,0,1
ice_ball,0,0,2,2,1
needle_arm,0,0,0,0,1
slack_off,0,0,0,0,1
hyper_voice,0,0,0,0,1
poison_fang,0,0,2,2,1
crush_claw,0,0,2,2,1
blast_burn,0,0,0,0,1
hydro_cannon,0,0,0,0,1
meteor_mash,0,0,0,0,1
astonish,0,0,2,2,1
weather_ball,0,0,0,0,1
aromatherapy,0,0,0,0,1
fake_tears,0,0,1,1,2
air_cutter,0,0,0,0,1
overheat,0,0,2,2,1
odor_sleuth,0,0,2,2,1
rock_tomb,0,0,2,2,1
silver_wind,0,0,0,0,1
metal_sound,0,0,0,0,1
grass_whistle,0,0,2,2,1
tickle,0,0,2,2,1
cosmic_power,0,0,0,0,1
water_spout,0,0,2,2,1
signal_beam,0,0,2,2,1
shadow_punch,0,0,0,0,1
extrasensory,0,0,0,0,1
sky_uppercut,0,0,0,0,1
sand_tomb,0,0,1,1,2
sheer_cold,0,0,0,0,1
muddy_water,0,0,0,0,1
bullet_seed,0,0,2,2,1
aerial_ace,0,0,0,0,1
icicle_spear,0,0,2,2,1
iron_defense,0,0,0,0,1
block,0,0,1,1,2
howl,0,0,0,0,1
dragon_claw,0,0,2,2,1
frenzy_plant,0,0,0,0,1
bulk_up,0,0,0,2,1
bounce,0,0,0,0,1
mud_shot,0,0,2,2,1
poison_tail,0,0,0,0,1
covet,0,0,2,2,1
volt_tackle,0,0,2,2,1
magical_leaf,0,0,0,0,1
water_sport,0,0,0,0,1
calm_mind,0,0,0,0,1
leaf_blade,0,0,0,0,1
dragon_dance,0,0,0,0,1
rock_blast,0,0,2,2,1
shock_wave,0,0,0,0,1
water_pulse,0,0,0,0,1
doom_desire,0,0,0,0,1
psycho_boost,0,0,0,0,1
