Move Name,BW,B2W2
poison_jab,1,1
dark_pulse,0,0
night_slash,1,1
aqua_tail,0,0
seed_bomb,1,1
air_slash,0,0
x_scissor,1,1
bug_buzz,1,1
dragon_pulse,1,1
dragon_rush,1,1
power_gem,0,0
drain_punch,0,0
vacuum_wave,1,1
focus_blast,1,1
energy_ball,1,1
brave_bird,0,0
earth_power,1,1
switcheroo,1,1
giga_impact,2,2
nasty_plot,0,0
bullet_punch,1,1
avalanche,1,1
ice_shard,1,1
shadow_claw,1,1
thunder_fang,1,1
ice_fang,1,1
fire_fang,1,1
shadow_sneak,1,1
mud_bomb,0,0
psycho_cut,1,1
zen_headbutt,1,1
mirror_shot,1,1
flash_cannon,2,2
rock_climb,2,2
defog,2,2
trick_room,0,0
draco_meteor,1,1
discharge,1,1
lava_plume,1,1
leaf_storm,1,1
power_whip,1,1
rock_wrecker,1,1
cross_poison,1,1
gunk_shot,1,1
iron_head,1,1
magnet_bomb,1,1
stone_edge,2,2
captivate,1,1
stealth_rock,1,1
grass_knot,1,1
chatter,2,2
judgment,1,1
bug_bite,1,1
charge_beam,2,2
wood_hammer,1,1
aqua_jet,1,1
attack_order,1,1
defend_order,1,1
heal_order,0,0
head_smash,2,2
double_hit,2,2
roar_of_time,1,1
spacial_rend,1,1
lunar_dance,0,0
crush_grip,1,1
magma_storm,1,1
dark_void,1,1
seed_flare,1,1
ominous_wind,1,1
shadow_force,2,2
hone_claws,0,0
wide_guard,0,0
guard_split,0,0
power_split,0,0
wonder_room,0,0
psyshock,0,0
venoshock,0,0
autotomize,0,0
rage_powder,0,0
telekinesis,0,0
magic_room,0,0
smack_down,0,0
storm_throw,0,0
flame_burst,0,0
sludge_wave,0,0
quiver_dance,0,0
heavy_slam,0,0
synchronoise,0,0
electro_ball,0,0
soak,0,0
flame_charge,0,0
coil,0,0
low_sweep,0,0
acid_spray,0,0
foul_play,0,0
simple_beam,0,0
entrainment,0,0
after_you,0,0
round,0,0
echoed_voice,0,0
chip_away,0,0
clear_smog,0,0
stored_power,0,0
quick_guard,0,0
ally_switch,0,0
scald,0,0
shell_smash,0,0
heal_pulse,0,0
hex,0,0
sky_drop,0,0
shift_gear,0,0
circle_throw,0,1
incinerate,0,0
quash,0,0
acrobatics,0,0
reflect_type,0,0
retaliate,0,0
final_gambit,0,0
bestow,0,0
inferno,0,0
water_pledge,0,0
fire_pledge,0,0
grass_pledge,0,0
volt_switch,0,0
struggle_bug,0,1
bulldoze,0,0
frost_breath,0,0
dragon_tail,0,1
work_up,0,0
electroweb,0,0
wild_charge,0,0
drill_run,0,0
dual_chop,0,0
heart_stamp,0,0
horn_leech,0,0
sacred_sword,0,0
razor_shell,0,0
heat_crash,0,0
leaf_tornado,0,0
steamroller,0,0
cotton_guard,0,0
night_daze,0,0
psystrike,0,0
tail_slap,0,0
hurricane,0,0
head_charge,0,0
gear_grind,0,0
searing_shot,0,0
techno_blast,0,0
relic_song,0,0
secret_sword,0,0
glaciate,0,0
bolt_strike,0,0
blue_flare,0,0
fiery_dance,0,0
freeze_shock,0,0
ice_burn,0,0
snarl,0,0
icicle_crash,0,0
v_create,0,0
fusion_flare,0,0
fusion_bolt,0,0
