Move Name,SwSh
dive,6
arm_thrust,4
camouflage,3
tail_glow,3,4
luster_purge,4
mist_ball,4
feather_dance,4
teeter_dance,4
blaze_kick,4
mud_sport,5
ice_ball,6
needle_arm,4
slack_off,3
hyper_voice,2
poison_fang,5
crush_claw,6
blast_burn,4
hydro_cannon,5
meteor_mash,4
astonish,5
weather_ball,3
aromatherapy,3
fake_tears,4
air_cutter,5
overheat,5
odor_sleuth,7
rock_tomb,5
silver_wind,6
metal_sound,4
grass_whistle,5
tickle,4
cosmic_power,2
water_spout,5
signal_beam,5
shadow_punch,4
extrasensory,4
sky_uppercut,4
sand_tomb,4
sheer_cold,5
muddy_water,5
bullet_seed,6
aerial_ace,4
icicle_spear,5
iron_defense,2
block,3
howl,4
dragon_claw,5
frenzy_plant,4
bulk_up,4
bounce,4
mud_shot,5
poison_tail,4
covet,4
volt_tackle,7
magical_leaf,4
water_sport,5
calm_mind,2
leaf_blade,2
dragon_dance,3
rock_blast,5
shock_wave,4
water_pulse,4
doom_desire,4
psycho_boost,4,5
roost,1
gravity,3
miracle_eye,4
wake_up_slap,3
hammer_arm,1
gyro_ball,2
healing_wish,1
brine,2
natural_gift,2
feint,3
pluck,1
tailwind,3
acupressure,1
metal_burst,3
u_turn,0
close_combat,3
payback,2
assurance,1
embargo,5
fling,2
psycho_shift,1
trump_card,3
heal_block,2
wring_out,3
power_trick,1
gastro_acid,1
lucky_chant,3
me_first,4
copycat,0
power_swap,2
guard_swap,2
punishment,3
last_resort,0
worry_seed,2
sucker_punch,2
toxic_spikes,3
heart_swap,1,2
aqua_ring,1
magnet_rise,0
flare_blitz,3
force_palm,2
aura_sphere,2
rock_polish,2
poison_jab,3
dark_pulse,1
night_slash,1
aqua_tail,0
seed_bomb,3
air_slash,1
x_scissor,1
bug_buzz,3
dragon_pulse,1
dragon_rush,2
power_gem,0
drain_punch,0
vacuum_wave,1
focus_blast,2
energy_ball,3
brave_bird,1
earth_power,3
switcheroo,1
giga_impact,2
nasty_plot,2
bullet_punch,1
avalanche,2
ice_shard,2
shadow_claw,1
thunder_fang,2
ice_fang,2
fire_fang,2
shadow_sneak,1
mud_bomb,2
psycho_cut,1
zen_headbutt,2
mirror_shot,3
flash_cannon,3
rock_climb,4
defog,3
trick_room,0
draco_meteor,3
discharge,2
lava_plume,3
leaf_storm,2
power_whip,2
rock_wrecker,2
cross_poison,2
gunk_shot,2
iron_head,2
magnet_bomb,3
stone_edge,3
captivate,3
stealth_rock,2
grass_knot,2
chatter,4
judgment,2
bug_bite,1
charge_beam,2
wood_hammer,2
aqua_jet,2
attack_order,1
defend_order,1
heal_order,1
head_smash,3
double_hit,3
roar_of_time,2
spacial_rend,1
lunar_dance,0
crush_grip,2
magma_storm,1
dark_void,1
seed_flare,3
ominous_wind,3
shadow_force,3
hone_claws,0
wide_guard,1
guard_split,2
power_split,1
wonder_room,0
psyshock,0
venoshock,1
autotomize,0
rage_powder,1
telekinesis,1
magic_room,0
smack_down,2
storm_throw,0
flame_burst,1
sludge_wave,1
quiver_dance,1
heavy_slam,1
synchronoise,1
electro_ball,1
soak,0
flame_charge,2
coil,0
low_sweep,1
acid_spray,1
foul_play,2
simple_beam,0
entrainment,0
after_you,0
round,1
echoed_voice,1
chip_away,2
clear_smog,2
stored_power,1
quick_guard,1
ally_switch,1
scald,1
shell_smash,1
heal_pulse,1
hex,1
sky_drop,1
shift_gear,1
circle_throw,2
incinerate,1
quash,0
acrobatics,0
reflect_type,1
retaliate,2
final_gambit,1
bestow,1
inferno,1
water_pledge,2
fire_pledge,2
grass_pledge,2
volt_switch,0
struggle_bug,3
bulldoze,2
frost_breath,1
dragon_tail,2
work_up,0
electroweb,3
wild_charge,1
drill_run,0
dual_chop,0
heart_stamp,2
horn_leech,0
sacred_sword,1
razor_shell,1
heat_crash,1
leaf_tornado,0
steamroller,2
cotton_guard,1
night_daze,1
psystrike,0
tail_slap,1
hurricane,1
head_charge,1
gear_grind,1
searing_shot,2
techno_blast,1
relic_song,1
secret_sword,0
glaciate,2
bolt_strike,1
blue_flare,1
fiery_dance,2
freeze_shock,1
ice_burn,0
snarl,2
icicle_crash,1
v_create,1
fusion_flare,2
fusion_bolt,2
flying_press,0
mat_block,0
belch,1
rototiller,1
sticky_web,1
fell_stinger,1
phantom_force,0
trick_or_treat,0
noble_roar,0
ion_deluge,1
parabolic_charge,0
forests_curse,1
petal_blizzard,0
freeze_dry,0
disarming_voice,0
parting_shot,0
topsy_turvy,0
draining_kiss,1
crafty_shield,0
flower_shield,1
grassy_terrain,1
misty_terrain,1
electrify,0
play_rough,0
fairy_wind,0
moonblast,0
boomburst,0
fairy_lock,0
kings_shield,1
play_nice,0
confide,0
diamond_storm,1
steam_eruption,0
hyperspace_hole,1
water_shuriken,0
mystical_fire,0
spiky_shield,1
aromatic_mist,1
eerie_impulse,0
venom_drench,0
powder,1
geomancy,0
magnetic_flux,1
happy_hour,0
electric_terrain,1
dazzling_gleam,0
celebrate,0
hold_hands,0
baby_doll_eyes,1
nuzzle,0
hold_back,1
infestation,0
power_up_punch,0
oblivion_wing,0
thousand_arrows,0
thousand_waves,1
lands_wrath,0
light_of_ruin,0
origin_pulse,0
precipice_blades,0
dragon_ascent,1
hyperspace_fury,1
breakneck_blitz,1
all_out_pummeling,1
supersonic_skystrike,1
acid_downpour,1
tectonic_rage,1
continental_crush,1
savage_spin_out,1
never_ending_nightmare,1
corkscrew_crash,1
inferno_overdrive,1
hydro_vortex,1
bloom_doom,1
gigavolt_havoc,1
shattered_psyche,1
subzero_slammer,1
devastating_drake,1
black_hole_eclipse,1
twinkle_tackle,1
catastropika,1
shore_up,0
first_impression,1
baneful_bunker,0
spirit_shackle,0
darkest_lariat,0
sparkling_aria,0
ice_hammer,0
floral_healing,0
high_horsepower,0
strength_sap,0
solar_blade,0
leafage,0
spotlight,1
toxic_thread,0
laser_focus,0
gear_up,0
throat_chop,0
pollen_puff,0
anchor_shot,0
psychic_terrain,0
lunge,0
fire_lash,0
power_trip,0
burn_up,0
speed_swap,0
smart_strike,0
purify,0
revelation_dance,0
core_enforcer,0
trop_kick,0
instruct,0
beak_blast,0
clanging_scales,1
dragon_hammer,0
brutal_swing,0
aurora_veil,0
sinister_arrow_raid,1
malicious_moonsault,1
oceanic_operetta,1
guardian_of_alola,1
soul_stealing_7_star_strike,1
stoked_sparksurfer,1
pulverizing_pancake,1
extreme_evoboost,1
genesis_supernova,1
shell_trap,1
fleur_cannon,0
psychic_fangs,0
stomping_tantrum,0
shadow_bone,0
accelerock,0
liquidation,0
prismatic_laser,0
spectral_thief,0
sunsteel_strike,0
moongeist_beam,0
tearful_look,0
zing_zap,0
natures_madness,0
multi_attack,0
10000000_volt_thunderbolt,1
mind_blown,0
plasma_fists,0
photon_geyser,0
light_that_burns_the_sky,1
searing_sunraze_smash,1
menacing_moonraze_maelstrom,1
lets_snuggle_forever,1
splintered_stormshards,1
clangorous_soulblaze,1
zippy_zap,1
splishy_splash,1
floaty_fall,1
pika_papow,1
bouncy_bubble,1
buzzy_buzz,1
sizzly_slide,1
glitzy_glow,1
baddy_bad,1
sappy_seed,1
freezy_frost,1
sparkly_swirl,1
veevee_volley,1
double_iron_bash,0
max_guard,0
dynamax_cannon,0
snipe_shot,0
jaw_lock,0
stuff_cheeks,0
no_retreat,0
tar_shot,0
magic_powder,0
dragon_darts,0
teatime,0
octolock,0
bolt_beak,0
fishious_rend,0
court_change,0
max_flare,0
max_flutterby,0
max_lightning,0
max_strike,0
max_knuckle,0
max_phantasm,0
max_hailstorm,0
max_ooze,0
max_geyser,0
max_airstream,0
max_starfall,0
max_wyrmwind,0
max_mindstorm,0
max_rockfall,0
max_quake,0
max_darkness,0
max_overgrowth,0
max_steelspike,0
clangorous_soul,0
body_press,0
decorate,0
drum_beating,0
snap_trap,0
pyro_ball,0
behemoth_blade,0
behemoth_bash,0
aura_wheel,0
breaking_swipe,0
branch_poke,0
overdrive,0
apple_acid,0
grav_apple,0
spirit_break,0
strange_steam,0
life_dew,0
obstruct,0
false_surrender,0
meteor_assault,0
eternabeam,0
steel_beam,0
expanding_force,0
steel_roller,0
scale_shot,0
meteor_beam,0
shell_side_arm,0
misty_explosion,0
grassy_glide,0
rising_voltage,0
terrain_pulse,0
skitter_smack,0
burning_jealousy,0
lash_out,0
poltergeist,0
corrosive_gas,0
coaching,0
flip_turn,0
triple_axel,0
dual_wingbeat,0
scorching_sands,0
jungle_healing,0
wicked_blow,0
surging_strikes,0
thunder_cage,0
dragon_energy,0
freezing_glare,0
fiery_wrath,0
thunderous_kick,0
glacial_lance,0
astral_barrage,0
eerie_spell,0
g_max_wildfire,0
g_max_befuddle,0
g_max_volt_crash,0
g_max_gold_rush,0
g_max_chi_strike,0
g_max_terror,0
g_max_resonance,0
g_max_cuddle,0
g_max_replenish,0
g_max_malodor,0
g_max_stonesurge,0
g_max_wind_rage,0
g_max_stun_shock,0
g_max_finale,0
g_max_depletion,0
g_max_gravitas,0
g_max_volcalith,0
g_max_sandblast,0
g_max_snooze,0
g_max_tartness,0
g_max_sweetness,0
g_max_smite,0
g_max_steelsurge,0
g_max_meltdown,0
g_max_foam_burst,0
g_max_centiferno,0
g_max_vine_lash,0
g_max_cannonade,0
g_max_drum_solo,0
g_max_fireball,0
g_max_hydrosnipe,0
g_max_one_blow,0
g_max_rapid_flow,0
