Move Name,Max Power
brick_break,90
knock_off,120
endeavor,130
eruption,150
dive,130
arm_thrust,70
luster_purge,120
mist_ball,120
blaze_kick,130
hyper_voice,130
poison_fang,75
crush_claw,130
blast_burn,150
hydro_cannon,150
meteor_mash,130
astonish,90
weather_ball,130
air_cutter,110
overheat,140
rock_tomb,110
water_spout,150
shadow_punch,110
extrasensory,130
sand_tomb,90
sheer_cold,130
muddy_water,130
bullet_seed,130
aerial_ace,110
icicle_spear,130
dragon_claw,130
frenzy_plant,150
bounce,130
mud_shot,110
poison_tail,75
covet,110
volt_tackle,140
magical_leaf,110
leaf_blade,130
rock_blast,130
shock_wave,110
water_pulse,110
doom_desire,140
psycho_boost,140
hammer_arm,90
gyro_ball,130
brine,120
feint,90
pluck,110
metal_burst,100
u_turn,120
close_combat,95
payback,100
assurance,110
fling,100
last_resort,140
sucker_punch,120
flare_blitz,140
force_palm,80
aura_sphere,90
poison_jab,90
dark_pulse,130
night_slash,120
aqua_tail,130
seed_bomb,130
air_slash,130
x_scissor,130
bug_buzz,130
dragon_pulse,130
dragon_rush,130
power_gem,130
drain_punch,90
vacuum_wave,70
focus_blast,95
energy_ball,130
brave_bird,140
earth_power,130
giga_impact,150
bullet_punch,90
avalanche,110
ice_shard,90
shadow_claw,120
thunder_fang,120
ice_fang,120
fire_fang,120
shadow_sneak,90
psycho_cut,120
zen_headbutt,130
flash_cannon,130
draco_meteor,140
discharge,130
lava_plume,130
leaf_storm,140
power_whip,140
rock_wrecker,150
cross_poison,85
gunk_shot,95
iron_head,130
stone_edge,130
grass_knot,130
chatter,120
judgment,130
bug_bite,110
charge_beam,100
wood_hammer,140
aqua_jet,90
attack_order,130
head_smash,150
double_hit,120
roar_of_time,150
spacial_rend,130
crush_grip,140
magma_storm,130
seed_flare,140
shadow_force,140
psyshock,130
venoshock,85
smack_down,100
storm_throw,80
sludge_wave,90
heavy_slam,130
electro_ball,130
flame_charge,100
low_sweep,85
acid_spray,70
foul_play,130
round,110
echoed_voice,90
clear_smog,75
stored_power,130
scald,130
hex,120
circle_throw,80
incinerate,110
acrobatics,110
retaliate,120
final_gambit,100
inferno,130
water_pledge,130
fire_pledge,130
grass_pledge,130
volt_switch,120
struggle_bug,100
bulldoze,110
frost_breath,110
dragon_tail,110
electroweb,110
wild_charge,130
drill_run,130
dual_chop,130
horn_leech,130
sacred_sword,90
razor_shell,130
heat_crash,130
leaf_tornado,120
night_daze,130
psystrike,130
tail_slap,130
hurricane,140
head_charge,140
gear_grind,130
searing_shot,130
techno_blast,140
relic_song,130
secret_sword,90
glaciate,120
bolt_strike,140
blue_flare,140
fiery_dance,130
freeze_shock,140
ice_burn,140
snarl,110
icicle_crash,130
v_create,150
fusion_flare,130
fusion_bolt,130
flying_press,90
belch,95
fell_stinger,100
phantom_force,130
parabolic_charge,120
petal_blizzard,130
freeze_dry,120
disarming_voice,90
draining_kiss,100
play_rough,130
fairy_wind,90
moonblast,130
boomburst,140
diamond_storm,130
steam_eruption,140
hyperspace_hole,130
water_shuriken,90
mystical_fire,130
dazzling_gleam,130
nuzzle,90
hold_back,90
infestation,90
power_up_punch,70
oblivion_wing,130
thousand_arrows,130
thousand_waves,130
lands_wrath,130
light_of_ruin,140
origin_pulse,140
precipice_blades,140
dragon_ascent,140
hyperspace_fury,130
first_impression,130
spirit_shackle,130
darkest_lariat,130
sparkling_aria,130
ice_hammer,130
high_horsepower,130
solar_blade,140
leafage,90
throat_chop,130
pollen_puff,130
anchor_shot,130
lunge,130
fire_lash,130
power_trip,130
burn_up,140
smart_strike,120
revelation_dance,130
core_enforcer,130
trop_kick,120
beak_blast,130
clanging_scales,140
dragon_hammer,130
brutal_swing,110
shell_trap,150
fleur_cannon,140
psychic_fangs,130
stomping_tantrum,130
shadow_bone,130
accelerock,90
liquidation,130
prismatic_laser,150
spectral_thief,130
sunsteel_strike,130
moongeist_beam,130
zing_zap,130
natures_madness,100
multi_attack,95
mind_blown,150
plasma_fists,130
photon_geyser,130
double_iron_bash,140
dynamax_cannon,140
snipe_shot,130
jaw_lock,130
dragon_darts,130
bolt_beak,130
fishious_rend,130
body_press,90
drum_beating,130
snap_trap,90
pyro_ball,140
behemoth_blade,130
behemoth_bash,130
aura_wheel,140
breaking_swipe,110
branch_poke,90
overdrive,130
apple_acid,130
grav_apple,130
spirit_break,130
strange_steam,130
false_surrender,130
meteor_assault,100
eternabeam,150
steel_beam,140
expanding_force,130
steel_roller,140
scale_shot,130
meteor_beam,140
shell_side_arm,90
misty_explosion,130
grassy_glide,120
rising_voltage,140
terrain_pulse,130
skitter_smack,120
burning_jealousy,120
lash_out,130
poltergeist,140
flip_turn,110
triple_axel,140
dual_wingbeat,130
scorching_sands,120
wicked_blow,130
surging_strikes,130
thunder_cage,130
dragon_energy,150
freezing_glare,130
fiery_wrath,130
thunderous_kick,90
glacial_lance,140
astral_barrage,140
eerie_spell,130
