Move Name,Requirement 1 Class,Requirement 1 Name,Requirement 2 Class,Requirement 2 Name
stoked_sparksurfer,pokemon,raichu_alola,move,thunderbolt
extreme_evoboost,pokemon,eevee,move,last_resort
pulverizing_pancake,pokemon,snorlax,move,giga_impact
genesis_supernova,pokemon,mew,move,psychic
sinister_arrow_raid,pokemon,decidueye,move,spirit_shackle
malicious_moonsault,pokemon,incineroar,move,darkest_lariat
oceanic_operetta,pokemon,primarina,move,sparkling_aria
splintered_stormshards,pokemon,lycanroc_dusk,move,stone_edge
splintered_stormshards,pokemon,lycanroc_midday,move,stone_edge
splintered_stormshards,pokemon,lycanroc_midnight,move,stone_edge
lets_snuggle_forever,pokemon,mimikyu,move,play_rough
clangorous_soulblaze,pokemon,kommo_o,move,clanging_scales
guardian_of_alola,pokemon,tapu_bulu,move,natures_madness
guardian_of_alola,pokemon,tapu_koko,move,natures_madness
guardian_of_alola,pokemon,tapu_lele,move,natures_madness
guardian_of_alola,pokemon,tapu_fini,move,natures_madness
searing_sunraze_smash,pokemon,solgaleo,move,sunsteel_strike
searing_sunraze_smash,pokemon,necrozma_dusk_mane,move,sunsteel_strike
menacing_moonraze_maelstrom,pokemon,lunala,move,moongeist_beam
menacing_moonraze_maelstrom,pokemon,necrozma_dawn_wings,move,moongeist_beam
light_that_burns_the_sky,pokemon,necrozma_ultra,move,photon_geyser
soul_stealing_7_star_strike,pokemon,marshadow,move,spectral_thief
z_swords_dance,move,swords_dance,,
z_whirlwind,move,whirlwind,,
z_sand_attack,move,sand_attack,,
z_tail_whip,move,tail_whip,,
z_leer,move,leer,,
z_growl,move,growl,,
z_roar,move,roar,,
z_sing,move,sing,,
z_supersonic,move,supersonic,,
z_disable,move,disable,,
z_mist,move,mist,,
z_leech_seed,move,leech_seed,,
z_growth,move,growth,,
z_poison_powder,move,poison_powder,,
z_stun_spore,move,stun_spore,,
z_sleep_powder,move,sleep_powder,,
z_string_shot,move,string_shot,,
z_thunder_wave,move,thunder_wave,,
z_toxic,move,toxic,,
z_hypnosis,move,hypnosis,,
z_meditate,move,meditate,,
z_agility,move,agility,,
z_teleport,move,teleport,,
z_mimic,move,mimic,,
z_screech,move,screech,,
z_double_team,move,double_team,,
z_recover,move,recover,,
z_harden,move,harden,,
z_minimize,move,minimize,,
z_smokescreen,move,smokescreen,,
z_confuse_ray,move,confuse_ray,,
z_withdraw,move,withdraw,,
z_defense_curl,move,defense_curl,,
z_barrier,move,barrier,,
z_light_screen,move,light_screen,,
z_haze,move,haze,,
z_reflect,move,reflect,,
z_focus_energy,move,focus_energy,,
z_metronome,move,metronome,,
z_mirror_move,move,mirror_move,,
z_amnesia,move,amnesia,,
z_kinesis,move,kinesis,,
z_soft_boiled,move,soft_boiled,,
z_glare,move,glare,,
z_poison_gas,move,poison_gas,,
z_lovely_kiss,move,lovely_kiss,,
z_transform,move,transform,,
z_spore,move,spore,,
z_flash,move,flash,,
z_splash,move,splash,,
z_acid_armor,move,acid_armor,,
z_rest,move,rest,,
z_sharpen,move,sharpen,,
z_conversion,move,conversion,,
z_substitute,move,substitute,,
z_sketch,move,sketch,,
z_spider_web,move,spider_web,,
z_mind_reader,move,mind_reader,,
z_nightmare,move,nightmare,,
z_curse,move,curse,,
z_conversion_2,move,conversion_2,,
z_cotton_spore,move,cotton_spore,,
z_spite,move,spite,,
z_protect,move,protect,,
z_scary_face,move,scary_face,,
z_sweet_kiss,move,sweet_kiss,,
z_belly_drum,move,belly_drum,,
z_spikes,move,spikes,,
z_foresight,move,foresight,,
z_destiny_bond,move,destiny_bond,,
z_perish_song,move,perish_song,,
z_detect,move,detect,,
z_lock_on,move,lock_on,,
z_sandstorm,move,sandstorm,,
z_endure,move,endure,,
z_charm,move,charm,,
z_swagger,move,swagger,,
z_milk_drink,move,milk_drink,,
z_mean_look,move,mean_look,,
z_attract,move,attract,,
z_sleep_talk,move,sleep_talk,,
z_heal_bell,move,heal_bell,,
z_safeguard,move,safeguard,,
z_pain_split,move,pain_split,,
z_baton_pass,move,baton_pass,,
z_encore,move,encore,,
z_sweet_scent,move,sweet_scent,,
z_morning_sun,move,morning_sun,,
z_synthesis,move,synthesis,,
z_moonlight,move,moonlight,,
z_rain_dance,move,rain_dance,,
z_sunny_day,move,sunny_day,,
z_psych_up,move,psych_up,,
z_stockpile,move,stockpile,,
z_swallow,move,swallow,,
z_hail,move,hail,,
z_torment,move,torment,,
z_flatter,move,flatter,,
z_will_o_wisp,move,will_o_wisp,,
z_memento,move,memento,,
z_follow_me,move,follow_me,,
z_nature_power,move,nature_power,,
z_charge,move,charge,,
z_taunt,move,taunt,,
z_helping_hand,move,helping_hand,,
z_trick,move,trick,,
z_role_play,move,role_play,,
z_wish,move,wish,,
z_assist,move,assist,,
z_ingrain,move,ingrain,,
z_magic_coat,move,magic_coat,,
z_recycle,move,recycle,,
z_yawn,move,yawn,,
z_skill_swap,move,skill_swap,,
z_imprison,move,imprison,,
z_refresh,move,refresh,,
z_grudge,move,grudge,,
z_snatch,move,snatch,,
z_camouflage,move,camouflage,,
z_tail_glow,move,tail_glow,,
z_feather_dance,move,feather_dance,,
z_teeter_dance,move,teeter_dance,,
z_mud_sport,move,mud_sport,,
z_slack_off,move,slack_off,,
z_aromatherapy,move,aromatherapy,,
z_fake_tears,move,fake_tears,,
z_odor_sleuth,move,odor_sleuth,,
z_metal_sound,move,metal_sound,,
z_grass_whistle,move,grass_whistle,,
z_tickle,move,tickle,,
z_cosmic_power,move,cosmic_power,,
z_iron_defense,move,iron_defense,,
z_block,move,block,,
z_howl,move,howl,,
z_bulk_up,move,bulk_up,,
z_water_sport,move,water_sport,,
z_calm_mind,move,calm_mind,,
z_dragon_dance,move,dragon_dance,,
z_roost,move,roost,,
z_gravity,move,gravity,,
z_miracle_eye,move,miracle_eye,,
z_healing_wish,move,healing_wish,,
z_tailwind,move,tailwind,,
z_acupressure,move,acupressure,,
z_embargo,move,embargo,,
z_psycho_shift,move,psycho_shift,,
z_heal_block,move,heal_block,,
z_power_trick,move,power_trick,,
z_gastro_acid,move,gastro_acid,,
z_lucky_chant,move,lucky_chant,,
z_me_first,move,me_first,,
z_copycat,move,copycat,,
z_power_swap,move,power_swap,,
z_guard_swap,move,guard_swap,,
z_worry_seed,move,worry_seed,,
z_toxic_spikes,move,toxic_spikes,,
z_heart_swap,move,heart_swap,,
z_aqua_ring,move,aqua_ring,,
z_magnet_rise,move,magnet_rise,,
z_rock_polish,move,rock_polish,,
z_switcheroo,move,switcheroo,,
z_nasty_plot,move,nasty_plot,,
z_defog,move,defog,,
z_trick_room,move,trick_room,,
z_captivate,move,captivate,,
z_stealth_rock,move,stealth_rock,,
z_defend_order,move,defend_order,,
z_heal_order,move,heal_order,,
z_lunar_dance,move,lunar_dance,,
z_dark_void,move,dark_void,,
z_hone_claws,move,hone_claws,,
z_wide_guard,move,wide_guard,,
z_guard_split,move,guard_split,,
z_power_split,move,power_split,,
z_wonder_room,move,wonder_room,,
z_autotomize,move,autotomize,,
z_rage_powder,move,rage_powder,,
z_telekinesis,move,telekinesis,,
z_magic_room,move,magic_room,,
z_quiver_dance,move,quiver_dance,,
z_soak,move,soak,,
z_coil,move,coil,,
z_simple_beam,move,simple_beam,,
z_entrainment,move,entrainment,,
z_after_you,move,after_you,,
z_quick_guard,move,quick_guard,,
z_ally_switch,move,ally_switch,,
z_shell_smash,move,shell_smash,,
z_heal_pulse,move,heal_pulse,,
z_shift_gear,move,shift_gear,,
z_quash,move,quash,,
z_reflect_type,move,reflect_type,,
z_bestow,move,bestow,,
z_work_up,move,work_up,,
z_cotton_guard,move,cotton_guard,,
z_mat_block,move,mat_block,,
z_rototiller,move,rototiller,,
z_sticky_web,move,sticky_web,,
z_trick_or_treat,move,trick_or_treat,,
z_noble_roar,move,noble_roar,,
z_ion_deluge,move,ion_deluge,,
z_forests_curse,move,forests_curse,,
z_parting_shot,move,parting_shot,,
z_topsy_turvy,move,topsy_turvy,,
z_crafty_shield,move,crafty_shield,,
z_flower_shield,move,flower_shield,,
z_grassy_terrain,move,grassy_terrain,,
z_misty_terrain,move,misty_terrain,,
z_electrify,move,electrify,,
z_fairy_lock,move,fairy_lock,,
z_kings_shield,move,kings_shield,,
z_play_nice,move,play_nice,,
z_confide,move,confide,,
z_spiky_shield,move,spiky_shield,,
z_aromatic_mist,move,aromatic_mist,,
z_eerie_impulse,move,eerie_impulse,,
z_venom_drench,move,venom_drench,,
z_powder,move,powder,,
z_geomancy,move,geomancy,,
z_magnetic_flux,move,magnetic_flux,,
z_happy_hour,move,happy_hour,,
z_electric_terrain,move,electric_terrain,,
z_celebrate,move,celebrate,,
z_hold_hands,move,hold_hands,,
z_baby_doll_eyes,move,baby_doll_eyes,,
z_shore_up,move,shore_up,,
z_baneful_bunker,move,baneful_bunker,,
z_floral_healing,move,floral_healing,,
z_strength_sap,move,strength_sap,,
z_spotlight,move,spotlight,,
z_toxic_thread,move,toxic_thread,,
z_laser_focus,move,laser_focus,,
z_gear_up,move,gear_up,,
z_psychic_terrain,move,psychic_terrain,,
z_speed_swap,move,speed_swap,,
z_purify,move,purify,,
z_instruct,move,instruct,,
z_aurora_veil,move,aurora_veil,,
z_tearful_look,move,tearful_look,,
behemoth_bash,move,iron_head,,
behemoth_bash,item,rusted_shield,,
behemoth_bash,pokemon,zamazenta,,
behemoth_blade,move,iron_head,,
behemoth_blade,item,rusted_sword,,
behemoth_blade,pokemon,zacian,,
