Family Name,Pokemon 1 Name,1 to 2 Method,Pokemon 2 Name,2 to 3 Method,Pokemon 3 Name
onix,onix,Trade holding Metal Coat,steelix,,
drowzee,drowzee,Level 26,hypno,,
krabby,krabby,Level 28,kingler,,
voltorb,voltorb,Level 30,electrode,,
exeggcute,exeggcute,Leaf Stone,exeggutor,,
exeggcute,exeggcute,Leaf Stone (Alola),exeggutor_alola,,
cubone,cubone,Level 28,marowak,,
cubone,cubone,"Level 28 (Alola, night)",marowak_alola,,
hitmon,tyrogue,Level 20 (Attack > Defense),hitmonlee,,
hitmon,tyrogue,Level 20 (Attack < Defense),hitmonchan,,
hitmon,tyrogue,Level 20 (Attack = Defense),hitmontop,,
lickitung,lickitung,Level up knowing Rollout,lickilicky,,
koffing,koffing,Level 35,weezing,,
koffing,koffing,Level 35 (Galar),weezing_galar,,
rhyhorn,rhyhorn,Level 42,rhydon,Trade holding Protector,rhyperior
chansey,happiny,Level up holding Oval Stone (day),chansey,Friendship,blissey
tangela,tangela,Level up knowing Ancient Power,tangrowth,,
kangaskhan,kangaskhan,,,,
horsea,horsea,Level 32,seadra,Trade holding Dragon Scale,kingdra
goldeen,goldeen,Level 33,seaking,,
staryu,staryu,Water Stone,starmie,,
mr_mime,mime_jr,Level up knowing Mimic,mr_mime,,
mr_mime,mime_jr,Level up knowing Mimic (Galar),mr_mime_galar,Level 42,mr_rime
scyther,scyther,Trade holding Metal Coat,scizor,,
jynx,smoochum,Level 30,jynx,,
electabuzz,elekid,Level 30,electabuzz,Trade holding Electirizer,electivire
magmar,magby,Level 30,magmar,Trade holding Magmarizer,magmortar
pinsir,pinsir,,,,
tauros,tauros,,,,
magikarp,magikarp,Level 20,gyarados,,
lapras,lapras,,,,
ditto,ditto,,,,
eeveelution,eevee,Water Stone,vaporeon,,
eeveelution,eevee,Thunder Stone,jolteon,,
eeveelution,eevee,Fire Stone,flareon,,
eeveelution,eevee,Friendship (day) Level up with Sun Shard (XD),espeon,,
eeveelution,eevee,Friendship (night) Level up with Moon Shard (XD),umbreon,,
eeveelution,eevee,Level up near Moss Rock Leaf Stone (Sw/Sh),leafeon,,
eeveelution,eevee,Level up near Ice Rock Ice Stone (Sw/Sh),glaceon,,
eeveelution,eevee,Level up with a Fairy-type move and either two hearts of Affection or high friendship (Sw/Sh),sylveon,,
porygon,porygon,Trade holding Up-Grade,porygon2,Trade holding Dubious Disc,porygon_z
omanyte,omanyte,Level 40,omastar,,
kabuto,kabuto,Level 40,kabutops,,
aerodactyl,aerodactyl,,,,
snorlax,munchlax,Friendship,snorlax,,
articuno,articuno,,,,
articuno,articuno_galar,,,,
zapdos,zapdos,,,,
zapdos,zapdos_galar,,,,
moltres,moltres,,,,
moltres,moltres_galar,,,,
dratini,dratini,Level 30,dragonair,Level 55,dragonite
mewtwo,mewtwo,,,,
mew,mew,,,,
chikorita,chikorita,Level 16,bayleef,Level 32,meganium
cyndaquil,cyndaquil,Level 14,quilava,Level 36,typhlosion
totodile,totodile,Level 18,croconaw,Level 30,feraligatr
sentret,sentret,Level 15,furret,,
hoothoot,hoothoot,Level 20,noctowl,,
ledyba,ledyba,Level 18,ledian,,
spinarak,spinarak,Level 22,ariados,,
chinchou,chinchou,Level 27,lanturn,,
togepi,togepi,Friendship,togetic,Shiny Stone,togekiss
natu,natu,Level 25,xatu,,
mareep,mareep,Level 15,flaaffy,Level 30,ampharos
marill,azurill,Friendship,marill,Level 18,azumarill
sudowoodo,bonsly,Level up knowing Mimic,sudowoodo,,
hoppip,hoppip,Level 18,skiploom,Level 27,jumpluff
aipom,aipom,Level up knowing Double Hit,ambipom,,
sunkern,sunkern,Sun Stone,sunflora,,
yanma,yanma,Level up knowing Ancient Power,yanmega,,
wooper,wooper,Level 20,quagsire,,
murkrow,murkrow,Dusk Stone,honchkrow,,
misdreavus,misdreavus,Dusk Stone,mismagius,,
wobbuffet,wynaut,Level 15,wobbuffet,,
girafarig,girafarig,,,,
pineco,pineco,Level 31,forretress,,
dunsparce,dunsparce,,,,
gligar,gligar,Level up holding Razor Fang at night,gliscor,,
snubbull,snubbull,Level 23,granbull,,
qwilfish,qwilfish,,,,
shuckle,shuckle,,,,
heracross,heracross,,,,
sneasel,sneasel,Level up holding Razor Claw at night,weavile,,
teddiursa,teddiursa,Level 30,ursaring,,
slugma,slugma,Level 38,magcargo,,
swinub,swinub,Level 33,piloswine,Level up knowing Ancient Power,mamoswine
corsola,corsola,,,,
corsola,corsola_galar,Level 38,cursola,,
remoraid,remoraid,Level 25,octillery,,
delibird,delibird,,,,
mantine,mantyke,Level up with Remoraid in party,mantine,,
skarmory,skarmory,,,,
houndour,houndour,Level 24,houndoom,,
phanpy,phanpy,Level 25,donphan,,
stantler,stantler,,,,
smeargle,smeargle,,,,
miltank,miltank,,,,
raikou,raikou,,,,
entei,entei,,,,
suicune,suicune,,,,
larvitar,larvitar,Level 30,pupitar,Level 55,tyranitar
lugia,lugia,,,,
ho_oh,ho_oh,,,,
celebi,celebi,,,,
treecko,treecko,Level 16,grovyle,Level 36,sceptile
torchic,torchic,Level 16,combusken,Level 36,blaziken
mudkip,mudkip,Level 16,marshtomp,Level 36,swampert
poochyena,poochyena,Level 18,mightyena,,
zigzagoon,zigzagoon,Level 20,linoone,,
zigzagoon,zigzagoon_galar,Level 20,linoone_galar,Level 35 (night),obstagoon
wurmple,wurmple,Level 7,silcoon,Level 10,beautifly
wurmple,wurmple,Level 7,cascoon,Level 10,dustox
lotad,lotad,Level 14,lombre,Water Stone,ludicolo
seedot,seedot,Level 14,nuzleaf,Leaf Stone,shiftry
taillow,taillow,Level 22,swellow,,
wingull,wingull,Level 25,pelipper,,
ralts,ralts,Level 20,kirlia,Level 30,gardevoir
ralts,ralts,Level 20,kirlia,Dawn Stone (male),gallade
surskit,surskit,Level 22,masquerain,,
shroomish,shroomish,Level 23,breloom,,
slakoth,slakoth,Level 18,vigoroth,Level 36,slaking
nincada,nincada,Level 20,ninjask,,
nincada,nincada,Free space Additional Poké Ball,shedinja,,
whismur,whismur,Level 20,loudred,Level 40,exploud
makuhita,makuhita,Level 24,hariyama,,
nosepass,nosepass,Level up in a special magnetic field,probopass,,
skitty,skitty,Moon Stone,delcatty,,
sableye,sableye,,,,
mawile,mawile,,,,
aron,aron,Level 32,lairon,Level 42,aggron
meditite,meditite,Level 37,medicham,,
electrike,electrike,Level 26,manectric,,
plusle,plusle,,,,
minun,minun,,,,
volbeat_and_illumise,volbeat,,,,
volbeat_and_illumise,illumise,,,,
roselia,budew,Friendship (day),roselia,Shiny Stone,roserade
gulpin,gulpin,Level 26,swalot,,
carvanha,carvanha,Level 30,sharpedo,,
wailmer,wailmer,Level 40,wailord,,
numel,numel,Level 33,camerupt,,
torkoal,torkoal,,,,
spoink,spoink,Level 32,grumpig,,
spinda,spinda,,,,
trapinch,trapinch,Level 35,vibrava,Level 45,flygon
cacnea,cacnea,Level 32,cacturne,,
swablu,swablu,Level 35,altaria,,
zangoose,zangoose,,,,
seviper,seviper,,,,
lunatone,lunatone,,,,
solrock,solrock,,,,
barboach,barboach,Level 30,whiscash,,
corphish,corphish,Level 30,crawdaunt,,
baltoy,baltoy,Level 36,claydol,,
lileep,lileep,Level 40,cradily,,
anorith,anorith,Level 40,armaldo,,
feebas,feebas,Level up with maximum Beauty Trade holding Prism Scale,milotic,,
castform,castform,,,,
kecleon,kecleon,,,,
shuppet,shuppet,Level 37,banette,,
duskull,duskull,Level 37,dusclops,Trade holding Reaper Cloth,dusknoir
tropius,tropius,,,,
chimecho,chingling,Friendship (night),chimecho,,
absol,absol,,,,
snorunt,snorunt,Level 42,glalie,,
snorunt,snorunt,Dawn Stone (female),froslass,,
spheal,spheal,Level 32,sealeo,Level 44,walrein
clamperl,clamperl,Trade holding Deep Sea Tooth,huntail,,
clamperl,clamperl,Trade holding Deep Sea Scale,gorebyss,,
relicanth,relicanth,,,,
luvdisc,luvdisc,,,,
bagon,bagon,Level 30,shelgon,Level 50,salamence
beldum,beldum,Level 20,metang,Level 45,metagross
regirock,regirock,,,,
regice,regice,,,,
registeel,registeel,,,,
latias,latias,,,,
latios,latios,,,,
kyogre,kyogre,,,,
groudon,groudon,,,,
rayquaza,rayquaza,,,,
jirachi,jirachi,,,,
deoxys,deoxys_normal,,,,
deoxys,deoxys_attack,,,,
deoxys,deoxys_defense,,,,
deoxys,deoxys_speed,,,,
turtwig,turtwig,Level 18,grotle,Level 32,torterra
chimchar,chimchar,Level 14,monferno,Level 36,infernape
piplup,piplup,Level 16,prinplup,Level 36,empoleon
starly,starly,Level 14,staravia,Level 34,staraptor
bidoof,bidoof,Level 15,bibarel,,
kricketot,kricketot,Level 10,kricketune,,
shinx,shinx,Level 15,luxio,Level 30,luxray
cranidos,cranidos,Level 30,rampardos,,
shieldon,shieldon,Level 30,bastiodon,,
burmy,burmy_plant,"Level 20 (female, Plant Cloak)",wormadam_plant,,
burmy,burmy_sandy,"Level 20 (female, Sandy Cloak)",wormadam_sandy,,
burmy,burmy_trash,"Level 20 (female, Trash Cloak)",wormadam_trash,,
burmy,burmy_plant,Level 20 (male),mothim,,
burmy,burmy_sandy,Level 20 (male),mothim,,
burmy,burmy_trash,Level 20 (male),mothim,,
combee,combee,Level 21 (female),vespiquen,,
pachirisu,pachirisu,,,,
buizel,buizel,Level 26,floatzel,,
cherubi,cherubi,Level 25,cherrim_overcast,,
cherubi,cherubi,Level 25,cherrim_sunshine,,
shellos,shellos_west_sea,Level 30,gastrodon_west_sea,,
shellos,shellos_east_sea,Level 30,gastrodon_east_sea,,
drifloon,drifloon,Level 28,drifblim,,
buneary,buneary,Friendship,lopunny,,
glameow,glameow,Level 38,purugly,,
stunky,stunky,Level 34,skuntank,,
bronzor,bronzor,Level 33,bronzong,,
chatot,chatot,,,,
spiritomb,spiritomb,,,,
gible,gible,Level 24,gabite,Level 48,garchomp
riolu,riolu,Friendship (day),lucario,,
hippopotas,hippopotas,Level 34,hippowdon,,
skorupi,skorupi,Level 40,drapion,,
croagunk,croagunk,Level 37,toxicroak,,
carnivine,carnivine,,,,
finneon,finneon,Level 31,lumineon,,
snover,snover,Level 40,abomasnow,,
roto,rotom_normal,,,,
roto,rotom_heat,,,,
roto,rotom_wash,,,,
roto,rotom_frost,,,,
roto,rotom_fan,,,,
roto,rotom_mow,,,,
uxie,uxie,,,,
mesprit,mesprit,,,,
azelf,azelf,,,,
dialga,dialga,,,,
palkia,palkia,,,,
heatran,heatran,,,,
regigigas,regigigas,,,,
giratin,giratina_altered,,,,
giratin,giratina_origin,,,,
cresselia,cresselia,,,,
manaphy,phione,,,,
manaphy,manaphy,,,,
darkrai,darkrai,,,,
shaymin,shaymin_land,,,,
shaymin,shaymin_sky,,,,
arceus,arceus,,,,
victini,victini,,,,
snivy,snivy,Level 17,servine,Level 36,serperior
tepig,tepig,Level 17,pignite,Level 36,emboar
oshawott,oshawott,Level 17,dewott,Level 36,samurott
patrat,patrat,Level 20,watchog,,
lillipup,lillipup,Level 16,herdier,Level 32,stoutland
purrloin,purrloin,Level 20,liepard,,
pansage,pansage,Leaf Stone,simisage,,
pansear,pansear,Fire Stone,simisear,,
panpour,panpour,Water Stone,simipour,,
munna,munna,Moon Stone,musharna,,
pidove,pidove,Level 21,tranquill,Level 32,unfezant
blitzle,blitzle,Level 27,zebstrika,,
roggenrola,roggenrola,Level 25,boldore,Trade,gigalith
woobat,woobat,Friendship,swoobat,,
drilbur,drilbur,Level 31,excadrill,,
audino,audino,,,,
timburr,timburr,Level 25,gurdurr,Trade,conkeldurr
tympole,tympole,Level 25,palpitoad,Level 36,seismitoad
throh,throh,,,,
sawk,sawk,,,,
sewaddle,sewaddle,Level 20,swadloon,Friendship,leavanny
venipede,venipede,Level 22,whirlipede,Level 30,scolipede
cottonee,cottonee,Sun Stone,whimsicott,,
petilil,petilil,Sun Stone,lilligant,,
basculin,basculin_red_stripe,,,,
basculin,basculin_blue_stripe,,,,
sandile,sandile,Level 29,krokorok,Level 40,krookodile
darumaka,darumaka,Level 35,darmanitan_standard,,
darumaka,darumaka_galar,Ice Stone,darmanitan_standard_galar,,
maractus,maractus,,,,
dwebble,dwebble,Level 34,crustle,,
scraggy,scraggy,Level 39,scrafty,,
sigilyph,sigilyph,,,,
yamask,yamask,Level 34,cofagrigus,,
yamask,yamask_galar,Under the stone bridge in Dusty Bowl after Yamask takes at least 49 HP in damage in one attack without fainting.,runerigus,,
tirtouga,tirtouga,Level 37,carracosta,,
archen,archen,Level 37,archeops,,
trubbish,trubbish,Level 36,garbodor,,
zorua,zorua,Level 30,zoroark,,
minccino,minccino,Shiny Stone,cinccino,,
gothita,gothita,Level 32,gothorita,Level 41,gothitelle
solosis,solosis,Level 32,duosion,Level 41,reuniclus
ducklett,ducklett,Level 35,swanna,,
vanillite,vanillite,Level 35,vanillish,Level 47,vanilluxe
deerling,deerling_spring,Level 34,sawsbuck_spring,,
deerling,deerling_summer,Level 34,sawsbuck_summer,,
deerling,deerling_autumn,Level 34,sawsbuck_autumn,,
deerling,deerling_winter,Level 34,sawsbuck_winter,,
emolga,emolga,,,,
karrablast,karrablast,Trade for Shelmet,escavalier,,
foongus,foongus,Level 39,amoonguss,,
frillish,frillish,Level 40,jellicent,,
alomomola,alomomola,,,,
joltik,joltik,Level 36,galvantula,,
ferroseed,ferroseed,Level 40,ferrothorn,,
klink,klink,Level 38,klang,Level 49,klinklang
tynamo,tynamo,Level 39,eelektrik,Thunder Stone,eelektross
elgyem,elgyem,Level 42,beheeyem,,
litwick,litwick,Level 41,lampent,Dusk Stone,chandelure
axew,axew,Level 38,fraxure,Level 48,haxorus
cubchoo,cubchoo,Level 37,beartic,,
cryogonal,cryogonal,,,,
shelmet,shelmet,Trade for Karrablast,accelgor,,
stunfisk,stunfisk,,,,
stunfisk,stunfisk_galar,,,,
mienfoo,mienfoo,Level 50,mienshao,,
druddigon,druddigon,,,,
golett,golett,Level 43,golurk,,
pawniard,pawniard,Level 52,bisharp,,
bouffalant,bouffalant,,,,
rufflet,rufflet,Level 54,braviary,,
vullaby,vullaby,Level 54,mandibuzz,,
heatmor,heatmor,,,,
durant,durant,,,,
deino,deino,Level 50,zweilous,Level 64,hydreigon
larvesta,larvesta,Level 59,volcarona,,
cobalion,cobalion,,,,
terrakion,terrakion,,,,
virizion,virizion,,,,
tornadus,tornadus_incarnate,,,,
tornadus,tornadus_therian,,,,
thundurus,thundurus_incarnate,,,,
thundurus,thundurus_therian,,,,
reshiram,reshiram,,,,
zekrom,zekrom,,,,
landorus,landorus_incarnate,,,,
landorus,landorus_therian,,,,
kyurem,kyurem,,,,
kyurem,kyurem_black,,,,
kyurem,kyurem_white,,,,
keldeo,keldeo_ordinary,,,,
keldeo,keldeo_resolute,,,,
meloetta,meloetta_aria,,,,
meloetta,meloetta_pirouette,,,,
genesect,genesect,,,,
chespin,chespin,Level 16,quilladin,Level 36,chesnaught
fennekin,fennekin,Level 16,braixen,Level 36,delphox
froakie,froakie,Level 16,frogadier,Level 36,greninja
battle_bond_greninja,greninja_battle_bond,,,,
battle_bond_greninja,greninja_ash,,,,
bunnelby,bunnelby,Level 20,diggersby,,
fletchling,fletchling,Level 17,fletchinder,Level 35,talonflame
scatterbug,scatterbug,Level 9,spewpa,Level 12,vivillon
litleo,litleo,Level 35,pyroar,,
flabebe,flabebe,Level 19,floette,Shiny Stone,florges
skiddo,skiddo,Level 32,gogoat,,
pancham,pancham,Level 32 with Dark-type in party,pangoro,,
furfrou,furfrou,,,,
espurr,espurr,Level 25,meowstic_m,,
espurr,espurr,Level 25,meowstic_f,,
honedge,honedge,Level 35,doublade,Dusk Stone,aegislash_blade
honedge,honedge,Level 35,doublade,Dusk Stone,aegislash_shield
spritzee,spritzee,Trade holding Sachet,aromatisse,,
swirlix,swirlix,Trade holding Whipped Dream,slurpuff,,
inkay,inkay,Level 30 with game system held upside down,malamar,,
binacle,binacle,Level 39,barbaracle,,
skrelp,skrelp,Level 48,dragalge,,
clauncher,clauncher,Level 37,clawitzer,,
helioptile,helioptile,Sun Stone,heliolisk,,
tyrunt,tyrunt,Level 39 (day),tyrantrum,,
amaura,amaura,Level 39 (night),aurorus,,
hawlucha,hawlucha,,,,
dedenne,dedenne,,,,
carbink,carbink,,,,
goomy,goomy,Level 40,sliggoo,Level 50 in rain or fog,goodra
klefki,klefki,,,,
phantump,phantump,Trade,trevenant,,
pumpkaboo,pumpkaboo_small,Trade,gourgeist_small,,
pumpkaboo,pumpkaboo_average,Trade,gourgeist_average,,
pumpkaboo,pumpkaboo_large,Trade,gourgeist_large,,
pumpkaboo,pumpkaboo_super,Trade,gourgeist_super,,
bergmite,bergmite,Level 37,avalugg,,
noibat,noibat,Level 48,noivern,,
xerneas,xerneas_active_mode,,,,
xerneas,xerneas_neutral_mode,,,,
yveltal,yveltal,,,,
zygarde,zygarde_50,,,,
zygarde,zygarde_10,,,,
zygarde,zygarde_complete,,,,
diancie,diancie,,,,
hoopa,hoopa_confined,,,,
hoopa,hoopa_unbound,,,,
volcanion,volcanion,,,,
rowlet,rowlet,Level 17,dartrix,Level 34,decidueye
litten,litten,Level 17,torracat,Level 34,incineroar
popplio,popplio,Level 17,brionne,Level 34,primarina
pikipek,pikipek,Level 14,trumbeak,Level 28,toucannon
yungoos,yungoos,Level 20 (day),gumshoos,,
grubbin,grubbin,Level 20,charjabug,Level up in a special magnetic field Thunder Stone (Sw/Sh),vikavolt
crabrawler,crabrawler,Level up at Mount Lanakila,crabominable,,
oricorio,oricorio_baile,,,,
oricorio,oricorio_pom_pom,,,,
oricorio,oricorio_pau,,,,
oricorio,oricorio_sensu,,,,
cutiefly,cutiefly,Level 25,ribombee,,
rockruff,rockruff,Level 25 (Pokémon Sun and Ultra Sun; day),lycanroc_midday,,
rockruff,rockruff,Level 25 (Pokémon Moon and Ultra Moon; night),lycanroc_midnight,,
rockruff,rockruff,Level 25 (between 5:00 and 5:59 PM) and Own Tempo,lycanroc_dusk,,
wishiwashi,wishiwashi_solo,,,,
wishiwashi,wishiwashi_schooling,,,,
mareanie,mareanie,Level 38,toxapex,,
mudbray,mudbray,Level 30,mudsdale,,
dewpider,dewpider,Level 22,araquanid,,
fomantis,fomantis,Level 34 (day),lurantis,,
morelull,morelull,Level 24,shiinotic,,
salandit,salandit,Level 33 (female),salazzle,,
stufful,stufful,Level 27,bewear,,
bounsweet,bounsweet,Level 18,steenee,Level up knowing Stomp,tsareena
comfey,comfey,,,,
oranguru,oranguru,,,,
passimian,passimian,,,,
wimpod,wimpod,Level 30,golisopod,,
sandygast,sandygast,Level 42,palossand,,
pyukumuku,pyukumuku,,,,
type_null,type_null,Friendship,silvally,,
minior,minior_meteor,,,,
minior,minior_core,,,,
komala,komala,,,,
turtonator,turtonator,,,,
togedemaru,togedemaru,,,,
mimikyu,mimikyu_disguised,,,,
mimikyu,mimikyu_busted,,,,
bruxish,bruxish,,,,
drampa,drampa,,,,
dhelmise,dhelmise,,,,
jangmo_o,jangmo_o,Level 35,hakamo_o,Level 45,kommo_o
tapu_koko,tapu_koko,,,,
tapu_lele,tapu_lele,,,,
tapu_bulu,tapu_bulu,,,,
tapu_fini,tapu_fini,,,,
cosmog,cosmog,Level 43,cosmoem,"Level 53 (Pokémon Sun, Ultra Sun, and Sword)",solgaleo
cosmog,cosmog,Level 43,cosmoem,"Level 53 (Pokémon Moon, Ultra Moon, and Shield)",lunala
nihilego,nihilego,,,,
buzzwole,buzzwole,,,,
pheromosa,pheromosa,,,,
xurkitree,xurkitree,,,,
celesteela,celesteela,,,,
kartana,kartana,,,,
guzzlord,guzzlord,,,,
necrozma,necrozma,,,,
necrozma,necrozma_dusk_mane,,,,
necrozma,necrozma_dawn_wings,,,,
necrozma,necrozma_ultra,,,,
magearna,magearna,,,,
magearna,magearna_original_color,,,,
marshadow,marshadow,,,,
poipole,poipole,Level up knowing Dragon Pulse,naganadel,,
stakataka,stakataka,,,,
blacephalon,blacephalon,,,,
zeraora,zeraora,,,,
grookey,grookey,Level 16,thwackey,Level 35,rillaboom
scorbunny,scorbunny,Level 16,raboot,Level 35,cinderace
sobble,sobble,Level 16,drizzile,Level 35,inteleon
skwovet,skwovet,Level 24,greedent,,
rookidee,rookidee,Level 18,corvisquire,Level 38,corviknight
blipbug,blipbug,Level 10,dottler,Level 30,orbeetle
nickit,nickit,Level 18,thievul,,
gossifleur,gossifleur,Level 20,eldegoss,,
wooloo,wooloo,Level 24,dubwool,,
chewtle,chewtle,Level 22,drednaw,,
yamper,yamper,Level 25,boltund,,
rolycoly,rolycoly,Level 18,carkol,Level 34,coalossal
applin,applin,Tart Apple,flapple,,
applin,applin,Sweet Apple,appletun,,
silicobra,silicobra,Level 36,sandaconda,,
cramorant,cramorant,,,,
arrokuda,arrokuda,Level 26,barraskewda,,
toxel,toxel,Level 30,toxtricity_amped,,
toxel,toxel,Level 30,toxtricity_low_key,,
sizzlipede,sizzlipede,Level 28,centiskorch,,
clobbopus,clobbopus,Level up knowing  Taunt,grapploct,,
sinistea,sinistea,Chipped Pot or Cracked Pot,polteageist,,
hatenna,hatenna,Level 32,hattrem,Level 42,hatterene
impidimp,impidimp,Level 32,morgrem,Level 42,grimmsnarl
milcery,milcery,Sweet when its Trainer spins and strikes a pose,alcremie,,
falinks,falinks,,,,
pincurchin,pincurchin,,,,
snom,snom,Friendship (night),frosmoth,,
stonjourner,stonjourner,,,,
eiscue,eiscue,,,,
indeedee,indeedee,,,,
morpeko,morpeko_full_belly,,,,
morpeko,morpeko_hangry,,,,
cufant,cufant,Level 34,copperajah,,
dracozolt,dracozolt,,,,
arctozolt,arctozolt,,,,
dracovish,dracovish,,,,
arctovish,arctovish,,,,
duraludon,duraludon,,,,
dreepy,dreepy,Level 50,drakloak,Level 60,dragapult
zacian,zacian,,,,
zacian,zacian_crowned,,,,
zamazenta,zamazenta,,,,
zamazenta,zamazenta_crowned,,,,
eternatus,eternatus,,,,
kubfu,kubfu,Train in  The Tower of Darkness ,urshifu,,
kubfu,kubfu,Train in  The Tower of Waters ,urshifu_rapid_strike,,
zarude,zarude,,,,
zarude,zarude_dada,,,,
regieleki,regieleki,,,,
regidrago,regidrago,,,,
glastrier,glastrier,,,,
spectrier,spectrier,,,,
calyrex,calyrex,,,,
calyrex,calyrex_ice,,,,
calyrex,calyrex_shadow,,,,
unown,unown,,,,
meltan,meltan,400 Meltan Candy in Pokemon GO,melmetal,,
