Move Name,Gen,Stat Name,Modifier,Sign,Recipient
shell_smash,5,defense,1,-,user
superpower,3,defense,1,-,user
v_create,5,defense,1,-,user
draco_meteor,4,special_attack,2,-,user
fleur_cannon,7,special_attack,2,-,user
leaf_storm,4,special_attack,2,-,user
overheat,3,special_attack,2,-,user
psycho_boost,3,special_attack,2,-,user
close_combat,4,special_defense,1,-,user
dragon_ascent,6,special_defense,1,-,user
shell_smash,5,special_defense,1,-,user
v_create,5,special_defense,1,-,user
curse,2,speed,1,-,user
hammer_arm,4,speed,1,-,user
ice_hammer,7,speed,1,-,user
v_create,5,speed,1,-,user
acupressure,4,accuracy,2,+,target
acupressure,4,attack,2,+,target
coaching,8,attack,1,+,target
decorate,8,attack,2,+,target
gear_up,7,attack,1,+,target
rototiller,6,attack,1,+,target
swagger,2,attack,2,+,target
acupressure,4,defense,2,+,target
coaching,8,defense,1,+,target
flower_shield,6,defense,1,+,target
magnetic_flux,6,defense,1,+,target
acupressure,4,evasion,2,+,target
acupressure,4,special_attack,2,+,target
decorate,8,special_attack,2,+,target
flatter,3,special_attack,1,+,target
gear_up,7,special_attack,1,+,target
rototiller,6,special_attack,1,+,target
acupressure,4,special_defense,2,+,target
aromatic_mist,6,special_defense,1,+,target
magnetic_flux,6,special_defense,1,+,target
acupressure,4,speed,2,+,target
acupressure,4,accuracy,2,+,user
coil,5,accuracy,1,+,user
hone_claws,5,accuracy,1,+,user
acupressure,4,attack,2,+,user
ancient_power,2,attack,1,+,user
belly_drum,2,attack,max,+,user
bulk_up,3,attack,1,+,user
clangorous_soul,8,attack,1,+,user
clangorous_soulblaze,7,attack,1,+,user
coil,5,attack,1,+,user
curse,2,attack,1,+,user
dragon_dance,3,attack,1,+,user
extreme_evoboost,7,attack,2,+,user
fell_stinger,6,attack,2,+,user
growth,2,attack,1,+,user
hone_claws,5,attack,1,+,user
howl,3,attack,1,+,user
max_knuckle,8,attack,1,+,user
max_wyrmwind,8,attack,1,+,user
meditate,1,attack,1,+,user
metal_claw,2,attack,1,+,user
meteor_mash,3,attack,1,+,user
no_retreat,8,attack,1,+,user
ominous_wind,4,attack,1,+,user
power_up_punch,6,attack,1,+,user
rage,1,attack,1,+,user
sharpen,1,attack,1,+,user
shell_smash,5,attack,2,+,user
shift_gear,5,attack,1,+,user
silver_wind,3,attack,1,+,user
swords_dance,1,attack,2,+,user
work_up,5,attack,1,+,user
acid_armor,1,defense,2,+,user
acupressure,4,defense,2,+,user
ancient_power,2,defense,1,+,user
barrier,1,defense,2,+,user
bulk_up,3,defense,1,+,user
clangorous_soul,8,defense,1,+,user
clangorous_soulblaze,7,defense,1,+,user
coil,5,defense,1,+,user
cosmic_power,3,defense,1,+,user
cotton_guard,5,defense,3,+,user
curse,2,defense,1,+,user
defend_order,4,defense,1,+,user
defense_curl,1,defense,1,+,user
extreme_evoboost,7,defense,2,+,user
flower_shield,6,defense,1,+,user
harden,1,defense,1,+,user
iron_defense,3,defense,2,+,user
max_steelspike,8,defense,1,+,user
no_retreat,8,defense,1,+,user
ominous_wind,4,defense,1,+,user
silver_wind,3,defense,1,+,user
skull_bash,2,defense,1,+,user
steel_wing,2,defense,1,+,user
stockpile,4,defense,1,+,user
stuff_cheeks,8,defense,2,+,user
withdraw,1,defense,1,+,user
acupressure,4,evasion,2,+,user
double_team,1,evasion,1,+,user
minimize,1,evasion,1,+,user
growth,1,special,1,+,user
acupressure,4,special_attack,2,+,user
ancient_power,2,special_attack,1,+,user
calm_mind,3,special_attack,1,+,user
charge_beam,4,special_attack,1,+,user
clangorous_soul,8,special_attack,1,+,user
clangorous_soulblaze,7,special_attack,1,+,user
extreme_evoboost,7,special_attack,2,+,user
fiery_dance,5,special_attack,1,+,user
geomancy,6,special_attack,2,+,user
growth,2,special_attack,1,+,user
max_flutterby,8,special_attack,1,+,user
max_ooze,8,special_attack,1,+,user
meteor_beam,8,special_attack,1,+,user
nasty_plot,4,special_attack,2,+,user
no_retreat,8,special_attack,1,+,user
ominous_wind,4,special_attack,1,+,user
quiver_dance,5,special_attack,1,+,user
shell_smash,5,special_attack,2,+,user
silver_wind,3,special_attack,1,+,user
tail_glow,3,special_attack,2,+,user
work_up,5,special_attack,1,+,user
acupressure,4,special_defense,2,+,user
ancient_power,2,special_defense,1,+,user
aromatic_mist,6,special_defense,1,+,user
calm_mind,3,special_defense,1,+,user
charge,4,special_defense,1,+,user
clangorous_soul,8,special_defense,1,+,user
clangorous_soulblaze,7,special_defense,1,+,user
cosmic_power,3,special_defense,1,+,user
defend_order,4,special_defense,1,+,user
extreme_evoboost,7,special_defense,2,+,user
geomancy,6,special_defense,2,+,user
max_quake,8,special_defense,1,+,user
no_retreat,8,special_defense,1,+,user
ominous_wind,4,special_defense,1,+,user
quiver_dance,5,special_defense,1,+,user
silver_wind,3,special_defense,1,+,user
stockpile,4,special_defense,1,+,user
acupressure,4,speed,2,+,user
agility,1,speed,2,+,user
ancient_power,2,speed,1,+,user
aura_wheel,8,speed,1,+,user
autotomize,5,speed,2,+,user
clangorous_soul,8,speed,1,+,user
clangorous_soulblaze,7,speed,1,+,user
dragon_dance,3,speed,1,+,user
extreme_evoboost,7,speed,2,+,user
flame_charge,5,speed,1,+,user
geomancy,6,speed,2,+,user
max_airstream,8,speed,1,+,user
no_retreat,8,speed,1,+,user
ominous_wind,4,speed,1,+,user
quiver_dance,5,speed,1,+,user
rapid_spin,8,speed,1,+,user
rock_polish,4,speed,2,+,user
scale_shot,8,speed,1,+,user
shell_smash,5,speed,2,+,user
shift_gear,5,speed,2,+,user
silver_wind,3,speed,1,+,user
z_swords_dance,7,attack,2,+,user
z_whirlwind,7,special_defense,1,+,user
z_sand_attack,7,accuracy,1,-,target
z_sand_attack,7,evasion,1,+,user
z_tail_whip,7,defense,1,-,target
z_tail_whip,7,attack,1,+,user
z_leer,7,defense,1,-,target
z_leer,7,attack,1,+,user
z_growl,7,attack,1,-,target
z_growl,7,defense,1,+,user
z_roar,7,defense,1,+,user
z_sing,7,speed,1,+,user
z_supersonic,7,speed,1,+,user
z_growth,7,attack,1,+,user
z_growth,7,special_attack,2,+,user
z_poison_powder,7,defense,1,+,user
z_stun_spore,7,special_defense,1,+,user
z_sleep_powder,7,speed,1,+,user
z_string_shot,7,speed,1,-,target
z_string_shot,7,speed,1,+,user
z_thunder_wave,7,special_defense,1,+,user
z_toxic,7,defense,1,+,user
z_hypnosis,7,speed,1,+,user
z_meditate,7,attack,2,+,user
z_agility,7,speed,2,+,user
z_screech,7,defense,2,-,target
z_screech,7,attack,1,+,user
z_double_team,7,evasion,1,+,user
z_harden,7,defense,2,+,user
z_minimize,7,evasion,1,+,user
z_smokescreen,7,accuracy,1,-,target
z_smokescreen,7,evasion,1,+,user
z_confuse_ray,7,special_attack,1,+,user
z_withdraw,7,defense,2,+,user
z_defense_curl,7,defense,1,+,user
z_barrier,7,defense,2,+,user
z_light_screen,7,special_defense,1,+,user
z_reflect,7,defense,1,+,user
z_mirror_move,7,attack,2,+,user
z_kinesis,7,accuracy,1,-,target
z_kinesis,7,evasion,1,+,user
z_glare,7,special_defense,1,+,user
z_poison_gas,7,defense,1,+,user
z_lovely_kiss,7,speed,1,+,user
z_flash,7,accuracy,1,-,target
z_flash,7,evasion,1,+,user
z_splash,7,attack,3,+,user
z_acid_armor,7,defense,2,+,user
z_sharpen,7,attack,2,+,user
z_conversion,7,attack,1,+,user
z_conversion,7,defense,1,+,user
z_conversion,7,special_attack,1,+,user
z_conversion,7,special_defense,1,+,user
z_conversion,7,speed,1,+,user
z_sketch,7,attack,1,+,user
z_sketch,7,defense,1,+,user
z_sketch,7,special_attack,1,+,user
z_sketch,7,special_defense,1,+,user
z_sketch,7,speed,1,+,user
z_spider_web,7,defense,1,+,user
z_mind_reader,7,special_attack,1,+,user
z_nightmare,7,special_attack,1,+,user
z_curse,7,attack,2,+,user
z_curse,7,defense,1,+,user
z_curse,7,speed,-1,-,user
z_cotton_spore,7,speed,2,-,target
z_scary_face,7,speed,2,-,target
z_scary_face,7,speed,1,+,user
z_sweet_kiss,7,special_attack,1,+,user
z_belly_drum,7,attack,12,+,user
z_spikes,7,defense,1,+,user
z_foresight,7,critical_hit_ratio,2,+,user
z_detect,7,evasion,1,+,user
z_lock_on,7,speed,1,+,user
z_sandstorm,7,speed,1,+,user
z_charm,7,attack,2,-,target
z_charm,7,defense,1,+,user
z_swagger,7,attack,2,+,target
z_mean_look,7,special_defense,1,+,user
z_sleep_talk,7,critical_hit_ratio,2,+,user
z_safeguard,7,speed,1,+,user
z_pain_split,7,defense,1,+,user
z_encore,7,speed,1,+,user
z_sweet_scent,7,evasion,1,-,target
z_rain_dance,7,speed,1,+,user
z_sunny_day,7,speed,1,+,user
z_stockpile,7,defense,1,+,user
z_stockpile,7,special_defense,1,+,user
z_hail,7,speed,1,+,user
z_torment,7,defense,1,+,user
z_flatter,7,special_attack,1,+,target
z_flatter,7,special_defense,1,+,user
z_will_o_wisp,7,attack,1,+,user
z_memento,7,attack,2,-,target
z_charge,7,special_defense,2,+,user
z_taunt,7,attack,1,+,user
z_trick,7,speed,2,+,user
z_role_play,7,speed,1,+,user
z_wish,7,special_defense,1,+,user
z_ingrain,7,special_defense,1,+,user
z_magic_coat,7,special_defense,2,+,user
z_recycle,7,speed,2,+,user
z_yawn,7,speed,1,+,user
z_skill_swap,7,speed,1,+,user
z_imprison,7,special_defense,2,+,user
z_snatch,7,speed,2,+,user
z_camouflage,7,evasion,1,+,user
z_tail_glow,7,special_attack,2,+,user
z_feather_dance,7,attack,2,-,target
z_feather_dance,7,defense,1,+,user
z_teeter_dance,7,special_attack,1,+,user
z_mud_sport,7,special_defense,1,+,user
z_fake_tears,7,special_defense,2,-,target
z_fake_tears,7,special_attack,1,+,user
z_odor_sleuth,7,attack,1,+,user
z_metal_sound,7,special_defense,2,-,target
z_metal_sound,7,special_attack,1,+,user
z_grass_whistle,7,speed,1,+,user
z_tickle,7,attack,1,-,target
z_tickle,7,defense,1,+,user
z_cosmic_power,7,defense,1,+,user
z_cosmic_power,7,special_defense,2,+,user
z_iron_defense,7,defense,2,+,user
z_block,7,defense,1,+,user
z_howl,7,attack,2,+,user
z_bulk_up,7,attack,2,+,user
z_bulk_up,7,defense,1,+,user
z_water_sport,7,special_defense,1,+,user
z_calm_mind,7,special_attack,1,+,user
z_calm_mind,7,special_defense,1,+,user
z_dragon_dance,7,attack,1,+,user
z_dragon_dance,7,speed,1,+,user
z_gravity,7,special_attack,1,+,user
z_miracle_eye,7,special_attack,1,+,user
z_tailwind,7,critical_hit_ratio,2,+,user
z_acupressure,7,accuracy,2,+,target
z_acupressure,7,critical_hit_ratio,2,+,user
z_embargo,7,special_attack,1,+,user
z_psycho_shift,7,special_attack,2,+,user
z_heal_block,7,special_attack,2,+,user
z_power_trick,7,attack,1,+,user
z_gastro_acid,7,speed,1,+,user
z_lucky_chant,7,evasion,1,+,user
z_me_first,7,speed,2,+,user
z_power_swap,7,speed,1,+,user
z_guard_swap,7,speed,1,+,user
z_worry_seed,7,speed,1,+,user
z_toxic_spikes,7,defense,1,+,user
z_heart_swap,7,critical_hit_ratio,2,+,user
z_aqua_ring,7,defense,1,+,user
z_magnet_rise,7,evasion,1,+,user
z_rock_polish,7,speed,2,+,user
z_switcheroo,7,speed,2,+,user
z_nasty_plot,7,special_attack,2,+,user
z_defog,7,evasion,1,-,target
z_captivate,7,special_attack,2,-,target
z_captivate,7,special_defense,2,+,user
z_stealth_rock,7,defense,1,+,user
z_defend_order,7,defense,2,+,user
z_defend_order,7,special_defense,1,+,user
z_hone_claws,7,attack,2,+,user
z_hone_claws,7,accuracy,1,+,user
z_wide_guard,7,defense,1,+,user
z_guard_split,7,speed,1,+,user
z_power_split,7,speed,1,+,user
z_wonder_room,7,special_defense,1,+,user
z_autotomize,7,speed,2,+,user
z_telekinesis,7,special_attack,1,+,user
z_magic_room,7,special_defense,1,+,user
z_quiver_dance,7,special_attack,1,+,user
z_quiver_dance,7,special_defense,1,+,user
z_quiver_dance,7,speed,1,+,user
z_soak,7,special_attack,1,+,user
z_coil,7,attack,1,+,user
z_coil,7,defense,1,+,user
z_coil,7,accuracy,1,+,user
z_simple_beam,7,special_attack,1,+,user
z_entrainment,7,special_defense,1,+,user
z_after_you,7,speed,1,+,user
z_quick_guard,7,defense,1,+,user
z_ally_switch,7,speed,2,+,user
z_shell_smash,7,attack,2,+,user
z_shell_smash,7,defense,-1,-,user
z_shell_smash,7,special_attack,2,+,user
z_shell_smash,7,special_defense,-1,-,user
z_shell_smash,7,speed,2,+,user
z_shift_gear,7,attack,1,+,user
z_shift_gear,7,speed,2,+,user
z_quash,7,speed,1,+,user
z_reflect_type,7,special_attack,1,+,user
z_bestow,7,speed,2,+,user
z_work_up,7,attack,2,+,user
z_work_up,7,special_attack,1,+,user
z_cotton_guard,7,defense,3,+,user
z_mat_block,7,defense,1,+,user
z_rototiller,7,attack,1,+,target
z_rototiller,7,attack,1,+,user
z_sticky_web,7,speed,1,-,target
z_sticky_web,7,speed,1,+,user
z_trick_or_treat,7,attack,1,+,user
z_trick_or_treat,7,defense,1,+,user
z_trick_or_treat,7,special_attack,1,+,user
z_trick_or_treat,7,special_defense,1,+,user
z_trick_or_treat,7,speed,1,+,user
z_noble_roar,7,attack,1,-,target
z_noble_roar,7,defense,1,+,user
z_ion_deluge,7,special_attack,1,+,user
z_forests_curse,7,attack,1,+,user
z_forests_curse,7,defense,1,+,user
z_forests_curse,7,special_attack,1,+,user
z_forests_curse,7,special_defense,1,+,user
z_forests_curse,7,speed,1,+,user
z_parting_shot,7,attack,1,-,target
z_topsy_turvy,7,attack,1,+,user
z_crafty_shield,7,special_defense,1,+,user
z_flower_shield,7,defense,1,+,target
z_flower_shield,7,defense,1,+,user
z_grassy_terrain,7,defense,1,+,user
z_misty_terrain,7,special_defense,1,+,user
z_electrify,7,special_attack,1,+,user
z_fairy_lock,7,defense,1,+,user
z_kings_shield,7,attack,2,-,target
z_play_nice,7,attack,1,-,target
z_play_nice,7,defense,1,+,user
z_confide,7,special_attack,1,-,target
z_confide,7,special_defense,1,+,user
z_spiky_shield,7,defense,1,+,user
z_aromatic_mist,7,special_defense,1,+,target
z_aromatic_mist,7,special_defense,2,+,user
z_eerie_impulse,7,special_attack,2,-,target
z_eerie_impulse,7,special_defense,1,+,user
z_venom_drench,7,attack,1,-,target
z_venom_drench,7,defense,1,+,user
z_powder,7,special_defense,2,+,user
z_geomancy,7,attack,1,+,user
z_geomancy,7,defense,1,+,user
z_geomancy,7,special_attack,3,+,user
z_geomancy,7,special_defense,3,+,user
z_geomancy,7,speed,3,+,user
z_magnetic_flux,7,defense,1,+,target
z_magnetic_flux,7,special_defense,1,+,user
z_happy_hour,7,attack,1,+,user
z_happy_hour,7,defense,1,+,user
z_happy_hour,7,special_attack,1,+,user
z_happy_hour,7,special_defense,1,+,user
z_happy_hour,7,speed,1,+,user
z_electric_terrain,7,speed,1,+,user
z_celebrate,7,attack,1,+,user
z_celebrate,7,defense,1,+,user
z_celebrate,7,special_attack,1,+,user
z_celebrate,7,special_defense,1,+,user
z_celebrate,7,speed,1,+,user
z_hold_hands,7,attack,1,+,user
z_hold_hands,7,defense,1,+,user
z_hold_hands,7,special_attack,1,+,user
z_hold_hands,7,special_defense,1,+,user
z_hold_hands,7,speed,1,+,user
z_baby_doll_eyes,7,attack,1,-,target
z_baby_doll_eyes,7,defense,1,+,user
z_baneful_bunker,7,defense,1,+,user
z_strength_sap,7,attack,1,-,target
z_strength_sap,7,defense,1,+,user
z_spotlight,7,special_defense,1,+,user
z_toxic_thread,7,speed,1,-,target
z_toxic_thread,7,speed,1,+,user
z_laser_focus,7,attack,1,+,user
z_gear_up,7,attack,1,+,target
z_gear_up,7,special_attack,1,+,user
z_psychic_terrain,7,special_attack,1,+,user
z_speed_swap,7,speed,1,+,user
z_purify,7,attack,1,+,user
z_purify,7,defense,1,+,user
z_purify,7,special_attack,1,+,user
z_purify,7,special_defense,1,+,user
z_purify,7,speed,1,+,user
z_instruct,7,special_attack,1,+,user
z_aurora_veil,7,speed,1,+,user
z_tearful_look,7,attack,1,-,target
z_tearful_look,7,defense,1,+,user
