Move Name,Targets
muddy_water,all_adjacent_foes
origin_pulse,all_adjacent_foes
overdrive,all_adjacent_foes
poison_gas,all_adjacent_foes
powder_snow,all_adjacent_foes
precipice_blades,all_adjacent_foes
razor_leaf,all_adjacent_foes
razor_wind,all_adjacent_foes
relic_song,all_adjacent_foes
rock_slide,all_adjacent_foes
shell_trap,all_adjacent_foes
snarl,all_adjacent_foes
splishy_splash,all_adjacent_foes
string_shot,all_adjacent_foes
struggle_bug,all_adjacent_foes
sweet_scent,all_adjacent_foes
swift,all_adjacent_foes
tail_whip,all_adjacent_foes
thousand_arrows,all_adjacent_foes
thousand_waves,all_adjacent_foes
twister,all_adjacent_foes
venom_drench,all_adjacent_foes
water_spout,all_adjacent_foes
boomburst,all_adjacent
brutal_swing,all_adjacent
bulldoze,all_adjacent
corrosive_gas,all_adjacent
discharge,all_adjacent
earthquake,all_adjacent
explosion,all_adjacent
lava_plume,all_adjacent
magnitude,all_adjacent
mind_blown,all_adjacent
misty_explosion,all_adjacent
parabolic_charge,all_adjacent
petal_blizzard,all_adjacent
searing_shot,all_adjacent
self_destruct,all_adjacent
sludge_wave,all_adjacent
sparkling_aria,all_adjacent
surf,all_adjacent
synchronoise,all_adjacent
teeter_dance,all_adjacent
coaching,all_allies
spikes,all_foes
stealth_rock,all_foes
sticky_web,all_foes
toxic_spikes,all_foes
court_change,all
electric_terrain,all
fairy_lock,all
flower_shield,all
grassy_terrain,all
gravity,all
hail,all
haze,all
ion_deluge,all
magic_room,all
misty_terrain,all
mud_sport,all
perish_song,all
psychic_terrain,all
rain_dance,all
rototiller,all
sandstorm,all
sunny_day,all
teatime,all
trick_room,all
water_sport,all
wonder_room,all
aromatic_mist,adjacent_ally
helping_hand,adjacent_ally
hold_hands,adjacent_ally
acid_armor,user
agility,user
ally_switch,user
amnesia,user
aqua_ring,user
assist,user
autotomize,user
baneful_bunker,user
barrier,user
baton_pass,user
belly_drum,user
bide,user
bulk_up,user
calm_mind,user
camouflage,user
celebrate,user
charge,user
clangorous_soul,user
coil,user
conversion,user
conversion_2,user
copycat,user
cosmic_power,user
cotton_guard,user
counter,user
curse,user
defend_order,user
defense_curl,user
destiny_bond,user
detect,user
double_team,user
dragon_dance,user
endure,user
extreme_evoboost,user
focus_energy,user
follow_me,user
geomancy,user
growth,user
grudge,user
harden,user
heal_order,user
healing_wish,user
helping_hand,user
hone_claws,user
howl,user
imprison,user
ingrain,user
iron_defense,user
kings_shield,user
laser_focus,user
lunar_dance,user
magic_coat,user
magnet_rise,user
max_guard,user
meditate,user
metal_burst,user
metronome,user
milk_drink,user
minimize,user
mirror_coat,user
moonlight,user
morning_sun,user
nasty_plot,user
nature_power,user
no_retreat,user
obstruct,user
outrage,user
petal_dance,user
power_trick,user
protect,user
quiver_dance,user
rage_powder,user
recover,user
recycle,user
refresh,user
rest,user
rock_polish,user
roost,user
sharpen,user
shell_smash,user
shift_gear,user
shore_up,user
slack_off,user
sleep_talk,user
snatch,user
soft_boiled,user
spiky_shield,user
splash,user
stockpile,user
struggle,user
stuff_cheeks,user
substitute,user
swallow,user
swords_dance,user
synthesis,user
tail_glow,user
teleport,user
thrash,user
uproar,user
wish,user
withdraw,user
work_up,user
aromatherapy,user_and_all_allies
aurora_veil,user_and_all_allies
crafty_shield,user_and_all_allies
gear_up,user_and_all_allies
happy_hour,user_and_all_allies
heal_bell,user_and_all_allies
howl,user_and_all_allies
jungle_healing,user_and_all_allies
life_dew,user_and_all_allies
light_screen,user_and_all_allies
lucky_chant,user_and_all_allies
magnetic_flux,user_and_all_allies
mat_block,user_and_all_allies
mist,user_and_all_allies
quick_guard,user_and_all_allies
reflect,user_and_all_allies
safeguard,user_and_all_allies
tailwind,user_and_all_allies
wide_guard,user_and_all_allies
