Ability Name,RB,Y,Stad,GS,C,Stad2,RS,E,Colo,XD,FRLG,DP,Pt,HGSS,PBR,BW,B2W2,XY,ORAS,SM,USUM,PE,SwSh,BDSP
volt_absorb,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3
wandering_spirit,,,,,,,,,,,,,,,,,,,,,,,0,0
water_absorb,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3
water_bubble,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
water_compaction,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
water_veil,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
weak_armor,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
white_smoke,,,,,,,0,0,0,0,0,1,1,2,1,3,3,3,3,4,4,4,4,4
wimp_out,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
wonder_guard,,,,,,,0,0,1,1,0,2,2,2,2,2,2,2,2,3,3,3,3,3
wonder_skin,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
zen_mode,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
