Ability Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
magnet_pull,3,.,-type foes.,Prevents Steel-type Pokemon from escaping.,Prevents Steel-type Pokemon from escaping using its magnetic force.,,,,,,,,,,,,,,,,,
marvel_scale,3,Ups Defense if suffering.,Boosts Defense if there is a status problem.,Ups Defense if there is a status problem.,Boosts the Defense stat if the Pokemon has a status condition.,The Pokemon's marvelous scales boost the Defense stat if it has a status condition.,,,,,,,,,,,,,,,,
mega_launcher,6,Powers up aura and pulse moves.,,,,,,,,,,,,,,,,,,,,
merciless,7,The Pokemon's attacks become critical hits if the target is poisoned.,,,,,,,,,,,,,,,,,,,,
mimicry,8,Changes the Pokemon's type depending on the terrain.,,,,,,,,,,,,,,,,,,,,
minus,3,Powers up with Plus.,Boosts Sp. Atk if another Pokemon has Plus.,Ups Sp. Atk if another Pokemon has Plus.,Ups Sp. Atk if another Pokemon has Plus or Minus.,Boosts the Sp. Atk stat if another Pokemon has Plus or Minus.,Boosts the Sp. Atk stat of the Pokemon if an ally with the Plus or Minus Ability is also in battle.,,,,,,,,,,,,,,,
mirror_armor,8,Bounces back only the stat-lowering effects that the Pokemon receives.,,,,,,,,,,,,,,,,,,,,
misty_surge,7,Turns the ground into Misty Terrain when the Pokemon enters a battle.,,,,,,,,,,,,,,,,,,,,
mold_breaker,4,Moves can be used regardless of abilities.,Moves can be used regardless of Abilities.,Moves can be used on the target regardless of its Abilities.,,,,,,,,,,,,,,,,,,
moody,5,Raises one stat and lowers another.,Raises one stat sharply and lowers another every turn.,,,,,,,,,,,,,,,,,,,
motor_drive,4,Raises Speed if hit by an Electric-type move.,Boosts the Speed stat when it's hit by an Electric-type move.,"Boosts its Speed stat if hit by an Electric-type move, instead of taking damage.",Boosts its Speed stat if hit by an Electric-type move instead of taking damage.,,,,,,,,,,,,,,,,,
moxie,5,Boosts Attack after knocking out any Pokemon.,Boosts the Attack stat after knocking out any Pokemon.,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",,,,,,,,,,,,,,,,,,
multiscale,5,Reduces damage when HP is full.,Reduces damage the Pokemon takes when its HP is full.,Reduces the amount of damage the Pokemon takes when its HP is full.,Reduces the amount of damage the Pokemon takes while its HP is full.,,,,,,,,,,,,,,,,,
multitype,4,Changes type to match the held Plate.,Changes the Pokemon's type to match the Plate it holds.,Changes the Pokemon's type to match the Plate or Z-Crystal it holds.,,,,,,,,,,,,,,,,,,
mummy,5,Contact with this Pokemon spreads this Ability.,Contact with the Pokemon spreads this Ability.,Contact with the Pokemon changes the attacker's Ability to Mummy.,,,,,,,,,,,,,,,,,,
natural_cure,3,Heals upon switching out.,All status problems are healed upon switching out.,All status problems heal when it switches out.,All status conditions heal when the Pokemon switches out.,,,,,,,,,,,,,,,,,
neuroforce,7,Powers up moves that are super effective.,,,,,,,,,,,,,,,,,,,,
neutralizing_gas,8,"If the Pokemon with Neutralizing Gas is in the battle, the effects of all Pokemon's Abilities will be nullified or will not be triggered.",,,,,,,,,,,,,,,,,,,,
no_guard,4,Ensures the Pokemon and its foe's attacks land.,Ensures both Pokemon's and foe's attacks land.,Ensures attacks by or against the Pokemon land.,The Pokemon employs no-guard tactics to ensure incoming and outgoing attacks always land.,,,,,,,,,,,,,,,,,
normalize,4,All the Pokemon's moves become the Normal type.,All the Pokemon's moves become Normal type.,All the Pokemon's moves become Normal type. The power of those moves is boosted a little.,,,,,,,,,,,,,,,,,,
oblivious,3,Prevents attraction.,Prevents the Pokemon from becoming infatuated.,Prevents it from becoming infatuated.,Keeps the Pokemon from being infatuated or falling for taunts.,"The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.",,,,,,,,,,,,,,,,
overcoat,5,Protects the Pokemon from damage from weather.,"Protects the Pokemon from things like sand, hail and powder.","Protects the Pokemon from things like sand, hail, and powder.",,,,,,,,,,,,,,,,,,
overgrow,3,Ups Grass moves in a pinch.,Powers up Grass-type moves in a pinch.,Powers up Grass-type moves when the Pokemon is in trouble.,Powers up Grass-type moves when the Pokemon's HP is low.,,,,,,,,,,,,,,,,,
own_tempo,3,Prevents confusion.,Prevents the Pokemon from becoming confused.,"This Pokemon has its own tempo, and that prevents it from becoming confused.",,,,,,,,,,,,,,,,,,
parental_bond,6,Parent and child attack together.,Parent and child each attacks.,,,,,,,,,,,,,,,,,,,
pastel_veil,8,Protects the Pokemon and its ally Pokemon from being poisoned.,,,,,,,,,,,,,,,,,,,,
perish_body,8,"When hit by a move that makes direct contact, the Pokemon and the attacker will faint after three turns unless they switch out of battle.",,,,,,,,,,,,,,,,,,,,
pickpocket,5,Steals an item when hit by another Pokemon.,Steals an item from an attacker that made direct contact.,,,,,,,,,,,,,,,,,,,
pickup,3,May pick up items.,The Pokemon may pick up items.,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",,,,,,,,,,,,,,,,,,
pixilate,6,Normal-type moves become Fairy-type moves.,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.,,,,,,,,,,,,,,,,,,,
plus,3,Powers up with Minus.,Boosts Sp. Atk if another Pokemon has Minus.,Ups Sp. Atk if another Pokemon has Minus.,Ups Sp. Atk if another Pokemon has Plus or Minus.,Boosts the Sp. Atk stat if another Pokemon has Plus or Minus.,Boosts the Sp. Atk stat of the Pokemon if an ally with the Plus or Minus Ability is also in battle.,,,,,,,,,,,,,,,
poison_heal,4,Restores HP if the Pokemon is poisoned.,"Restores HP if the Pokemon is poisoned, instead of losing HP.",Restores HP if the Pokemon is poisoned instead of losing HP.,,,,,,,,,,,,,,,,,,
poison_point,3,Poisons foe on contact.,Poisons target on contact.,Contact with the Pokemon may poison the foe.,Contact with the Pokemon may poison the attacker.,,,,,,,,,,,,,,,,,
poison_touch,5,May poison targets when a Pokemon makes contact.,May poison a target when the Pokemon makes contact.,,,,,,,,,,,,,,,,,,,
power_construct,7,Other Cells gather to aid when its HP becomes half or less. Then the Pokemon changes its form to Complete Forme.,,,,,,,,,,,,,,,,,,,,
power_of_alchemy,7,The Pokemon copies the Ability of a defeated ally.,,,,,,,,,,,,,,,,,,,,
power_spot,8,Just being next to the Pokemon powers up moves.,,,,,,,,,,,,,,,,,,,,
prankster,5,Gives priority to a status move.,,,,,,,,,,,,,,,,,,,,
pressure,3,Raises foe's PP usage.,The Pokemon raises the foe's PP usage.,The Pokemon raises opposing Pokemon's PP usage.,"By putting pressure on the opposing Pokemon, it raises their PP usage.",,,,,,,,,,,,,,,,,
primordial_sea,6,Affects weather and nullifies any Fire-type attacks.,The Pokemon changes the weather to nullify Fire-type attacks.,,,,,,,,,,,,,,,,,,,
prism_armor,7,Reduces the power of supereffective attacks taken.,,,,,,,,,,,,,,,,,,,,
propeller_tail,8,Ignores the effects of opposing Pokemon's Abilities and moves that draw in moves.,,,,,,,,,,,,,,,,,,,,
protean,6,Changes the Pokemon's type to the type of the move it's using.,Changes the Pokemon's type to the type of the move it's about to use.,,,,,,,,,,,,,,,,,,,
psychic_surge,7,Turns the ground into Psychic Terrain when the Pokemon enters a battle.,,,,,,,,,,,,,,,,,,,,
punk_rock,8,Boosts the power of sound-based moves. The Pokemon also takes half the damage from these kinds of moves.,,,,,,,,,,,,,,,,,,,,
pure_power,3,Raises Attack.,Boosts the power of physical attacks.,Raises the Pokemon's Attack stat.,Boosts the Pokemon's Attack stat.,"Using its pure power, the Pokemon doubles its Attack stat.",,,,,,,,,,,,,,,,
queenly_majesty,7,"Its majesty pressures the opposing Pokemon, making it unable to attack using priority moves.",,,,,,,,,,,,,,,,,,,,
quick_draw,8,Enables the Pokemon to move first occasionally.,,,,,,,,,,,,,,,,,,,,
quick_feet,4,Boosts Speed if there is a status problem.,Boosts the Speed stat if the Pokemon has a status condition.,,,,,,,,,,,,,,,,,,,
rain_dish,3,Slight HP recovery in rain.,The Pokemon gradually recovers HP in rain.,The Pokemon gradually regains HP in rain.,,,,,,,,,,,,,,,,,,
rattled,5,Some move types scare it and boost its Speed.,Some move types scare it and boost its Speed stat.,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",,,,,,,,,,,,,,,,,,
receiver,7,The Pokemon copies the Ability of a defeated ally.,,,,,,,,,,,,,,,,,,,,
reckless,4,Powers up moves that have recoil damage.,,,,,,,,,,,,,,,,,,,,
refrigerate,6,Normal-type moves become Ice-type moves.,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.,,,,,,,,,,,,,,,,,,,
regenerator,5,Restores a little HP when withdrawn from battle.,,,,,,,,,,,,,,,,,,,,
ripen,8,Ripens Berries and doubles their effect.,,,,,,,,,,,,,,,,,,,,
rivalry,4,Raises Attack if the foe is of the same gender.,Deals more damage to a Pokemon of same gender.,Deals more damage to Pokemon of the same gender.,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",,,,,,,,,,,,,,,,,
rks_system,7,Changes the Pokemon's type to match the memory disc it holds.,,,,,,,,,,,,,,,,,,,,
rock_head,3,Prevents recoil damage.,Protects the Pokemon from recoil damage.,,,,,,,,,,,,,,,,,,,
rough_skin,3,Hurts to touch.,Inflicts damage to the foe on contact.,Inflicts damage to the attacker on contact.,This Pokemon inflicts damage with its rough skin to the attacker on contact.,,,,,,,,,,,,,,,,,
run_away,3,Makes escaping easier.,Enables sure getaway from wild Pokemon.,Enables a sure getaway from wild Pokemon.,,,,,,,,,,,,,,,,,,
