Move Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
fury_attack,1,A Normal-type attack. The Pokemon rapidly jabs at its opponent several times.,Jabs the target 2-5 times.,"Jabs the foe 2 to 5 times with sharp horns, etc.",The foe is jabbed repeatedly with a horn or beak two to five times.,Jabs the target 2 to 5 times with sharp horns.,The foe is jabbed repeatedly with a horn or beak two to five times in a row.,The target is jabbed repeatedly with a horn or beak two to five times in a row.,,,,,,,,,,,,,,,,,
horn_drill,1,A single-hit knockout attack. Learned only by Pokemon with a horn or horns.,"A one-hit KO, drill attack.",A one-hit KO attack that uses a horn like a drill.,The horn is rotated like a drill to ram. The foe will faint if it hits.,The foe is stabbed with a horn rotating like a drill. The foe instantly faints if it hits.,"The user stabs the target with a horn that rotates like a drill. If it hits, the target faints instantly.",The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,,,,,,,,,,,,,,,,,
tackle,1,A Normal-type attack. Many Pokemon know this attack right from the start.,A full-body charge attack.,Charges the foe with a full-body tackle.,"A physical attack in which the user charges, full body, into the foe.",Charges the target with a full-body tackle.,A physical attack in which the user charges and slams into the foe with its whole body.,A physical attack in which the user charges and slams into the target with its whole body.,,,,,,,,,,,,,,,,,
body_slam,1,A Normal-type attack. Has a one-in-three chance of paralyzing the target if it connects.,A Normal-type attack. Has a one-in-three chance of paralyzing the target if it hits.,An attack that may cause paralysis.,A full-body slam that may cause paralysis.,The user drops its full body on the foe. It may leave the foe paralyzed.,The user drops onto the foe with its full body weight. It may leave the foe paralyzed.,The user drops onto the target with its full body weight. It may also leave the target with paralysis.,The user drops onto the target with its full body weight. This may also leave the target with paralysis.,,,,,,,,,,,,,,,,
wrap,1,Traps and squeezes the target over two to five turns. The target cannot move while under attack.,"Traps and squeezes the target over two to five turns, making the target unable to move.",Squeezes the foe for 2-5 turns.,"Wraps and squeezes the foe 2 to 5 times with vines, etc.","Wraps and squeezes 2 to 5 times with vines, etc.",A long body or vines are used to wrap the foe for two to five turns.,A long body or vines are used to wrap and squeeze the foe for two to five turns.,A long body or vines are used to wrap and squeeze the target for four to five turns.,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns.",,,,,,,,,,,,,,,
take_down,1,A charging attack. One quarter of the damage it inflicts comes back to hurt the attacker.,A tackle that also hurts the user.,A reckless charge attack that also hurts the user.,"A reckless, full-body charge attack that also hurts the user a little.","A reckless, full-body charge attack for slamming into the foe. It also damages the user a little.","A reckless, full-body charge attack for slamming into the target. It also damages the user a little.","A reckless, full-body charge attack for slamming into the target. This also damages the user a little.",,,,,,,,,,,,,,,,,
thrash,1,"An attack that lasts two to three turns. Afterwards, the attacker becomes confused.",Works 2-3 turns and confuses user.,A rampage of 2 to 3 turns that confuses the user.,"The user rampages about for two to three turns, then becomes confused.","The user rampages and attacks for two to three turns. It then becomes confused, however.",The user rampages and attacks for two to three turns. The user then becomes confused.,,,,,,,,,,,,,,,,,,
double_edge,1,A charging tackle attack. One quarter of the damage it inflicts comes back to hurt the attacker.,A charging tackle attack. One quarter of the damage comes back to hurt the attacker.,A tackle that also hurts the user.,A life-risking tackle that also hurts the user.,"A reckless, life-risking tackle that also hurts the user a little.","A reckless, life-risking tackle. It also damages the user by a fairly large amount, however.","A reckless, life-risking tackle. This also damages the user quite a lot.","A reckless, life-risking tackle in which the user rushes the target. This also damages the user quite a lot.",,,,,,,,,,,,,,,,
tail_whip,1,"A move that lower the target's Defense. Useful against tough, armored Pokemon.",Lowers the foe's Defense.,Wags the tail to lower the foe's Defense.,"The user wags its tail cutely, making the foe lower its Defense stat.","The user wags its tail cutely, making the foe less wary. The target's Defense stat is lowered.","The user wags its tail cutely, making opposing Pokemon less wary and lowering their Defense stat.","The user wags its tail cutely, making opposing Pokemon less wary and lowering their Defense stats.",,,,,,,,,,,,,,,,,
poison_sting,1,A Poison-type attack. Has a one-in-five chance of leaving the target with the lingering effects of poison.,A Poison-type attack. Has a one-in-three chance of leaving the target poisoned.,An attack that may poison the target.,"A toxic attack with barbs, etc., that may poison.","The foe is stabbed with a toxic barb, etc. It may poison the foe.",The foe is stabbed with a poisonous barb of some sort. It may also poison the target.,The user stabs the target with a poisonous stinger. This may also poison the target.,,,,,,,,,,,,,,,,,
twineedle,1,An attack that strikes twice. The target may occasionally become poisoned.,Jabs the foe twice using stingers.,Stingers on the forelegs jab the foe twice.,Foreleg stingers jab twice and may poison.,The foe is stabbed twice with foreleg stingers. It may poison the foe.,The foe is stabbed twice by a pair of stingers. It may also poison the target.,The user damages the target twice in succession by jabbing it with two spikes. It may also poison the target.,The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,
pin_missile,1,An attack that fires many needle-like projectiles from the body. Strikes several times.,Fires pins that strike 2-5 times.,Sharp pins are fired to strike 2 to 5 times.,Sharp pins are shot at the foe and hit two to five times at once.,Sharp pins are shot at the foe in rapid succession. They hit two to five times in a row.,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,,,,,,,,,,,,,,,,,,
leer,1,"A technique that lowers the target's Defense. Useful against tough, armored Pokemon.",Reduces the foe's Defense.,Frightens the foe with a leer to lower Defense.,The foe is given an intimidating look that lowers its Defense stat.,The foe is given an intimidating leer with sharp eyes. The target's Defense stat is reduced.,The opposing team gains an intimidating leer with sharp eyes. The opposing team's Defense stats are reduced.,The user gains an intimidating leer with sharp eyes. The opposing team's Defense stats are reduced.,The user gives opposing Pokemon an intimidating leer that lowers the Defense stat.,,,,,,,,,,,,,,,,
bite,1,"A bite made using sharp fangs. This may cause the opponent to flinch, and it might not attack.",An attack that may cause flinching.,Bites with vicious fangs. May cause flinching.,The user bites with vicious fangs. It may make the foe flinch.,The foe is bitten with viciously sharp fangs. It may make the target flinch.,The target is bitten with viciously sharp fangs. It may make the target flinch.,The target is bitten with viciously sharp fangs. This may also make the target flinch.,,,,,,,,,,,,,,,,,
growl,1,A technique that lowers the target's Attack power. Can normally be used up to 6 times.,A move that lowers the target's Attack power. Can normally be used up to six times.,Reduces the foe's Attack.,Growls cutely to reduce the foe's Attack.,"The user growls in a cute way, making the foe lower its Attack. stat.","The user growls in an endearing way, making the foe less wary. The target's Attack stat is lowered.","The user growls in an endearing way, making the opposing team less wary. The foes' Attack stats are lowered.","The user growls in an endearing way, making opposing Pokemon less wary. This lowers their Attack stats.","The user growls in an endearing way, making opposing Pokemon less wary. This lowers their Attack stat.","The user growls in an endearing way, making opposing Pokemon less wary. This lowers their Attack stats.",,,,,,,,,,,,,,
roar,1,A terrifying roar that drives wild Pokemon away. It is useful only in the wild.,A terrifying roar that drives the target away. The opposing trainer must use a new Pokemon.,Scares wild foes to end battle.,Makes the foe flee to end the battle.,Causes the target to flee and switch out of battle.,"The foe is made to switch out with an ally. In the wild, the battle ends.","The foe is scared off, to be replaced by another Pokemon in its party. In the wild, the battle ends.",The foe is scared off and replaced by another Pokemon in its party.,"The target is scared off and replaced by another Pokemon in its party. In the wild, the battle ends.","The target is scared off and switched. In the wild, a battle against a single Pokemon ends.","The target is scared off and a different Pokemon is dragged out. In the wild, this ends a battle against a single Pokemon.","The target is scared off, and a different Pokemon is dragged out. In the wild, this ends a battle against a single Pokemon.","The target is scared off, and a different Pokemon is dragged out.",,,,,,,,,,,
sing,1,A special Normal-type technique. A soothing melody lulls the target to sleep.,A special Normal-type move. A soothing melody lulls the target to sleep.,May cause the foe to fall asleep.,A soothing song lulls the foe into a deep slumber.,A soothing song lulls the target into a deep slumber.,A soothing song in a calming voice lulls the foe into a deep slumber.,A soothing lullaby is sung in a calming voice that puts the foe into a deep slumber.,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.,,,,,,,,,,,,,,,,
supersonic,1,A special Normal-type technique. Supersonic sound waves are used to confuse the target.,A special Normal-type move. Supersonic sound waves are used to confuse the target.,Sound waves that cause confusion.,Emits bizarre sound waves that may confuse the foe.,Emits bizarre sound waves that may cause confusion.,The user generates odd sound waves. It may confuse the foe.,The user generates odd sound waves from its body. It may confuse the target.,The user generates odd sound waves from its body that confuse the target.,,,,,,,,,,,,,,,,
sonic_boom,1,A Normal-type attack. It inflicts a set amount of damage regardless of the target's type.,A Normal-type attack. It always inflicts a set amount of damage.,Always inflicts 20HP damage.,Launches shock waves that always inflict 20 HP damage.,The foe is hit with a shock wave that always inflicts 20-HP damage.,The foe is hit with a destructive shock wave that always inflicts 20 HP damage.,The target is hit with a destructive shock wave that always inflicts 20 HP damage.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,
disable,1,A technique that disables one of the target's moves. The disabled move can't be used until it wears off.,A move that disables one of the target's moves. That move can't be used until it wears off.,Disables the foe's most recent move.,Psychically disables one of the foe's moves.,Psychically disables one of the target's moves.,"For a few turns, it prevents the foe from using the move it last used.","For several turns, this move prevents the foe from using the move it last used.","For four turns, this move prevents the target from using the move it last used.",,,,,,,,,,,,,,,,
acid,1,A Poison-type attack. Has a one-in-three chance of lowering the target's Defense.,A Poison-type attack. Has a one-in-ten chance of lowering the target's Defense.,An attack that may lower Defense.,Sprays a hide-melting acid. May lower Defense.,"The foe is sprayed with a harsh, hide-melting acid that may lower Defense.",The foe is attacked with a spray of harsh acid. It may also lower the target's Sp. Def stat.,The opposing team is attacked with a spray of harsh acid. The acid may also lower the targets' Sp. Def stats.,The opposing Pokemon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.,The opposing Pokemon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat.,Opposing Pokemon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.,,,,,,,,,,,,,,
ember,1,A Fire-type attack. Has a one-in-ten chance of leaving the target with a damaging burn.,An attack that may inflict a burn.,A weak fire attack that may inflict a burn.,The foe is attacked with small flames. The foe may suffer a burn.,The foe is attacked with small flames. The target may also be left with a burn.,The target is attacked with small flames. It may also leave the target with a burn.,The target is attacked with small flames. This may also leave the target with a burn.,,,,,,,,,,,,,,,,,
flamethrower,1,A powerful Fire-type attack. Has a one-in-ten chance of leaving the target with a damaging burn.,A powerful Fire-type attack. Has a one-in-ten chance of leaving the target with a burn.,An attack that may inflict a burn.,A powerful fire attack that may inflict a burn.,The foe is scorched with intense flames. The foe may suffer a burn.,The foe is scorched with an intense blast of fire. The target may also be left with a burn.,The target is scorched with an intense blast of fire. It may also leave the target with a burn.,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,,,,,,,,,,,,,,,,
mist,1,"Provides full protection against any enemy status attack, such as those that lower Defense.",Provides full protection against any enemy status attack.,Prevents stat reduction.,Creates a mist that stops reduction of abilities.,The ally party is protected by a mist that prevents stat reductions.,The user cloaks its body with a white mist that prevents any of its stats from being cut for five turns.,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,,,,,,,,,,,,,,,,,
water_gun,1,A Water-type attack. Stronger than Bubble. Many Water-type Pokemon learn this move.,Squirts water to attack.,Squirts water to attack the foe.,Squirts water to attack the target.,The foe is struck with a lot of water expelled forcibly from the mouth.,The foe is blasted with a forceful shot of water.,The target is blasted with a forceful shot of water.,,,,,,,,,,,,,,,,,
hydro_pump,1,"The strongest Water-type attack. However, while it is powerful, it may miss the target.","The strongest Water-type attack. While it is powerful, it may miss the target.",A powerful water- type attack.,Blasts water at high power to strike the foe.,Blasts water at high power to strike the target.,A high volume of water is blasted at the foe under great pressure.,The foe is blasted by a huge volume of water launched under great pressure.,The target is blasted by a huge volume of water launched under great pressure.,,,,,,,,,,,,,,,,
surf,1,A Water-type attack. The power of this technique is strong and highly accurate.,A Water-type attack. This move is strong and highly accurate.,A strong water-type attack.,"Creates a huge wave, then crashes it down on the foe.",A big wave crashes down on the foe. Can also be used for crossing water.,It swamps the entire battlefield with a giant wave. It can also be used for crossing water.,The entire battlefield is swamped by a giant wave.,It swamps the area around the user with a giant wave. It can also be used for crossing water.,The user attacks everything around it by swamping its surroundings with a giant wave. This can also be used for crossing water.,The user attacks everything around it by swamping its surroundings with a giant wave.,The user attacks everything around it by swamping its surroundings with a giant wave. It’s also one of the Pokétch’s hidden moves.,,,,,,,,,,,,,
ice_beam,1,An Ice-type attack. Has a one-in-ten chance of freezing the target solid.,An attack that may freeze the foe.,Blasts the foe with an icy beam that may freeze it.,Blasts the target with an icy beam that may freeze it.,The foe is struck with an icy beam. It may freeze the foe solid.,The foe is struck with an icy-cold beam of energy. It may also freeze the target solid.,The target is struck with an icy-cold beam of energy. It may also freeze the target solid.,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,,,,,,,,,,,,,,,,
blizzard,1,The strongest Ice-type attack. Has a one-in-ten chance of freezing the target solid.,The strongest Ice-type attack. Has a one-in-ten chance of freezing the target.,An attack that may freeze the foe.,Hits the foe with an icy storm that may freeze it.,The foe is blasted with a blizzard. It may freeze the foe solid.,A howling blizzard is summoned to strike the foe. It may also freeze the target solid.,A howling blizzard is summoned to strike the opposing team. It may also freeze them solid.,A howling blizzard is summoned to strike opposing Pokemon. This may also leave the opposing Pokemon frozen.,,,,,,,,,,,,,,,,
psybeam,1,A Psychic-type attack. Has a one-in-ten of making the target confused.,An attack that may confuse the foe.,Fires a peculiar ray that may confuse the foe.,Fires a peculiar ray that may confuse the target.,A peculiar ray is shot at the foe. It may leave the foe confused.,The foe is attacked with a peculiar ray. It may also leave the target confused.,The target is attacked with a peculiar ray. It may also cause confusion.,The target is attacked with a peculiar ray. This may also leave the target confused.,,,,,,,,,,,,,,,,
bubble_beam,1,A Water-type attack. Stronger than Bubble. Many Water-type Pokemon learn this move.,A Water-type attack. Has a one-in-ten chance of reducing the target's Speed.,An attack that may lower Speed.,Forcefully sprays bubbles that may lower Speed.,A spray of bubbles strikes the foe. It may lower the foe's Speed stat.,A spray of bubbles is forcefully ejected at the foe. It may also lower the target's Speed stat.,A spray of bubbles is forcefully ejected at the opposing team. It may also lower their Speed stats.,A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat.,A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat.,,,,,,,,,,,,,,,
