Item Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
assault_vest,6,An item to be held by a Pokemon. This offensive vest raises Sp. Def but prevents the use of status moves.,,,,,,,,,,,,,,,,,,,,,,,
audinite,6,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,,
banettite,6,"One variety of the mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
beedrillite,6,"One of a variety of mysterious Mega Stones. Have Beedrill hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Beedrill to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,,
berry_juice,2,Restores Pokemon HP by 20.,A 100% pure juice that restores HP by 20 points.,A 100% pure juice. It restores the HP of one Pokemon by 20 points.,A 100% pure juice made of Berries. It restores the HP of one Pokemon by just 20 points.,"A 100 percent pure juice made of Berries. When consumed, it restores 20 HP to an injured Pokemon.",A 100 percent pure juice made of Berries. It can be used to restore 20 HP to a single Pokemon.,,,,,,,,,,,,,,,,,,
berserk_gene,2,Boosts Attack but causes confusion.,,,,,,,,,,,,,,,,,,,,,,,
big_root,4,A Pokemon hold item that boosts the power of HP-stealing moves to let the holder recover more HP.,A Pokemon held item that boosts the power of HP-stealing moves to let the holder recover more HP.,An item to be held by a Pokemon. It boosts the power of HP-stealing moves so the holder recovers more HP.,An item to be held by a Pokemon. It boosts the amount of HP the holder recovers from HP-stealing moves.,An item to be held by a Pokemon. It boosts the amount of HP the holder restores from HP-stealing moves.,,,,,,,,,,,,,,,,,,,
binding_band,5,A band that increases the power of binding moves when held.,An item to be held by a Pokemon. A band that increases the power of binding moves used by the holder.,An item to be held by a Pokemon. It's a band that increases the power of binding moves used by the holder.,,,,,,,,,,,,,,,,,,,,,
black_sludge,4,A hold item that gradually restores the HP of Poison-type Pokemon. It inflicts damage on all other types.,A held item that gradually restores the HP of Poison-type Pokemon. It inflicts damage on all other types.,An item to be held by a Pokemon. It gradually restores HP to Poison-type Pokemon. It damages any other type.,,,,,,,,,,,,,,,,,,,,,
blastoisinite,6,"One variety of the mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Blastoise to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
blazikenite,6,"One variety of the mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
blue_orb,3,"A blue, glowing orb said to contain an ancient power.",An orb that glows blue. It is said to contain an incredible power from ancient times.,A shiny blue orb that is said to have a legend and has a deep connection with the Hoenn region.,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.,,,,,,,,,,,,,,,,,,,,
blunder_policy,8,Raises Speed sharply when a Pokemon misses with a move because of accuracy.,,,,,,,,,,,,,,,,,,,,,,,
bright_powder,2,Lowers the foe's accuracy. (HOLD),A hold item that casts a glare to reduce accuracy.,An item to be held by a Pokemon. It casts a tricky glare that lowers the opponent's accuracy.,An item to be held by a Pokemon. It casts a tricky glare that lowers the opposing Pokemon's accuracy.,,,,,,,,,,,,,,,,,,,,
bug_memory,7,A memory disc that contains Bug-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
burn_drive,5,A cassette to be held by Genesect. It changes Techno Blast to a Fire-type move.,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Fire type.,,,,,,,,,,,,,,,,,,,,,,
cameruptite,6,"One of a variety of mysterious Mega Stones. Have Camerupt hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,,
cell_battery,5,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.",An item to be held by a Pokemon. It boosts Attack if hit with an Electric-type attack. It can only be used once.,An item to be held by a Pokemon. It boosts Attack if the holder is hit with an Electric-type attack. It can only be used once.,,,,,,,,,,,,,,,,,,,,,
charizardite_x,6,"One variety of the mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Charizard to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
charizardite_y,6,"One variety of the mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Charizard to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
chill_drive,5,A cassette to be held by Genesect. It changes Techno Blast to an Ice-type move.,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Ice type.,,,,,,,,,,,,,,,,,,,,,,
choice_band,3,"Raises a move's power, but permits only that move.","An item to be held by a Pokemon. It powers up one move, which becomes the only usable one.","An item to be held by a Pokemon. This headband ups Attack, but allows the use of only one kind of move.","An item to be held by a Pokemon. This headband ups Attack, but allows the use of only one of its moves.",An item to be held by a Pokemon. This curious headband boosts Attack but only allows the use of one move.,,,,,,,,,,,,,,,,,,,
choice_scarf,4,"An item to be held by a Pokemon. This scarf boosts Speed, but allows the use of only one kind of move.","An item to be held by a Pokemon. This scarf boosts Speed, but allows the use of only one of its moves.",An item to be held by a Pokemon. This curious scarf boosts Speed but only allows the use of one move.,,,,,,,,,,,,,,,,,,,,,
choice_specs,4,"An item to be held by a Pokemon. These distinctive glasses boost Sp. Atk, but allow only one kind of move to be used.",An item to be held by a Pokemon. These distinctive glasses boost Sp. Atk but allow the use of only one of its moves.,An item to be held by a Pokemon. These curious glasses boost Sp. Atk but only allow the use of one move.,,,,,,,,,,,,,,,,,,,,,
damp_rock,4,A Pokemon hold item that extends the duration of the move Rain Dance used by the holder.,A Pokemon held item that extends the duration of the move Rain Dance used by the holder.,An item to be held by a Pokemon. It extends the duration of the move Rain Dance when used by the holder.,,,,,,,,,,,,,,,,,,,,,
dark_memory,7,A memory disc that contains Dark-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
destiny_knot,4,"A long, thin, bright red string to be held by a Pokemon. If the holder becomes infatuated, the foe does too.","A long, thin, bright-red string to be held by a Pokemon. If the holder becomes infatuated, the foe does too.","An item to be held by a Pokemon. If the holder becomes infatuated, the opposing Pokemon will be, too.",,,,,,,,,,,,,,,,,,,,,
diancite,6,"One of a variety of mysterious Mega Stones. Have Diancie hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,,
douse_drive,5,A cassette to be held by Genesect. It changes Techno Blast to a Water-type move.,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Water type.,,,,,,,,,,,,,,,,,,,,,,
dragon_memory,7,A memory disc that contains Dragon-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
eject_button,5,"If the holder is hit by an attack, it will switch with another Pokemon in your party.","An item to be held by a Pokemon. If the holder is hit by an attack, it will be switched out of battle.",,,,,,,,,,,,,,,,,,,,,,
eject_pack,8,"An item to be held by a Pokemon. When the holder's stats are lowered, it will be switched out of battle.",,,,,,,,,,,,,,,,,,,,,,,
electric_memory,7,A memory disc that contains Electric-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
electric_seed,7,An item to be held by a Pokemon. It boosts Defense on Electric Terrain. It can only be used once.,,,,,,,,,,,,,,,,,,,,,,,
expert_belt,4,An item to be held by a Pokemon. It is a well-worn belt that slightly boosts the power of supereffective moves.,An item to be held by a Pokemon. It's a well-worn belt that slightly boosts the power of supereffective moves.,,,,,,,,,,,,,,,,,,,,,,
fairy_memory,7,A memory disc that contains Fairy-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
fighting_memory,7,A memory disc that contains Fighting-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
fire_memory,7,A memory disc that contains Fire-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
flame_orb,4,An item to be held by a Pokemon. It is a bizarre orb that inflicts a burn on the holder in battle.,An item to be held by a Pokemon. It is a bizarre orb that will afflict the holder with a burn during battle.,An item to be held by a Pokemon. It's a bizarre orb that will afflict the holder with a burn during battle.,,,,,,,,,,,,,,,,,,,,,
float_stone,5,A very light stone. It reduces the weight of a Pokemon when held.,An item to be held by a Pokemon. This very light stone reduces the weight of a Pokemon when held.,,,,,,,,,,,,,,,,,,,,,,
flying_memory,7,A memory disc that contains Flying-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
focus_band,2,May prevent fainting. (HOLD),A hold item that occasionally prevents fainting.,"An item to be held by a Pokemon. The holding Pokemon may endure an attack, leaving just 1 HP.","An item to be held by a Pokemon. The holder may endure a potential KO attack, leaving it with just 1 HP.",,,,,,,,,,,,,,,,,,,,
focus_sash,4,"An item to be held by a Pokemon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.","An item to be held by a Pokemon. If the holder has full HP, it will endure a potential KO attack with 1 HP. The item then disappears.",,,,,,,,,,,,,,,,,,,,,,
full_incense,4,An item to be held by a Pokemon. It is an exotic-smelling incense that makes the holder bloated and slow moving.,An item to be held by a Pokemon. This exotic-smelling incense makes the holder bloated and slow moving.,,,,,,,,,,,,,,,,,,,,,,
galladite,6,"One of a variety of mysterious Mega Stones. Have Gallade hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,,
garchompite,6,"One variety of the mysterious Mega Stones. Have Garchomp hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Garchomp hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
gardevoirite,6,"One variety of the mysterious Mega Stones. Have Gardevoir hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Gardevoir hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
gengarite,6,"One variety of the mysterious Mega Stones. Have Gengar hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Gengar hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Gengar to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
ghost_memory,7,A memory disc that contains Ghost-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
glalitite,6,"One of a variety of mysterious Mega Stones. Have Glalie hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,,
grass_memory,7,A memory disc that contains Grass-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
grassy_seed,7,An item to be held by a Pokemon. It boosts Defense on Grassy Terrain. It can only be used once.,,,,,,,,,,,,,,,,,,,,,,,
grip_claw,4,A Pokemon hold item that extends the duration of multiturn attacks like Bind and Wrap.,A Pokemon held item that extends the duration of multiturn attacks like Bind and Wrap.,An item to be held by a Pokemon. It extends the duration of multi-turn attacks like Bind and Wrap.,"An item to be held by a Pokemon. It extends the duration of multi-turn attacks, such as Bind and Wrap.",,,,,,,,,,,,,,,,,,,,
ground_memory,7,A memory disc that contains Ground-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
gyaradosite,6,"One variety of the mysterious Mega Stones. Have Gyarados hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Gyarados hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Gyarados to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
heat_rock,4,A Pokemon hold item that extends the duration of the move Sunny Day used by the holder.,A Pokemon held item that extends the duration of the move Sunny Day used by the holder.,An item to be held by a Pokemon. It extends the duration of the move Sunny Day when used by the holder.,,,,,,,,,,,,,,,,,,,,,
heavy_duty_boots,8,These boots prevent the effects of traps set on the battlefield.,,,,,,,,,,,,,,,,,,,,,,,
heracronite,6,"One variety of the mysterious Mega Stones. Have Heracross hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Heracross hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
houndoominite,6,"One variety of the mysterious Mega Stones. Have Houndoom hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Houndoom hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
ice_memory,7,A memory disc that contains Ice-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
icy_rock,4,A Pokemon hold item that extends the duration of the move Hail used by the holder.,A Pokemon held item that extends the duration of the move Hail used by the holder.,An item to be held by a Pokemon. It extends the duration of the move Hail when it's used by the holder.,An item to be held by a Pokemon. It extends the duration of the move Hail when used by the holder.,,,,,,,,,,,,,,,,,,,,
iron_ball,4,A Pokemon hold item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,A Pokemon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,An item to be held by a Pokemon. It lowers Speed and allows Ground-type moves to hit Flying-type and levitating holders.,An item to be held by a Pokemon. It lowers Speed and allows Ground-type moves to hit Flying types and holders that are levitating.,,,,,,,,,,,,,,,,,,,,
kangaskhanite,6,"One variety of the mysterious Mega Stones. Have Kangaskhan hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Kangaskhan hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Kangaskhan to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
kings_rock,2,May make the foe flinch. (HOLD),A hold item that may cause flinching when a foe is hit.,An item to be held by a Pokemon. It may cause the foe to flinch upon taking damage.,A hold item that may cause flinching when the foe is hit.,An item to be held by a Pokemon. It may cause the foe to flinch when the holder inflicts damage.,"An item to be held by a Pokemon. When the holder inflicts damage, the target may flinch.","An item to be held by a Pokemon. When the holder successfully inflicts damage, the target may also flinch.",,,,,,,,,,,,,,,,,
lagging_tail,4,An item to be held by a Pokemon. It is tremendously heavy and makes the holder move slower than usual.,,,,,,,,,,,,,,,,,,,,,,,
latiasite,6,"One variety of the mysterious Mega Stones. Have Latias hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Latias hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
latiosite,6,"One variety of the mysterious Mega Stones. Have Latios hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Latios hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
lax_incense,3,A hold item that slightly lowers the foe's accuracy.,An item to be held by a Pokemon. Its tricky aroma slightly reduces the foe's accuracy.,An item to be held by a Pokemon. The tricky aroma of this incense lowers the foe's accuracy.,An item to be held by a Pokemon. The tricky aroma of this incense may make attacks miss the holder.,An item to be held by a Pokemon. The beguiling aroma of this incense may cause attacks to miss its holder.,,,,,,,,,,,,,,,,,,,
leftovers,2,Restores HP during battle. (HOLD),A hold item that gradually restores HP in a battle.,An item to be held by a Pokemon. The holding Pokemon gradually regains HP during battle.,A hold item that gradually restores HP in battle.,An item to be held by a Pokemon. The holder's HP is gradually restored during battle.,An item to be held by a Pokemon. The holder's HP is slowly but steadily restored throughout every battle.,,,,,,,,,,,,,,,,,,
life_orb,4,"An item to be held by a Pokemon. It boosts the power of moves, but at the cost of some HP on each hit.",An item to be held by a Pokemon. It boosts the power of moves but at the cost of some HP on each hit.,,,,,,,,,,,,,,,,,,,,,,
light_clay,4,A Pokemon hold item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,A Pokemon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,An item to be held by a Pokemon. Protective moves like Light Screen and Reflect will be effective longer.,,,,,,,,,,,,,,,,,,,,,
lopunnite,6,"One of a variety of mysterious Mega Stones. Have Lopunny hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,,
lucarionite,6,"One variety of the mysterious Mega Stones. Have Lucario hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Lucario hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
luminous_moss,6,An item to be held by a Pokemon. It boosts Sp. Def if hit with a Water-type attack. It can only be used once.,An item to be held by a Pokemon. It boosts Sp. Def if the holder is hit with a Water-type attack. It can only be used once.,,,,,,,,,,,,,,,,,,,,,,
macho_brace,3,"A hold item that promotes growth, but it reduces Speed.",An item to be held by a Pokemon. It promotes strong growth but lowers Speed while it is held.,"A hold item that promotes growth, but reduces Speed.",An item to be held by a Pokemon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.,"An item to be held by a Pokemon. This stiff, heavy brace helps Pokemon grow strong but cuts Speed in battle.",,,,,,,,,,,,,,,,,,,
manectite,6,"One variety of the mysterious Mega Stones. Have Manectric hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Manectric hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
mawilite,6,"One variety of the mysterious Mega Stones. Have Mawile hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Mawile hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
medichamite,6,"One variety of the mysterious Mega Stones. Have Medicham hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Medicham hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
mental_herb,3,A hold item that snaps Pokemon out of infatuation.,An item to be held by a Pokemon. It snaps the holder out of infatuation. It can be used once.,An item to be held by a Pokemon. It snaps the holder out of infatuation. It can be used only once.,An item to be held by a Pokemon. The holder shakes off move-binding effects to move freely. It can be used only once.,,,,,,,,,,,,,,,,,,,,
metagrossite,6,"One of a variety of mysterious Mega Stones. Have Metagross hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,,
metronome_item,4,A Pokemon hold item that boosts a move used consecutively. Its effect is reset if another move is used.,A Pokemon held item that boosts a move used consecutively. Its effect is reset if another move is used.,"An item to be held by a Pokemon. It boosts moves used consecutively, but only until a different move is used.",An item to be held by a Pokemon. It boosts moves used consecutively but only until a different move is used.,,,,,,,,,,,,,,,,,,,,
mewtwonite_x,6,"One variety of the mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Mewtwo to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
mewtwonite_y,6,"One variety of the mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Mewtwo to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
misty_seed,7,An item to be held by a Pokemon. It boosts Sp. Defense on Misty Terrain. It can only be used once.,An item to be held by a Pokemon. It boosts Sp. Def on Misty Terrain. It can only be used once.,,,,,,,,,,,,,,,,,,,,,,
muscle_band,4,An item to be held by a Pokemon. It is a headband that slightly boosts the power of physical moves.,"An item to be held by a Pokemon. This headband exudes strength, slightly boosting the power of physical moves.",,,,,,,,,,,,,,,,,,,,,,
odd_incense,4,An item to be held by a Pokemon. It is an exotic-smelling incense that boosts the power of Psychic-type moves.,An item to be held by a Pokemon. This exotic-smelling incense boosts the power of Psychic-type moves.,,,,,,,,,,,,,,,,,,,,,,
pidgeotite,6,"One of a variety of mysterious Mega Stones. Have Pidgeot hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Pidgeot to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,,
pinsirite,6,"One variety of the mysterious Mega Stones. Have Pinsir hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Pinsir hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Pinsir to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
poison_memory,7,A memory disc that contains Poison-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
power_anklet,4,"A Pokemon hold item that promotes Speed gain on leveling, but reduces the Speed stat.","A Pokemon held item that promotes Speed gain on leveling, but reduces the Speed stat.",An item to be held by a Pokemon. It reduces Speed but allows the holder's Speed stat to grow more after battling.,,,,,,,,,,,,,,,,,,,,,
power_band,4,"A Pokemon hold item that promotes Sp. Def gain on leveling, but reduces the Speed stat.","A Pokemon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.",An item to be held by a Pokemon. It reduces Speed but allows the holder's Sp. Def stat to grow more after battling.,,,,,,,,,,,,,,,,,,,,,
power_belt,4,"A Pokemon hold item that promotes Defense gain on leveling, but reduces the Speed stat.","A Pokemon held item that promotes Defense gain on leveling, but reduces the Speed stat.",An item to be held by a Pokemon. It reduces Speed but allows the holder's Defense stat to grow more after battling.,,,,,,,,,,,,,,,,,,,,,
power_bracer,4,"A Pokemon hold item that promotes Attack gain on leveling, but reduces the Speed stat.","A Pokemon held item that promotes Attack gain on leveling, but reduces the Speed stat.",An item to be held by a Pokemon. It reduces Speed but allows the holder's Attack stat to grow more after battling.,,,,,,,,,,,,,,,,,,,,,
power_herb,4,A single-use item to be held by a Pokemon. It allows the immediate use of a move that charges on the first turn.,A single-use item to be held by a Pokemon. It allows the holder to immediately use a move that normally requires a turn to charge.,,,,,,,,,,,,,,,,,,,,,,
power_lens,4,"A Pokemon hold item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.","A Pokemon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.",An item to be held by a Pokemon. It reduces Speed but allows the holder's Sp. Atk stat to grow more after battling.,,,,,,,,,,,,,,,,,,,,,
power_weight,4,"A Pokemon hold item that promotes HP gain on leveling, but reduces the Speed stat.","A Pokemon held item that promotes HP gain on leveling, but reduces the Speed stat.",An item to be held by a Pokemon. It reduces Speed but allows the holder's maximum HP to grow more after battling.,An item to be held by a Pokemon. It reduces Speed but allows the holder's max HP to grow more after battling.,,,,,,,,,,,,,,,,,,,,
protective_pads,7,An item to be held by a Pokemon. These pads protect the holder from effects caused by making direct contact with the target.,,,,,,,,,,,,,,,,,,,,,,,
psychic_memory,7,A memory disc that contains Psychic-type data. It changes the type of the holder if held by a certain species of Pokemon.,,,,,,,,,,,,,,,,,,,,,,,
psychic_seed,7,An item to be held by a Pokemon. It boosts Sp. Defense on Psychic Terrain. It can only be used once.,An item to be held by a Pokemon. It boosts Sp. Def on Psychic Terrain. It can only be used once.,,,,,,,,,,,,,,,,,,,,,,
quick_claw,2,Raises 1st strike ratio. (HOLD),A hold item that occasionally allows first strike.,An item to be held by a Pokemon. A light and sharp claw. The holder may be able to strike first.,A hold item that occasionally allows the first strike.,"An item to be held by a Pokemon. A light, sharp claw that lets the bearer move first occasionally.","An item to be held by a Pokemon. This light, sharp claw lets the bearer move first occasionally.",,,,,,,,,,,,,,,,,,
razor_claw,4,An item to be held by a Pokemon. It is a sharply hooked claw that ups the holder's critical-hit ratio.,An item to be held by a Pokemon. This sharply hooked claw increases the holder's critical-hit ratio.,,,,,,,,,,,,,,,,,,,,,,
